a_i  	N_t         	N_i         	N_p         
0.010	5.370100e+04	4.660901e-02	5.370096e+04
0.020	3.290359e+04	1.036328e+00	3.290256e+04
0.030	2.745199e+04	0.000000e+00	2.745199e+04
0.040	2.477474e+04	5.329778e+00	2.476941e+04
0.050	2.308657e+04	1.298471e+01	2.307358e+04
0.060	2.185341e+04	0.000000e+00	2.185341e+04
0.070	2.100169e+04	9.625349e+01	2.090543e+04
0.080	2.091162e+04	7.806106e+02	2.013101e+04
0.090	2.087131e+04	1.394915e+03	1.947639e+04
0.100	2.067653e+04	1.767516e+03	1.890902e+04
0.110	2.057660e+04	2.168763e+03	1.840783e+04
0.120	2.058745e+04	2.629094e+03	1.795835e+04
0.130	2.058730e+04	3.037043e+03	1.755026e+04
0.140	2.055883e+04	3.382911e+03	1.717592e+04
0.150	2.054552e+04	3.715967e+03	1.682956e+04
0.160	2.055750e+04	4.050782e+03	1.650672e+04
0.170	2.058460e+04	4.380699e+03	1.620390e+04
0.180	2.062967e+04	4.711392e+03	1.591828e+04
0.190	2.069793e+04	5.050334e+03	1.564760e+04
0.200	2.078093e+04	5.390947e+03	1.538999e+04
0.210	2.086396e+04	5.720050e+03	1.514391e+04
0.220	2.094318e+04	6.035112e+03	1.490807e+04
0.230	2.102851e+04	6.347122e+03	1.468139e+04
0.240	2.113072e+04	6.667793e+03	1.446293e+04
0.250	2.124994e+04	6.998030e+03	1.425191e+04
0.260	2.137945e+04	7.331813e+03	1.404764e+04
0.270	2.151513e+04	7.665606e+03	1.384953e+04
0.280	2.165882e+04	8.001751e+03	1.365706e+04
0.290	2.181415e+04	8.344349e+03	1.346980e+04
0.300	2.198329e+04	8.695967e+03	1.328732e+04
0.310	2.216656e+04	9.057261e+03	1.310930e+04
0.320	2.236379e+04	9.428376e+03	1.293541e+04
0.330	2.257448e+04	9.809095e+03	1.276538e+04
0.340	2.279792e+04	1.019895e+04	1.259896e+04
0.350	2.303298e+04	1.059704e+04	1.243593e+04
0.360	2.327828e+04	1.100218e+04	1.227610e+04
0.370	2.353159e+04	1.141231e+04	1.211928e+04
0.380	2.379046e+04	1.182515e+04	1.196531e+04
0.390	2.405334e+04	1.223930e+04	1.181404e+04
0.400	2.432131e+04	1.265596e+04	1.166534e+04
0.410	2.459759e+04	1.307849e+04	1.151910e+04
0.420	2.488604e+04	1.351084e+04	1.137520e+04
0.430	2.518915e+04	1.395561e+04	1.123354e+04
0.440	2.550796e+04	1.441393e+04	1.109403e+04
0.450	2.584271e+04	1.488612e+04	1.095659e+04
0.460	2.619372e+04	1.537258e+04	1.082113e+04
0.470	2.656111e+04	1.587352e+04	1.068760e+04
0.480	2.694445e+04	1.638854e+04	1.055591e+04
0.490	2.734250e+04	1.691648e+04	1.042602e+04
0.500	2.775331e+04	1.745545e+04	1.029786e+04
0.510	2.817431e+04	1.800292e+04	1.017139e+04
0.520	2.860251e+04	1.855595e+04	1.004656e+04
0.530	2.903533e+04	1.911200e+04	9.923325e+03
0.540	2.947184e+04	1.967019e+04	9.801640e+03
0.550	2.991355e+04	2.023207e+04	9.681471e+03
0.560	3.036374e+04	2.080096e+04	9.562780e+03
0.570	3.082623e+04	2.138069e+04	9.445535e+03
0.580	3.130398e+04	2.197428e+04	9.329705e+03
0.590	3.179894e+04	2.258368e+04	9.215261e+03
0.600	3.231210e+04	2.320992e+04	9.102175e+03
0.610	3.284405e+04	2.385363e+04	8.990423e+03
0.620	3.339496e+04	2.451498e+04	8.879979e+03
0.630	3.396466e+04	2.519384e+04	8.770821e+03
0.640	3.455259e+04	2.588966e+04	8.662927e+03
0.650	3.515812e+04	2.660185e+04	8.556278e+03
0.660	3.578034e+04	2.732948e+04	8.450853e+03
0.670	3.641817e+04	2.807153e+04	8.346635e+03
0.680	3.707019e+04	2.882658e+04	8.243606e+03
0.690	3.773521e+04	2.959346e+04	8.141750e+03
0.700	3.841243e+04	3.037138e+04	8.041050e+03
0.710	3.910218e+04	3.116068e+04	7.941492e+03
0.720	3.980540e+04	3.196234e+04	7.843061e+03
0.730	4.052363e+04	3.277788e+04	7.745743e+03
0.740	4.125806e+04	3.360853e+04	7.649525e+03
0.750	4.200974e+04	3.445534e+04	7.554393e+03
0.760	4.277919e+04	3.531885e+04	7.460335e+03
0.770	4.356703e+04	3.619969e+04	7.367340e+03
0.780	4.437365e+04	3.709826e+04	7.275394e+03
0.790	4.519946e+04	3.801497e+04	7.184488e+03
0.800	4.604408e+04	3.894947e+04	7.094609e+03
0.810	4.690664e+04	3.990089e+04	7.005747e+03
0.820	4.778531e+04	4.086742e+04	6.917892e+03
0.830	4.867825e+04	4.184722e+04	6.831033e+03
0.840	4.958350e+04	4.283834e+04	6.745160e+03
0.850	5.049988e+04	4.383961e+04	6.660264e+03
0.860	5.142649e+04	4.485016e+04	6.576334e+03
0.870	5.236326e+04	4.586990e+04	6.493362e+03
0.880	5.331026e+04	4.689892e+04	6.411337e+03
0.890	5.426827e+04	4.793802e+04	6.330251e+03
0.900	5.523834e+04	4.898824e+04	6.250095e+03
0.910	5.622240e+04	5.005155e+04	6.170859e+03
0.920	5.722271e+04	5.113017e+04	6.092535e+03
