a_i  	N_t         	N_i         	N_p         
0.010	5.248365e+04	0.000000e+00	5.248365e+04
0.020	3.155060e+04	1.388291e+00	3.154921e+04
0.030	2.603704e+04	0.000000e+00	2.603704e+04
0.040	2.332245e+04	8.713090e+00	2.331374e+04
0.050	2.160345e+04	1.606573e+01	2.158739e+04
0.060	2.034252e+04	0.000000e+00	2.034252e+04
0.070	1.962214e+04	2.484206e+02	1.937372e+04
0.080	1.959752e+04	1.016321e+03	1.858120e+04
0.090	1.955684e+04	1.646293e+03	1.791054e+04
0.100	1.940798e+04	2.079209e+03	1.732877e+04
0.110	1.935895e+04	2.544417e+03	1.681454e+04
0.120	1.940700e+04	3.053862e+03	1.635314e+04
0.130	1.944629e+04	3.512186e+03	1.593410e+04
0.140	1.947006e+04	3.920404e+03	1.554966e+04
0.150	1.951355e+04	4.319590e+03	1.519396e+04
0.160	1.958117e+04	4.718732e+03	1.486244e+04
0.170	1.967036e+04	5.118814e+03	1.455155e+04
0.180	1.978543e+04	5.527007e+03	1.425842e+04
0.190	1.992571e+04	5.944969e+03	1.398074e+04
0.200	2.008055e+04	6.363937e+03	1.371662e+04
0.210	2.023438e+04	6.769907e+03	1.346448e+04
0.220	2.038359e+04	7.160584e+03	1.322301e+04
0.230	2.054176e+04	7.550657e+03	1.299110e+04
0.240	2.072570e+04	7.957888e+03	1.276781e+04
0.250	2.093971e+04	8.387368e+03	1.255234e+04
0.260	2.117877e+04	8.834777e+03	1.234399e+04
0.270	2.143774e+04	9.295575e+03	1.214216e+04
0.280	2.171505e+04	9.768715e+03	1.194633e+04
0.290	2.200857e+04	1.025253e+04	1.175604e+04
0.300	2.231421e+04	1.074333e+04	1.157088e+04
0.310	2.262678e+04	1.123628e+04	1.139050e+04
0.320	2.294343e+04	1.172885e+04	1.121458e+04
0.330	2.326460e+04	1.222175e+04	1.104284e+04
0.340	2.359451e+04	1.271947e+04	1.087504e+04
0.350	2.393898e+04	1.322805e+04	1.071094e+04
0.360	2.430397e+04	1.375364e+04	1.055034e+04
0.370	2.469311e+04	1.430005e+04	1.039306e+04
0.380	2.510723e+04	1.486829e+04	1.023894e+04
0.390	2.554446e+04	1.545663e+04	1.008783e+04
0.400	2.600209e+04	1.606250e+04	9.939586e+03
0.410	2.647720e+04	1.668311e+04	9.794089e+03
0.420	2.696676e+04	1.731554e+04	9.651227e+03
0.430	2.746674e+04	1.795584e+04	9.510894e+03
0.440	2.797325e+04	1.860025e+04	9.372997e+03
0.450	2.848416e+04	1.924671e+04	9.237448e+03
0.460	2.900075e+04	1.989658e+04	9.104167e+03
0.470	2.952690e+04	2.055382e+04	8.973078e+03
0.480	3.006781e+04	2.122370e+04	8.844113e+03
0.490	3.062846e+04	2.191125e+04	8.717209e+03
0.500	3.121270e+04	2.262040e+04	8.592305e+03
0.510	3.182245e+04	2.335311e+04	8.469347e+03
0.520	3.245724e+04	2.410896e+04	8.348282e+03
0.530	3.311473e+04	2.488566e+04	8.229063e+03
0.540	3.379214e+04	2.568049e+04	8.111644e+03
0.550	3.448775e+04	2.649177e+04	7.995982e+03
0.560	3.520090e+04	2.731887e+04	7.882037e+03
0.570	3.593131e+04	2.816153e+04	7.769771e+03
0.580	3.667814e+04	2.901899e+04	7.659149e+03
0.590	3.744030e+04	2.989016e+04	7.550137e+03
0.600	3.821690e+04	3.077420e+04	7.442702e+03
0.610	3.900807e+04	3.167126e+04	7.336815e+03
0.620	3.981476e+04	3.258231e+04	7.232444e+03
0.630	4.063859e+04	3.350902e+04	7.129564e+03
0.640	4.148127e+04	3.445313e+04	7.028147e+03
0.650	4.234454e+04	3.541637e+04	6.928168e+03
0.660	4.322935e+04	3.639975e+04	6.829602e+03
0.670	4.413591e+04	3.740348e+04	6.732426e+03
0.680	4.506294e+04	3.842632e+04	6.636617e+03
0.690	4.600842e+04	3.946626e+04	6.542154e+03
0.700	4.696968e+04	4.052067e+04	6.449014e+03
0.710	4.794463e+04	4.158745e+04	6.357178e+03
0.720	4.893144e+04	4.266481e+04	6.266625e+03
0.730	4.992895e+04	4.375161e+04	6.177338e+03
0.740	5.093600e+04	4.484671e+04	6.089296e+03
0.750	5.195194e+04	4.594946e+04	6.002481e+03
0.760	5.297642e+04	4.705954e+04	5.916877e+03
0.770	5.401034e+04	4.817788e+04	5.832465e+03
0.780	5.505558e+04	4.930635e+04	5.749229e+03
0.790	5.611532e+04	5.044817e+04	5.667152e+03
0.800	5.719285e+04	5.160664e+04	5.586218e+03
0.810	5.829153e+04	5.278512e+04	5.506411e+03
0.820	5.941383e+04	5.398612e+04	5.427716e+03
0.830	6.056202e+04	5.521191e+04	5.350118e+03
0.840	6.173764e+04	5.646403e+04	5.273601e+03
0.850	6.294223e+04	5.774408e+04	5.198151e+03
0.860	6.417657e+04	5.905282e+04	5.123754e+03
0.870	6.544110e+04	6.039071e+04	5.050394e+03
0.880	6.673492e+04	6.175687e+04	4.978060e+03
0.890	6.805647e+04	6.314973e+04	4.906735e+03
0.900	6.940285e+04	6.456644e+04	4.836408e+03
0.910	7.077101e+04	6.600395e+04	4.767065e+03
0.920	7.215732e+04	6.745863e+04	4.698692e+03
0.930	7.355858e+04	6.892731e+04	4.631277e+03
0.940	7.497138e+04	7.040657e+04	4.564807e+03
0.950	7.639304e+04	7.189378e+04	4.499269e+03
0.960	7.782088e+04	7.338623e+04	4.434651e+03
0.970	7.925306e+04	7.488212e+04	4.370941e+03
0.980	8.068774e+04	7.637961e+04	4.308126e+03
0.990	8.212397e+04	7.787778e+04	4.246194e+03
1.000	8.356090e+04	7.937577e+04	4.185134e+03
1.010	8.499882e+04	8.087389e+04	4.124934e+03
1.020	8.643856e+04	8.237298e+04	4.065582e+03
1.030	8.788226e+04	8.387520e+04	4.007068e+03
1.040	8.933232e+04	8.538294e+04	3.949379e+03
1.050	9.079172e+04	8.689921e+04	3.892504e+03
1.060	9.226295e+04	8.842651e+04	3.836432e+03
1.070	9.374841e+04	8.996726e+04	3.781153e+03
1.080	9.524979e+04	9.152314e+04	3.726656e+03
1.090	9.676884e+04	9.309591e+04	3.672931e+03
1.100	9.830696e+04	9.468699e+04	3.619967e+03
1.110	9.986588e+04	9.629812e+04	3.567752e+03
1.120	1.014470e+05	9.793072e+04	3.516279e+03
1.130	1.030517e+05	9.958613e+04	3.465535e+03
1.140	1.046804e+05	1.012649e+05	3.415512e+03
1.150	1.063331e+05	1.029669e+05	3.366198e+03
1.160	1.080091e+05	1.046915e+05	3.317585e+03
1.170	1.097072e+05	1.064375e+05	3.269663e+03
