a_i  	N_t         	N_i         	N_p         
0.010	1.068988e+05	0.000000e+00	1.068988e+05
0.020	6.640027e+04	1.181492e+02	6.628212e+04
0.030	5.546022e+04	0.000000e+00	5.546022e+04
0.040	5.065421e+04	6.067764e+02	5.004743e+04
0.050	5.028565e+04	3.718536e+03	4.656712e+04
0.060	5.039341e+04	6.377375e+03	4.401604e+04
0.070	5.030578e+04	8.309462e+03	4.199632e+04
0.080	5.057617e+04	1.025945e+04	4.031672e+04
0.090	5.081895e+04	1.194423e+04	3.887472e+04
0.100	5.097053e+04	1.336209e+04	3.760845e+04
0.110	5.131219e+04	1.483440e+04	3.647779e+04
0.120	5.184552e+04	1.639084e+04	3.545468e+04
0.130	5.240706e+04	1.788821e+04	3.451885e+04
0.140	5.298692e+04	1.933192e+04	3.365499e+04
0.150	5.365301e+04	2.080157e+04	3.285144e+04
0.160	5.441974e+04	2.232074e+04	3.209900e+04
0.170	5.526592e+04	2.387553e+04	3.139040e+04
0.180	5.619176e+04	2.547200e+04	3.071976e+04
0.190	5.719933e+04	2.711700e+04	3.008232e+04
0.200	5.827743e+04	2.880329e+04	2.947414e+04
0.210	5.939985e+04	3.050789e+04	2.889196e+04
0.220	6.056672e+04	3.223369e+04	2.833303e+04
0.230	6.180347e+04	3.400842e+04	2.779505e+04
0.240	6.313839e+04	3.586234e+04	2.727605e+04
0.250	6.456411e+04	3.778976e+04	2.677435e+04
0.260	6.605753e+04	3.976903e+04	2.628850e+04
0.270	6.759644e+04	4.177919e+04	2.581725e+04
0.280	6.917966e+04	4.382015e+04	2.535950e+04
0.290	7.081193e+04	4.589762e+04	2.491431e+04
0.300	7.250750e+04	4.802667e+04	2.448082e+04
0.310	7.427932e+04	5.022100e+04	2.405831e+04
0.320	7.614645e+04	5.250034e+04	2.364611e+04
0.330	7.812223e+04	5.487858e+04	2.324365e+04
0.340	8.021976e+04	5.736937e+04	2.285039e+04
0.350	8.243950e+04	5.997362e+04	2.246588e+04
0.360	8.477556e+04	6.268587e+04	2.208969e+04
0.370	8.720691e+04	6.548547e+04	2.172145e+04
0.380	8.971145e+04	6.835065e+04	2.136080e+04
0.390	9.226398e+04	7.125653e+04	2.100745e+04
0.400	9.485167e+04	7.419058e+04	2.066109e+04
0.410	9.746814e+04	7.714666e+04	2.032149e+04
0.420	1.001206e+05	8.013224e+04	1.998838e+04
0.430	1.028186e+05	8.315705e+04	1.966157e+04
0.440	1.055784e+05	8.623757e+04	1.934084e+04
0.450	1.084145e+05	8.938846e+04	1.902600e+04
0.460	1.113463e+05	9.262945e+04	1.871689e+04
0.470	1.143891e+05	9.597577e+04	1.841334e+04
0.480	1.175572e+05	9.944196e+04	1.811520e+04
0.490	1.208542e+05	1.030319e+05	1.782233e+04
0.500	1.242787e+05	1.067441e+05	1.753459e+04
0.510	1.278173e+05	1.105654e+05	1.725187e+04
0.520	1.314537e+05	1.144797e+05	1.697403e+04
0.530	1.351661e+05	1.184651e+05	1.670098e+04
0.540	1.389376e+05	1.225050e+05	1.643260e+04
0.550	1.427540e+05	1.265852e+05	1.616879e+04
0.560	1.466098e+05	1.307003e+05	1.590946e+04
0.570	1.505006e+05	1.348461e+05	1.565452e+04
0.580	1.544273e+05	1.390235e+05	1.540386e+04
0.590	1.583900e+05	1.432326e+05	1.515743e+04
0.600	1.623934e+05	1.474783e+05	1.491512e+04
0.610	1.664420e+05	1.517652e+05	1.467686e+04
0.620	1.705451e+05	1.561025e+05	1.444257e+04
0.630	1.747105e+05	1.604983e+05	1.421219e+04
0.640	1.789491e+05	1.649634e+05	1.398564e+04
0.650	1.832688e+05	1.695060e+05	1.376285e+04
0.660	1.876786e+05	1.741349e+05	1.354375e+04
0.670	1.921832e+05	1.788549e+05	1.332828e+04
0.680	1.967862e+05	1.836698e+05	1.311638e+04
0.690	2.014872e+05	1.885792e+05	1.290799e+04
0.700	2.062863e+05	1.935833e+05	1.270303e+04
0.710	2.111814e+05	1.986800e+05	1.250147e+04
0.720	2.161722e+05	2.038690e+05	1.230322e+04
0.730	2.212560e+05	2.091478e+05	1.210825e+04
0.740	2.264306e+05	2.145141e+05	1.191650e+04
0.750	2.316907e+05	2.199628e+05	1.172790e+04
0.760	2.370319e+05	2.254895e+05	1.154241e+04
0.770	2.424486e+05	2.310886e+05	1.135998e+04
0.780	2.479371e+05	2.367566e+05	1.118056e+04
0.790	2.534931e+05	2.424890e+05	1.100409e+04
0.800	2.591134e+05	2.482829e+05	1.083052e+04
0.810	2.647926e+05	2.541328e+05	1.065981e+04
0.820	2.705261e+05	2.600342e+05	1.049190e+04
0.830	2.763074e+05	2.659807e+05	1.032676e+04
0.840	2.821323e+05	2.719680e+05	1.016434e+04
0.850	2.879963e+05	2.779917e+05	1.000459e+04
0.860	2.938973e+05	2.840498e+05	9.847460e+03
0.870	2.998327e+05	2.901398e+05	9.692917e+03
0.880	3.058017e+05	2.962608e+05	9.540915e+03
0.890	3.118024e+05	3.024110e+05	9.391410e+03
0.900	3.178342e+05	3.085899e+05	9.244362e+03
0.910	3.238963e+05	3.147965e+05	9.099729e+03
0.920	3.299891e+05	3.210316e+05	8.957470e+03
0.930	3.361132e+05	3.272956e+05	8.817547e+03
0.940	3.422705e+05	3.335906e+05	8.679919e+03
0.950	3.484626e+05	3.399180e+05	8.544549e+03
0.960	3.546924e+05	3.462811e+05	8.411398e+03
0.970	3.609623e+05	3.526819e+05	8.280430e+03
0.980	3.672750e+05	3.591234e+05	8.151607e+03
0.990	3.736322e+05	3.656074e+05	8.024893e+03
1.000	3.800357e+05	3.721354e+05	7.900253e+03
1.010	3.864862e+05	3.787086e+05	7.777652e+03
1.020	3.929856e+05	3.853286e+05	7.657056e+03
1.030	3.995355e+05	3.919970e+05	7.538430e+03
1.040	4.061382e+05	3.987164e+05	7.421741e+03
1.050	4.127950e+05	4.054881e+05	7.306957e+03
1.060	4.195070e+05	4.123130e+05	7.194044e+03
1.070	4.262730e+05	4.191900e+05	7.082973e+03
1.080	4.330915e+05	4.261178e+05	6.973710e+03
1.090	4.399599e+05	4.330937e+05	6.866225e+03
1.100	4.468759e+05	4.401154e+05	6.760489e+03
1.110	4.538372e+05	4.471807e+05	6.656471e+03
1.120	4.608422e+05	4.542880e+05	6.554142e+03
1.130	4.678884e+05	4.614349e+05	6.453473e+03
1.140	4.749732e+05	4.686187e+05	6.354437e+03
1.150	4.820922e+05	4.758352e+05	6.257005e+03
1.160	4.892411e+05	4.830799e+05	6.161149e+03
1.170	4.964143e+05	4.903474e+05	6.066844e+03
1.180	5.036070e+05	4.976330e+05	5.974062e+03
1.190	5.108149e+05	5.049321e+05	5.882778e+03
1.200	5.180340e+05	5.122410e+05	5.792965e+03
1.210	5.252609e+05	5.195563e+05	5.704599e+03
1.220	5.324923e+05	5.268746e+05	5.617656e+03
1.230	5.397247e+05	5.341926e+05	5.532110e+03
1.240	5.469551e+05	5.415071e+05	5.447937e+03
1.250	5.541798e+05	5.488147e+05	5.365115e+03
1.260	5.613958e+05	5.561122e+05	5.283621e+03
1.270	5.685999e+05	5.633965e+05	5.203431e+03
1.280	5.757896e+05	5.706651e+05	5.124523e+03
1.290	5.829626e+05	5.779157e+05	5.046875e+03
1.300	5.901174e+05	5.851469e+05	4.970467e+03
1.310	5.972532e+05	5.923579e+05	4.895276e+03
1.320	6.043699e+05	5.995486e+05	4.821282e+03
1.330	6.114674e+05	6.067190e+05	4.748465e+03
1.340	6.185459e+05	6.138691e+05	4.676804e+03
1.350	6.256048e+05	6.209985e+05	4.606279e+03
1.360	6.326439e+05	6.281070e+05	4.536872e+03
1.370	6.396630e+05	6.351944e+05	4.468564e+03
1.380	6.466627e+05	6.422614e+05	4.401335e+03
1.390	6.536443e+05	6.493092e+05	4.335167e+03
1.400	6.606099e+05	6.563398e+05	4.270042e+03
1.410	6.675613e+05	6.633553e+05	4.205943e+03
1.420	6.745005e+05	6.703576e+05	4.142852e+03
1.430	6.814286e+05	6.773479e+05	4.080752e+03
1.440	6.883467e+05	6.843270e+05	4.019626e+03
1.450	6.952556e+05	6.912961e+05	3.959457e+03
1.460	7.021567e+05	6.982565e+05	3.900230e+03
1.470	7.090522e+05	7.052103e+05	3.841928e+03
1.480	7.159448e+05	7.121602e+05	3.784537e+03
1.490	7.228373e+05	7.191093e+05	3.728039e+03
1.500	7.297326e+05	7.260602e+05	3.672422e+03
1.510	7.366329e+05	7.330153e+05	3.617668e+03
1.520	7.435401e+05	7.399764e+05	3.563765e+03
1.530	7.504552e+05	7.469445e+05	3.510697e+03
1.540	7.573787e+05	7.539202e+05	3.458451e+03
1.550	7.643112e+05	7.609042e+05	3.407013e+03
1.560	7.712531e+05	7.678967e+05	3.356369e+03
1.570	7.782048e+05	7.748983e+05	3.306506e+03
1.580	7.851671e+05	7.819096e+05	3.257412e+03
1.590	7.921406e+05	7.889315e+05	3.209072e+03
1.600	7.991264e+05	7.959649e+05	3.161474e+03
1.610	8.061257e+05	8.030110e+05	3.114607e+03
1.620	8.131395e+05	8.100710e+05	3.068457e+03
1.630	8.201686e+05	8.171456e+05	3.023014e+03
1.640	8.272133e+05	8.242350e+05	2.978265e+03
1.650	8.342730e+05	8.313388e+05	2.934198e+03
1.660	8.413478e+05	8.384570e+05	2.890803e+03
1.670	8.484374e+05	8.455894e+05	2.848070e+03
1.680	8.555404e+05	8.527344e+05	2.805985e+03
1.690	8.626551e+05	8.598906e+05	2.764540e+03
1.700	8.697803e+05	8.670566e+05	2.723724e+03
1.710	8.769149e+05	8.742314e+05	2.683526e+03
1.720	8.840587e+05	8.814147e+05	2.643936e+03
1.730	8.912116e+05	8.886067e+05	2.604945e+03
1.740	8.983744e+05	8.958079e+05	2.566541e+03
1.750	9.055478e+05	9.030191e+05	2.528715e+03
1.760	9.127308e+05	9.102394e+05	2.491457e+03
1.770	9.199220e+05	9.174673e+05	2.454759e+03
1.780	9.271193e+05	9.247007e+05	2.418609e+03
1.790	9.343204e+05	9.319374e+05	2.383000e+03
1.800	9.415233e+05	9.391753e+05	2.347922e+03
1.810	9.487261e+05	9.464127e+05	2.313367e+03
1.820	9.559265e+05	9.536472e+05	2.279327e+03
1.830	9.631240e+05	9.608782e+05	2.245794e+03
1.840	9.703184e+05	9.681056e+05	2.212759e+03
1.850	9.775092e+05	9.753290e+05	2.180216e+03
1.860	9.846956e+05	9.825474e+05	2.148156e+03
1.870	9.918758e+05	9.897592e+05	2.116572e+03
1.880	9.990481e+05	9.969626e+05	2.085456e+03
1.890	1.006211e+06	1.004156e+06	2.054801e+03
1.900	1.013363e+06	1.011338e+06	2.024600e+03
1.910	1.020502e+06	1.018507e+06	1.994844e+03
1.920	1.027626e+06	1.025660e+06	1.965527e+03
1.930	1.034735e+06	1.032798e+06	1.936642e+03
1.940	1.041827e+06	1.039919e+06	1.908181e+03
1.950	1.048902e+06	1.047022e+06	1.880137e+03
1.960	1.055959e+06	1.054106e+06	1.852505e+03
1.970	1.062997e+06	1.061172e+06	1.825276e+03
1.980	1.070017e+06	1.068218e+06	1.798446e+03
1.990	1.077017e+06	1.075245e+06	1.772008e+03
2.000	1.083996e+06	1.082250e+06	1.745955e+03
2.010	1.090953e+06	1.089232e+06	1.720283e+03
2.020	1.097885e+06	1.096190e+06	1.694985e+03
