a_i  	N_t         	N_i         	N_p         
0.010	5.127198e+04	1.322785e+00	5.127066e+04
0.020	3.191671e+04	5.261621e-03	3.191670e+04
0.030	2.680656e+04	0.000000e+00	2.680656e+04
0.040	2.427555e+04	2.349860e+00	2.427320e+04
0.050	2.266479e+04	4.161548e+00	2.266063e+04
0.060	2.149296e+04	0.000000e+00	2.149296e+04
0.070	2.062530e+04	4.476940e+01	2.058053e+04
0.080	2.046880e+04	6.377751e+02	1.983103e+04
0.090	2.045120e+04	1.257077e+03	1.919412e+04
0.100	2.027415e+04	1.634866e+03	1.863928e+04
0.110	2.019079e+04	2.044021e+03	1.814677e+04
0.120	2.022881e+04	2.525837e+03	1.770298e+04
0.130	2.025737e+04	2.959131e+03	1.729824e+04
0.140	2.025959e+04	3.334226e+03	1.692536e+04
0.150	2.028039e+04	3.701439e+03	1.657895e+04
0.160	2.032985e+04	4.075063e+03	1.625478e+04
0.170	2.039755e+04	4.447968e+03	1.594958e+04
0.180	2.048783e+04	4.827140e+03	1.566069e+04
0.190	2.060600e+04	5.220021e+03	1.538598e+04
0.200	2.074313e+04	5.619441e+03	1.512369e+04
0.210	2.088340e+04	6.011027e+03	1.487237e+04
0.220	2.102180e+04	6.390982e+03	1.463082e+04
0.230	2.116743e+04	6.769431e+03	1.439800e+04
0.240	2.133230e+04	7.159240e+03	1.417306e+04
0.250	2.151853e+04	7.563295e+03	1.395524e+04
0.260	2.172258e+04	7.978677e+03	1.374391e+04
0.270	2.194305e+04	8.404538e+03	1.353851e+04
0.280	2.218364e+04	8.845072e+03	1.333857e+04
0.290	2.244740e+04	9.303739e+03	1.314366e+04
0.300	2.273359e+04	9.780179e+03	1.295341e+04
0.310	2.303698e+04	1.026947e+04	1.276751e+04
0.320	2.335184e+04	1.076619e+04	1.258565e+04
0.330	2.367342e+04	1.126583e+04	1.240760e+04
0.340	2.400020e+04	1.176709e+04	1.223311e+04
0.350	2.433350e+04	1.227152e+04	1.206198e+04
0.360	2.467793e+04	1.278389e+04	1.189405e+04
0.370	2.503830e+04	1.330918e+04	1.172913e+04
0.380	2.541885e+04	1.385177e+04	1.156708e+04
0.390	2.582221e+04	1.441443e+04	1.140778e+04
0.400	2.625056e+04	1.499946e+04	1.125110e+04
0.410	2.670416e+04	1.560723e+04	1.109693e+04
0.420	2.718104e+04	1.623587e+04	1.094517e+04
0.430	2.767609e+04	1.688035e+04	1.079573e+04
0.440	2.818321e+04	1.753467e+04	1.064854e+04
0.450	2.869687e+04	1.819336e+04	1.050351e+04
0.460	2.921481e+04	1.885423e+04	1.036058e+04
0.470	2.973797e+04	1.951829e+04	1.021968e+04
0.480	3.027034e+04	2.018958e+04	1.008076e+04
0.490	3.081672e+04	2.087296e+04	9.943755e+03
0.500	3.138200e+04	2.157338e+04	9.808625e+03
0.510	3.196961e+04	2.229429e+04	9.675321e+03
0.520	3.258125e+04	2.303745e+04	9.543801e+03
0.530	3.321667e+04	2.380265e+04	9.414025e+03
