a_i  	N_t         	N_i         	N_p         
0.010	4.080311e+04	0.000000e+00	4.080311e+04
0.020	2.389566e+04	1.966736e-01	2.389546e+04
0.030	1.948828e+04	5.280901e-01	1.948776e+04
0.040	1.733112e+04	0.000000e+00	1.733112e+04
0.050	1.597684e+04	0.000000e+00	1.597684e+04
0.060	1.501341e+04	4.086354e+00	1.500932e+04
0.070	1.426297e+04	0.000000e+00	1.426297e+04
0.080	1.377087e+04	1.134507e+02	1.365741e+04
0.090	1.354551e+04	3.967327e+02	1.314878e+04
0.100	1.343404e+04	7.235593e+02	1.271048e+04
0.110	1.337070e+04	1.045308e+03	1.232539e+04
0.120	1.335259e+04	1.370858e+03	1.198173e+04
0.130	1.334091e+04	1.669742e+03	1.167117e+04
0.140	1.330775e+04	1.920202e+03	1.138755e+04
0.150	1.328215e+04	2.155899e+03	1.112625e+04
0.160	1.328531e+04	2.401609e+03	1.088370e+04
0.170	1.330160e+04	2.644514e+03	1.065708e+04
0.180	1.332349e+04	2.879317e+03	1.044417e+04
0.190	1.336052e+04	3.117351e+03	1.024316e+04
0.200	1.341123e+04	3.358661e+03	1.005257e+04
0.210	1.346127e+04	3.590094e+03	9.871172e+03
0.220	1.350532e+04	3.807379e+03	9.697942e+03
0.230	1.355307e+04	4.021050e+03	9.532018e+03
0.240	1.361530e+04	4.242629e+03	9.372667e+03
0.250	1.369237e+04	4.473113e+03	9.219261e+03
0.260	1.377814e+04	4.706877e+03	9.071259e+03
0.270	1.386837e+04	4.940181e+03	8.928192e+03
0.280	1.396350e+04	5.173852e+03	8.789650e+03
0.290	1.406517e+04	5.409895e+03	8.655275e+03
0.300	1.417385e+04	5.649100e+03	8.524752e+03
0.310	1.428893e+04	5.891129e+03	8.397801e+03
0.320	1.440998e+04	6.135809e+03	8.274175e+03
0.330	1.453700e+04	6.383349e+03	8.153652e+03
0.340	1.467041e+04	6.634373e+03	8.036036e+03
0.350	1.481067e+04	6.889519e+03	7.921149e+03
0.360	1.495803e+04	7.149199e+03	7.808831e+03
0.370	1.511188e+04	7.412946e+03	7.698938e+03
0.380	1.527098e+04	7.679641e+03	7.591340e+03
0.390	1.543427e+04	7.948353e+03	7.485918e+03
0.400	1.560217e+04	8.219603e+03	7.382565e+03
0.410	1.577652e+04	8.495335e+03	7.281183e+03
0.420	1.595956e+04	8.777878e+03	7.181681e+03
0.430	1.615254e+04	9.068565e+03	7.083978e+03
0.440	1.635568e+04	9.367687e+03	6.987997e+03
0.450	1.656881e+04	9.675144e+03	6.893669e+03
0.460	1.679214e+04	9.991211e+03	6.800931e+03
0.470	1.702605e+04	1.031632e+04	6.709723e+03
0.480	1.727054e+04	1.065055e+04	6.619990e+03
0.490	1.752493e+04	1.099324e+04	6.531682e+03
0.500	1.778785e+04	1.134310e+04	6.444751e+03
0.510	1.805735e+04	1.169820e+04	6.359155e+03
0.520	1.833103e+04	1.205618e+04	6.274851e+03
0.530	1.860673e+04	1.241493e+04	6.191803e+03
0.540	1.888351e+04	1.277354e+04	6.109974e+03
0.550	1.916244e+04	1.313310e+04	6.029331e+03
0.560	1.944611e+04	1.349627e+04	5.949843e+03
0.570	1.973761e+04	1.386613e+04	5.871481e+03
0.580	2.003936e+04	1.424514e+04	5.794217e+03
0.590	2.035290e+04	1.463488e+04	5.718026e+03
0.600	2.067898e+04	1.503610e+04	5.642882e+03
0.610	2.101790e+04	1.544914e+04	5.568762e+03
0.620	2.136950e+04	1.587385e+04	5.495646e+03
0.630	2.173317e+04	1.630966e+04	5.423511e+03
0.640	2.210783e+04	1.675549e+04	5.352338e+03
0.650	2.249226e+04	1.721015e+04	5.282109e+03
0.660	2.288496e+04	1.767215e+04	5.212805e+03
0.670	2.328438e+04	1.813997e+04	5.144410e+03
0.680	2.368879e+04	1.861189e+04	5.076907e+03
0.690	2.409681e+04	1.908653e+04	5.010280e+03
