a_i  	N_t         	N_i         	N_p         
0.010	5.499190e+04	0.000000e+00	5.499190e+04
0.020	3.208943e+04	3.707816e+00	3.208572e+04
0.030	2.612226e+04	0.000000e+00	2.612226e+04
0.040	2.321996e+04	1.117437e+01	2.320879e+04
0.050	2.138714e+04	5.907153e+00	2.138123e+04
0.060	2.007594e+04	0.000000e+00	2.007594e+04
0.070	1.950257e+04	4.338073e+02	1.906876e+04
0.080	1.944562e+04	1.194206e+03	1.825141e+04
0.090	1.936103e+04	1.796034e+03	1.756499e+04
0.100	1.919213e+04	2.218275e+03	1.697385e+04
0.110	1.911896e+04	2.663999e+03	1.645496e+04
0.120	1.913370e+04	3.141229e+03	1.599247e+04
0.130	1.913708e+04	3.561975e+03	1.557511e+04
0.140	1.912240e+04	3.927875e+03	1.519452e+04
0.150	1.912216e+04	4.277723e+03	1.484444e+04
0.160	1.914126e+04	4.621294e+03	1.451997e+04
0.170	1.917676e+04	4.959450e+03	1.421731e+04
0.180	1.923285e+04	5.299455e+03	1.393340e+04
0.190	1.931050e+04	5.644734e+03	1.366577e+04
0.200	1.939946e+04	5.987072e+03	1.341238e+04
0.210	1.948464e+04	6.313061e+03	1.317158e+04
0.220	1.956193e+04	6.619974e+03	1.294195e+04
0.230	1.964233e+04	6.920010e+03	1.272231e+04
0.240	1.973855e+04	7.226882e+03	1.251166e+04
0.250	1.985214e+04	7.543000e+03	1.230914e+04
0.260	1.997723e+04	7.863233e+03	1.211399e+04
0.270	2.011012e+04	8.184531e+03	1.192559e+04
0.280	2.025245e+04	8.509093e+03	1.174336e+04
0.290	2.040697e+04	8.840159e+03	1.156681e+04
0.300	2.057444e+04	9.178927e+03	1.139552e+04
0.310	2.075354e+04	9.524459e+03	1.122908e+04
0.320	2.094261e+04	9.875437e+03	1.106718e+04
0.330	2.114015e+04	1.023066e+04	1.090949e+04
0.340	2.134539e+04	1.058965e+04	1.075574e+04
0.350	2.155786e+04	1.095216e+04	1.060570e+04
0.360	2.177733e+04	1.131820e+04	1.045914e+04
0.370	2.200277e+04	1.168692e+04	1.031586e+04
0.380	2.223284e+04	1.205717e+04	1.017567e+04
0.390	2.246673e+04	1.242830e+04	1.003843e+04
0.400	2.270570e+04	1.280173e+04	9.903967e+03
0.410	2.295247e+04	1.318032e+04	9.772156e+03
0.420	2.321009e+04	1.356722e+04	9.642868e+03
0.430	2.348005e+04	1.396406e+04	9.515990e+03
0.440	2.376266e+04	1.437125e+04	9.391416e+03
0.450	2.405761e+04	1.478856e+04	9.269048e+03
0.460	2.436531e+04	1.521651e+04	9.148797e+03
0.470	2.468634e+04	1.565576e+04	9.030580e+03
0.480	2.502123e+04	1.610691e+04	8.914320e+03
0.490	2.536963e+04	1.656968e+04	8.799946e+03
0.500	2.573057e+04	1.704318e+04	8.687392e+03
0.510	2.610196e+04	1.752537e+04	8.576596e+03
0.520	2.648114e+04	1.801364e+04	8.467502e+03
0.530	2.686511e+04	1.850505e+04	8.360054e+03
0.540	2.725217e+04	1.899797e+04	8.254204e+03
0.550	2.764243e+04	1.949253e+04	8.149904e+03
0.560	2.803796e+04	1.999085e+04	8.047110e+03
0.570	2.844125e+04	2.049546e+04	7.945782e+03
0.580	2.885454e+04	2.100866e+04	7.845879e+03
0.590	2.927914e+04	2.153177e+04	7.747366e+03
0.600	2.971613e+04	2.206593e+04	7.650208e+03
0.610	3.016641e+04	2.261204e+04	7.554372e+03
0.620	3.063120e+04	2.317137e+04	7.459828e+03
0.630	3.111148e+04	2.374493e+04	7.366546e+03
0.640	3.160827e+04	2.433377e+04	7.274499e+03
0.650	3.212199e+04	2.493833e+04	7.183661e+03
0.660	3.265275e+04	2.555874e+04	7.094006e+03
0.670	3.319985e+04	2.619434e+04	7.005510e+03
0.680	3.376222e+04	2.684407e+04	6.918152e+03
0.690	3.433826e+04	2.750635e+04	6.831909e+03
0.700	3.492674e+04	2.817998e+04	6.746761e+03
0.710	3.552676e+04	2.886407e+04	6.662688e+03
0.720	3.613820e+04	2.955853e+04	6.579670e+03
0.730	3.676117e+04	3.026348e+04	6.497691e+03
0.740	3.739610e+04	3.097936e+04	6.416732e+03
0.750	3.804325e+04	3.170648e+04	6.336777e+03
0.760	3.870323e+04	3.244542e+04	6.257809e+03
0.770	3.937669e+04	3.319688e+04	6.179814e+03
0.780	4.006487e+04	3.396210e+04	6.102775e+03
0.790	4.076897e+04	3.474229e+04	6.026679e+03
0.800	4.149022e+04	3.553871e+04	5.951511e+03
0.810	4.222916e+04	3.635190e+04	5.877258e+03
0.820	4.298588e+04	3.718197e+04	5.803907e+03
0.830	4.375979e+04	3.802835e+04	5.731445e+03
0.840	4.455021e+04	3.889035e+04	5.659860e+03
0.850	4.535618e+04	3.976704e+04	5.589139e+03
0.860	4.617692e+04	4.065765e+04	5.519271e+03
0.870	4.701143e+04	4.156118e+04	5.450245e+03
0.880	4.785881e+04	4.247677e+04	5.382049e+03
0.890	4.871796e+04	4.340329e+04	5.314672e+03
0.900	4.958803e+04	4.433993e+04	5.248105e+03
0.910	5.046826e+04	4.528593e+04	5.182337e+03
0.920	5.135850e+04	4.624114e+04	5.117357e+03
0.930	5.225889e+04	4.720574e+04	5.053155e+03
0.940	5.317030e+04	4.818058e+04	4.989723e+03
0.950	5.409394e+04	4.916689e+04	4.927051e+03
0.960	5.503170e+04	5.016657e+04	4.865129e+03
0.970	5.598561e+04	5.118166e+04	4.803948e+03
0.980	5.695799e+04	5.221450e+04	4.743499e+03
0.990	5.795093e+04	5.326716e+04	4.683774e+03
1.000	5.896647e+04	5.434171e+04	4.624764e+03
1.010	6.000635e+04	5.543989e+04	4.566460e+03
1.020	6.107238e+04	5.656353e+04	4.508854e+03
1.030	6.216619e+04	5.771425e+04	4.451938e+03
1.040	6.328928e+04	5.889358e+04	4.395703e+03
1.050	6.444250e+04	6.010236e+04	4.340143e+03
1.060	6.562607e+04	6.134083e+04	4.285248e+03
1.070	6.683913e+04	6.260812e+04	4.231012e+03
1.080	6.808005e+04	6.390263e+04	4.177426e+03
1.090	6.934647e+04	6.522199e+04	4.124483e+03
1.100	7.063594e+04	6.656377e+04	4.072176e+03
1.110	7.194594e+04	6.792544e+04	4.020497e+03
1.120	7.327423e+04	6.930479e+04	3.969440e+03
1.130	7.461851e+04	7.069951e+04	3.918996e+03
1.140	7.597664e+04	7.210748e+04	3.869159e+03
1.150	7.734636e+04	7.352644e+04	3.819923e+03
1.160	7.872568e+04	7.495440e+04	3.771279e+03
1.170	8.011286e+04	7.638963e+04	3.723222e+03
1.180	8.150691e+04	7.783116e+04	3.675744e+03
1.190	8.290749e+04	7.927865e+04	3.628839e+03
1.200	8.431517e+04	8.073267e+04	3.582501e+03
1.210	8.573112e+04	8.219439e+04	3.536723e+03
1.220	8.715718e+04	8.366569e+04	3.491498e+03
1.230	8.859543e+04	8.514861e+04	3.446820e+03
1.240	9.004823e+04	8.664555e+04	3.402683e+03
1.250	9.151792e+04	8.815884e+04	3.359081e+03
1.260	9.300694e+04	8.969094e+04	3.316008e+03
1.270	9.451757e+04	9.124411e+04	3.273457e+03
1.280	9.605205e+04	9.282063e+04	3.231422e+03
1.290	9.761244e+04	9.442254e+04	3.189898e+03
1.300	9.920075e+04	9.605187e+04	3.148879e+03
1.310	1.008188e+05	9.771042e+04	3.108359e+03
1.320	1.024681e+05	9.939980e+04	3.068331e+03
1.330	1.041499e+05	1.011211e+05	3.028791e+03
1.340	1.058648e+05	1.028751e+05	2.989733e+03
1.350	1.076126e+05	1.046614e+05	2.951151e+03
1.360	1.093926e+05	1.064795e+05	2.913040e+03
1.370	1.112036e+05	1.083282e+05	2.875394e+03
1.380	1.130441e+05	1.102059e+05	2.838208e+03
1.390	1.149128e+05	1.121113e+05	2.801476e+03
1.400	1.168080e+05	1.140428e+05	2.765193e+03
1.410	1.187281e+05	1.159987e+05	2.729354e+03
1.420	1.206711e+05	1.179772e+05	2.693954e+03
1.430	1.226350e+05	1.199760e+05	2.658988e+03
1.440	1.246173e+05	1.219929e+05	2.624450e+03
1.450	1.266158e+05	1.240255e+05	2.590336e+03
1.460	1.286285e+05	1.260719e+05	2.556640e+03
1.470	1.306540e+05	1.281306e+05	2.523357e+03
1.480	1.326912e+05	1.302007e+05	2.490484e+03
1.490	1.347394e+05	1.322814e+05	2.458014e+03
1.500	1.367984e+05	1.343724e+05	2.425944e+03
1.510	1.388676e+05	1.364734e+05	2.394268e+03
1.520	1.409471e+05	1.385841e+05	2.362981e+03
1.530	1.430365e+05	1.407044e+05	2.332080e+03
1.540	1.451360e+05	1.428344e+05	2.301559e+03
1.550	1.472457e+05	1.449743e+05	2.271415e+03
1.560	1.493662e+05	1.471246e+05	2.241642e+03
1.570	1.514983e+05	1.492860e+05	2.212236e+03
1.580	1.536428e+05	1.514596e+05	2.183193e+03
1.590	1.558009e+05	1.536464e+05	2.154508e+03
1.600	1.579742e+05	1.558480e+05	2.126177e+03
1.610	1.601640e+05	1.580658e+05	2.098197e+03
1.620	1.623721e+05	1.603015e+05	2.070562e+03
1.630	1.645998e+05	1.625566e+05	2.043268e+03
1.640	1.668492e+05	1.648329e+05	2.016312e+03
1.650	1.691217e+05	1.671320e+05	1.989690e+03
