a_i  	N_t         	N_i         	N_p         
0.010	7.194885e+04	0.000000e+00	7.194885e+04
0.020	4.728311e+04	5.549484e+00	4.727756e+04
0.030	4.072150e+04	5.255373e-01	4.072097e+04
0.040	3.744687e+04	0.000000e+00	3.744687e+04
0.050	3.534532e+04	0.000000e+00	3.534532e+04
0.060	3.419414e+04	3.844526e+02	3.380969e+04
0.070	3.393957e+04	1.341097e+03	3.259847e+04
0.080	3.386970e+04	2.275293e+03	3.159441e+04
0.090	3.365734e+04	2.923471e+03	3.073386e+04
0.100	3.354392e+04	3.565680e+03	2.997824e+04
0.110	3.354313e+04	4.240539e+03	2.930259e+04
0.120	3.358579e+04	4.896151e+03	2.868964e+04
0.130	3.363900e+04	5.511950e+03	2.812705e+04
0.140	3.368724e+04	6.081617e+03	2.760562e+04
0.150	3.375631e+04	6.637930e+03	2.711838e+04
0.160	3.386931e+04	7.209417e+03	2.665989e+04
0.170	3.402475e+04	7.798859e+03	2.622589e+04
0.180	3.422130e+04	8.408362e+03	2.581294e+04
0.190	3.446024e+04	9.041990e+03	2.541825e+04
0.200	3.472909e+04	9.689548e+03	2.503954e+04
0.210	3.500104e+04	1.032612e+04	2.467492e+04
0.220	3.526469e+04	1.094190e+04	2.432279e+04
0.230	3.553583e+04	1.155400e+04	2.398183e+04
0.240	3.583913e+04	1.218823e+04	2.365090e+04
0.250	3.618383e+04	1.285479e+04	2.332903e+04
0.260	3.656744e+04	1.355205e+04	2.301539e+04
0.270	3.698603e+04	1.427676e+04	2.270926e+04
0.280	3.743882e+04	1.502880e+04	2.241002e+04
0.290	3.792187e+04	1.580474e+04	2.211713e+04
0.300	3.842825e+04	1.659816e+04	2.183010e+04
0.310	3.894925e+04	1.740074e+04	2.154852e+04
0.320	3.948039e+04	1.820838e+04	2.127202e+04
0.330	4.002198e+04	1.902171e+04	2.100028e+04
0.340	4.058032e+04	1.984732e+04	2.073301e+04
0.350	4.116356e+04	2.069361e+04	2.046995e+04
0.360	4.178055e+04	2.156968e+04	2.021088e+04
0.370	4.243658e+04	2.248100e+04	1.995559e+04
0.380	4.313357e+04	2.342967e+04	1.970390e+04
0.390	4.386927e+04	2.441361e+04	1.945566e+04
0.400	4.464123e+04	2.543052e+04	1.921071e+04
0.410	4.544678e+04	2.647785e+04	1.896893e+04
0.420	4.628396e+04	2.755377e+04	1.873020e+04
0.430	4.714928e+04	2.865487e+04	1.849440e+04
0.440	4.804003e+04	2.977857e+04	1.826146e+04
0.450	4.895502e+04	3.092374e+04	1.803128e+04
0.460	4.989686e+04	3.209308e+04	1.780378e+04
0.470	5.086977e+04	3.329087e+04	1.757890e+04
0.480	5.187894e+04	3.452237e+04	1.735657e+04
0.490	5.292777e+04	3.579104e+04	1.713673e+04
0.500	5.401778e+04	3.709844e+04	1.691934e+04
0.510	5.514673e+04	3.844240e+04	1.670434e+04
0.520	5.630958e+04	3.981790e+04	1.649169e+04
0.530	5.749927e+04	4.121792e+04	1.628135e+04
0.540	5.871014e+04	4.263686e+04	1.607328e+04
0.550	5.993911e+04	4.407166e+04	1.586746e+04
0.560	6.118676e+04	4.552292e+04	1.566384e+04
0.570	6.245559e+04	4.699318e+04	1.546241e+04
0.580	6.374971e+04	4.848656e+04	1.526314e+04
0.590	6.507401e+04	5.000800e+04	1.506600e+04
