a_i  	N_t         	N_i         	N_p         
0.010	5.498079e+04	0.000000e+00	5.498079e+04
0.020	3.163038e+04	6.835672e+00	3.162354e+04
0.030	2.551033e+04	0.000000e+00	2.551033e+04
0.040	2.251587e+04	5.793321e+00	2.251008e+04
0.050	2.062118e+04	0.000000e+00	2.062118e+04
0.060	1.942498e+04	1.570814e+02	1.926790e+04
0.070	1.900690e+04	7.857979e+02	1.822110e+04
0.080	1.896889e+04	1.599063e+03	1.736983e+04
0.090	1.887934e+04	2.225656e+03	1.665368e+04
0.100	1.876312e+04	2.727049e+03	1.603607e+04
0.110	1.876108e+04	3.267771e+03	1.549331e+04
0.120	1.881833e+04	3.809218e+03	1.500911e+04
0.130	1.887352e+04	4.301679e+03	1.457184e+04
0.140	1.893189e+04	4.758998e+03	1.417289e+04
0.150	1.900302e+04	5.197260e+03	1.380576e+04
0.160	1.909219e+04	5.626780e+03	1.346541e+04
0.170	1.920071e+04	6.052815e+03	1.314789e+04
0.180	1.932996e+04	6.479922e+03	1.285004e+04
0.190	1.948258e+04	6.913287e+03	1.256929e+04
0.200	1.965326e+04	7.349720e+03	1.230354e+04
0.210	1.982841e+04	7.777343e+03	1.205107e+04
0.220	2.000555e+04	8.195155e+03	1.181040e+04
0.230	2.019857e+04	8.618247e+03	1.158032e+04
0.240	2.042215e+04	9.062365e+03	1.135979e+04
0.250	2.067532e+04	9.527421e+03	1.114790e+04
0.260	2.094692e+04	1.000302e+04	1.094390e+04
0.270	2.122712e+04	1.048001e+04	1.074711e+04
0.280	2.151344e+04	1.095649e+04	1.055695e+04
0.290	2.180594e+04	1.143304e+04	1.037290e+04
0.300	2.210518e+04	1.191065e+04	1.019453e+04
0.310	2.241150e+04	1.239008e+04	1.002142e+04
0.320	2.272743e+04	1.287420e+04	9.853233e+03
0.330	2.305646e+04	1.336682e+04	9.689644e+03
0.340	2.340326e+04	1.387289e+04	9.530371e+03
0.350	2.377143e+04	1.439627e+04	9.375161e+03
0.360	2.416334e+04	1.493956e+04	9.223785e+03
0.370	2.457775e+04	1.550171e+04	9.076034e+03
0.380	2.501112e+04	1.607940e+04	8.931721e+03
0.390	2.545849e+04	1.666781e+04	8.790675e+03
0.400	2.591665e+04	1.726392e+04	8.652739e+03
0.410	2.638373e+04	1.786596e+04	8.517771e+03
0.420	2.685933e+04	1.847369e+04	8.385640e+03
0.430	2.734241e+04	1.908618e+04	8.256224e+03
0.440	2.783265e+04	1.970323e+04	8.129415e+03
0.450	2.833040e+04	2.032529e+04	8.005108e+03
0.460	2.883850e+04	2.095529e+04	7.883210e+03
0.470	2.936074e+04	2.159711e+04	7.763632e+03
0.480	2.990179e+04	2.225549e+04	7.646292e+03
0.490	3.046500e+04	2.293388e+04	7.531116e+03
0.500	3.105273e+04	2.363470e+04	7.418031e+03
0.510	3.166475e+04	2.435777e+04	7.306971e+03
0.520	3.229917e+04	2.510129e+04	7.197875e+03
0.530	3.295240e+04	2.586172e+04	7.090683e+03
0.540	3.362170e+04	2.663635e+04	6.985342e+03
0.550	3.430531e+04	2.742351e+04	6.881798e+03
0.560	3.500349e+04	2.822349e+04	6.780005e+03
0.570	3.571650e+04	2.903658e+04	6.679914e+03
0.580	3.644467e+04	2.986319e+04	6.581484e+03
0.590	3.718748e+04	3.070281e+04	6.484671e+03
0.600	3.794498e+04	3.155554e+04	6.389438e+03
0.610	3.871726e+04	3.242152e+04	6.295747e+03
0.620	3.950553e+04	3.330197e+04	6.203562e+03
0.630	4.031089e+04	3.419804e+04	6.112849e+03
0.640	4.113500e+04	3.511143e+04	6.023576e+03
0.650	4.197892e+04	3.604321e+04	5.935711e+03
0.660	4.284354e+04	3.699432e+04	5.849225e+03
0.670	4.372842e+04	3.796433e+04	5.764089e+03
0.680	4.463237e+04	3.895209e+04	5.680275e+03
0.690	4.555300e+04	3.995525e+04	5.597758e+03
0.700	4.648816e+04	4.097165e+04	5.516512e+03
0.710	4.743572e+04	4.199920e+04	5.436512e+03
0.720	4.839453e+04	4.303680e+04	5.357734e+03
0.730	4.936351e+04	4.408335e+04	5.280157e+03
0.740	5.034212e+04	4.513836e+04	5.203756e+03
0.750	5.132965e+04	4.620114e+04	5.128512e+03
0.760	5.232624e+04	4.727184e+04	5.054402e+03
0.770	5.333255e+04	4.835114e+04	4.981408e+03
0.780	5.435072e+04	4.944121e+04	4.909509e+03
0.790	5.538346e+04	5.054477e+04	4.838686e+03
0.800	5.643411e+04	5.166519e+04	4.768921e+03
0.810	5.750545e+04	5.280525e+04	4.700196e+03
0.820	5.860001e+04	5.396752e+04	4.632493e+03
0.830	5.971955e+04	5.515376e+04	4.565795e+03
0.840	6.086579e+04	5.636571e+04	4.500085e+03
0.850	6.203994e+04	5.760459e+04	4.435347e+03
0.860	6.324314e+04	5.887157e+04	4.371565e+03
0.870	6.447566e+04	6.016694e+04	4.308724e+03
0.880	6.573721e+04	6.149041e+04	4.246807e+03
0.890	6.702622e+04	6.284042e+04	4.185801e+03
0.900	6.834055e+04	6.421486e+04	4.125691e+03
0.910	6.967718e+04	6.561072e+04	4.066462e+03
0.920	7.103314e+04	6.702504e+04	4.008101e+03
0.930	7.240518e+04	6.845459e+04	3.950593e+03
0.940	7.379044e+04	6.989651e+04	3.893926e+03
0.950	7.518601e+04	7.134793e+04	3.838086e+03
0.960	7.658958e+04	7.280652e+04	3.783060e+03
0.970	7.799892e+04	7.427008e+04	3.728836e+03
0.980	7.941239e+04	7.573699e+04	3.675401e+03
0.990	8.082851e+04	7.720577e+04	3.622743e+03
1.000	8.224646e+04	7.867561e+04	3.570850e+03
1.010	8.366589e+04	8.014618e+04	3.519710e+03
1.020	8.508754e+04	8.161823e+04	3.469312e+03
1.030	8.651295e+04	8.309331e+04	3.419644e+03
1.040	8.794452e+04	8.457382e+04	3.370695e+03
1.050	8.938476e+04	8.606230e+04	3.322455e+03
1.060	9.083628e+04	8.756137e+04	3.274912e+03
1.070	9.230119e+04	8.907314e+04	3.228056e+03
1.080	9.378141e+04	9.059953e+04	3.181876e+03
1.090	9.527851e+04	9.214215e+04	3.136362e+03
1.100	9.679424e+04	9.370274e+04	3.091504e+03
1.110	9.833029e+04	9.528300e+04	3.047293e+03
1.120	9.988846e+04	9.688474e+04	3.003718e+03
1.130	1.014701e+05	9.850935e+04	2.960769e+03
1.140	1.030763e+05	1.001578e+05	2.918438e+03
1.150	1.047070e+05	1.018303e+05	2.876715e+03
1.160	1.063620e+05	1.035264e+05	2.835591e+03
1.170	1.080403e+05	1.052452e+05	2.795057e+03
1.180	1.097407e+05	1.069856e+05	2.755104e+03
1.190	1.114621e+05	1.087464e+05	2.715723e+03
1.200	1.132031e+05	1.105262e+05	2.676906e+03
1.210	1.149624e+05	1.123238e+05	2.638644e+03
1.220	1.167385e+05	1.141376e+05	2.600929e+03
