a_i  	N_t         	N_i         	N_p         
0.010	7.196269e+04	2.713608e+00	7.195997e+04
0.020	4.448511e+04	0.000000e+00	4.448511e+04
0.030	3.719260e+04	2.680004e+01	3.716580e+04
0.040	3.350798e+04	0.000000e+00	3.350798e+04
0.050	3.116254e+04	0.000000e+00	3.116254e+04
0.060	3.044617e+04	9.948275e+02	2.945134e+04
0.070	3.062912e+04	2.524842e+03	2.810427e+04
0.080	3.060923e+04	3.618982e+03	2.699025e+04
0.090	3.050858e+04	4.470422e+03	2.603816e+04
0.100	3.046978e+04	5.264860e+03	2.520492e+04
0.110	3.056122e+04	6.098598e+03	2.446263e+04
0.120	3.078584e+04	6.993925e+03	2.379192e+04
0.130	3.103911e+04	7.860184e+03	2.317893e+04
0.140	3.126749e+04	8.654182e+03	2.261331e+04
0.150	3.151674e+04	9.429527e+03	2.208721e+04
0.160	3.181631e+04	1.022180e+04	2.159451e+04
0.170	3.214961e+04	1.101922e+04	2.113039e+04
0.180	3.252148e+04	1.183052e+04	2.069095e+04
0.190	3.295549e+04	1.268241e+04	2.027308e+04
0.200	3.345149e+04	1.357731e+04	1.987418e+04
0.210	3.397941e+04	1.448730e+04	1.949211e+04
0.220	3.452053e+04	1.539544e+04	1.912509e+04
0.230	3.508089e+04	1.630927e+04	1.877161e+04
0.240	3.567448e+04	1.724409e+04	1.843038e+04
0.250	3.630168e+04	1.820136e+04	1.810032e+04
0.260	3.695809e+04	1.917763e+04	1.778047e+04
0.270	3.764464e+04	2.017462e+04	1.747001e+04
0.280	3.837167e+04	2.120342e+04	1.716825e+04
0.290	3.914778e+04	2.227322e+04	1.687455e+04
0.300	3.997548e+04	2.338709e+04	1.658838e+04
0.310	4.084939e+04	2.454014e+04	1.630925e+04
0.320	4.176323e+04	2.572650e+04	1.603674e+04
0.330	4.271084e+04	2.694038e+04	1.577046e+04
0.340	4.369001e+04	2.817993e+04	1.551008e+04
0.350	4.470123e+04	2.944593e+04	1.525530e+04
0.360	4.574883e+04	3.074299e+04	1.500584e+04
0.370	4.683648e+04	3.207501e+04	1.476147e+04
0.380	4.796685e+04	3.344490e+04	1.452195e+04
0.390	4.914045e+04	3.485336e+04	1.428709e+04
0.400	5.035813e+04	3.630143e+04	1.405670e+04
0.410	5.161919e+04	3.778856e+04	1.383063e+04
0.420	5.292066e+04	3.931195e+04	1.360870e+04
0.430	5.425558e+04	4.086478e+04	1.339080e+04
0.440	5.561592e+04	4.243914e+04	1.317678e+04
0.450	5.699499e+04	4.402847e+04	1.296652e+04
0.460	5.839101e+04	4.563109e+04	1.275992e+04
0.470	5.980721e+04	4.725034e+04	1.255688e+04
0.480	6.125153e+04	4.889424e+04	1.235729e+04
0.490	6.273425e+04	5.057318e+04	1.216107e+04
0.500	6.426583e+04	5.229769e+04	1.196814e+04
0.510	6.585442e+04	5.407600e+04	1.177841e+04
0.520	6.750462e+04	5.591280e+04	1.159182e+04
0.530	6.921738e+04	5.780909e+04	1.140829e+04
0.540	7.099121e+04	5.976345e+04	1.122776e+04
0.550	7.282328e+04	6.177312e+04	1.105016e+04
0.560	7.470884e+04	6.383340e+04	1.087544e+04
0.570	7.664091e+04	6.593736e+04	1.070354e+04
0.580	7.860988e+04	6.807547e+04	1.053440e+04
0.590	8.060511e+04	7.023713e+04	1.036798e+04
0.600	8.261630e+04	7.241208e+04	1.020422e+04
0.610	8.463571e+04	7.459264e+04	1.004307e+04
0.620	8.665863e+04	7.677414e+04	9.884491e+03
0.630	8.868429e+04	7.895586e+04	9.728435e+03
0.640	9.071517e+04	8.114031e+04	9.574860e+03
0.650	9.275713e+04	8.333341e+04	9.423724e+03
0.660	9.481727e+04	8.554228e+04	9.274986e+03
0.670	9.690324e+04	8.777463e+04	9.128607e+03
0.680	9.902143e+04	9.003689e+04	8.984547e+03
0.690	1.011776e+05	9.233484e+04	8.842771e+03
0.700	1.033761e+05	9.467289e+04	8.703240e+03
0.710	1.056212e+05	9.705523e+04	8.565920e+03
0.720	1.079154e+05	9.948458e+04	8.430775e+03
0.730	1.102603e+05	1.019625e+05	8.297772e+03
0.740	1.126549e+05	1.044880e+05	8.166876e+03
0.750	1.150960e+05	1.070579e+05	8.038055e+03
0.760	1.175785e+05	1.096672e+05	7.911278e+03
0.770	1.200971e+05	1.123106e+05	7.786511e+03
0.780	1.226460e+05	1.149823e+05	7.663724e+03
0.790	1.252206e+05	1.176777e+05	7.542887e+03
0.800	1.278157e+05	1.203917e+05	7.423970e+03
0.810	1.304267e+05	1.231198e+05	7.306942e+03
0.820	1.330483e+05	1.258565e+05	7.191776e+03
0.830	1.356762e+05	1.285978e+05	7.078441e+03
0.840	1.383065e+05	1.313396e+05	6.966911e+03
0.850	1.409373e+05	1.340802e+05	6.857157e+03
0.860	1.435673e+05	1.368182e+05	6.749152e+03
0.870	1.461970e+05	1.395541e+05	6.642869e+03
0.880	1.488268e+05	1.422885e+05	6.538282e+03
0.890	1.514581e+05	1.450227e+05	6.435363e+03
0.900	1.540920e+05	1.477579e+05	6.334088e+03
0.910	1.567305e+05	1.504960e+05	6.234431e+03
0.920	1.593750e+05	1.532387e+05	6.136366e+03
0.930	1.620281e+05	1.559882e+05	6.039869e+03
0.940	1.646916e+05	1.587467e+05	5.944916e+03
0.950	1.673679e+05	1.615164e+05	5.851482e+03
0.960	1.700587e+05	1.642992e+05	5.759544e+03
0.970	1.727661e+05	1.670970e+05	5.669077e+03
0.980	1.754910e+05	1.699109e+05	5.580060e+03
0.990	1.782345e+05	1.727420e+05	5.492469e+03
1.000	1.809965e+05	1.755902e+05	5.406281e+03
1.010	1.837774e+05	1.784559e+05	5.321475e+03
1.020	1.865771e+05	1.813391e+05	5.238028e+03
1.030	1.893965e+05	1.842406e+05	5.155919e+03
1.040	1.922360e+05	1.871608e+05	5.075126e+03
1.050	1.950962e+05	1.901006e+05	4.995630e+03
1.060	1.979770e+05	1.930596e+05	4.917408e+03
1.070	2.008777e+05	1.960372e+05	4.840441e+03
1.080	2.037966e+05	1.990319e+05	4.764708e+03
1.090	2.067326e+05	2.020424e+05	4.690189e+03
1.100	2.096841e+05	2.050672e+05	4.616866e+03
1.110	2.126503e+05	2.081056e+05	4.544718e+03
1.120	2.156307e+05	2.111570e+05	4.473727e+03
1.130	2.186249e+05	2.142211e+05	4.403874e+03
1.140	2.216320e+05	2.172969e+05	4.335141e+03
1.150	2.246510e+05	2.203835e+05	4.267509e+03
1.160	2.276799e+05	2.234790e+05	4.200960e+03
1.170	2.307174e+05	2.265819e+05	4.135477e+03
1.180	2.337616e+05	2.296906e+05	4.071043e+03
1.190	2.368117e+05	2.328041e+05	4.007640e+03
1.200	2.398667e+05	2.359215e+05	3.945251e+03
1.210	2.429261e+05	2.390422e+05	3.883861e+03
1.220	2.459891e+05	2.421657e+05	3.823452e+03
1.230	2.490551e+05	2.452911e+05	3.764008e+03
1.240	2.521230e+05	2.484175e+05	3.705513e+03
1.250	2.551917e+05	2.515437e+05	3.647953e+03
1.260	2.582599e+05	2.546686e+05	3.591311e+03
1.270	2.613265e+05	2.577910e+05	3.535573e+03
1.280	2.643902e+05	2.609095e+05	3.480723e+03
1.290	2.674500e+05	2.640232e+05	3.426747e+03
1.300	2.705050e+05	2.671314e+05	3.373631e+03
1.310	2.735550e+05	2.702336e+05	3.321359e+03
1.320	2.765995e+05	2.733296e+05	3.269919e+03
1.330	2.796385e+05	2.764192e+05	3.219296e+03
1.340	2.826714e+05	2.795020e+05	3.169478e+03
1.350	2.856977e+05	2.825773e+05	3.120450e+03
1.360	2.887164e+05	2.856442e+05	3.072199e+03
1.370	2.917266e+05	2.887019e+05	3.024713e+03
1.380	2.947280e+05	2.917500e+05	2.977980e+03
1.390	2.977204e+05	2.947884e+05	2.931985e+03
1.400	3.007041e+05	2.978174e+05	2.886718e+03
1.410	3.036794e+05	3.008372e+05	2.842166e+03
1.420	3.066462e+05	3.038479e+05	2.798317e+03
1.430	3.096041e+05	3.068489e+05	2.755160e+03
1.440	3.125524e+05	3.098397e+05	2.712683e+03
1.450	3.154903e+05	3.128194e+05	2.670875e+03
1.460	3.184176e+05	3.157879e+05	2.629725e+03
1.470	3.213343e+05	3.187451e+05	2.589221e+03
1.480	3.242410e+05	3.216917e+05	2.549354e+03
1.490	3.271385e+05	3.246284e+05	2.510111e+03
1.500	3.300275e+05	3.275560e+05	2.471485e+03
1.510	3.329085e+05	3.304750e+05	2.433463e+03
1.520	3.357817e+05	3.333857e+05	2.396035e+03
1.530	3.386469e+05	3.362877e+05	2.359193e+03
1.540	3.415038e+05	3.391809e+05	2.322927e+03
1.550	3.443521e+05	3.420648e+05	2.287226e+03
1.560	3.471913e+05	3.449392e+05	2.252081e+03
1.570	3.500213e+05	3.478039e+05	2.217483e+03
1.580	3.528423e+05	3.506589e+05	2.183424e+03
1.590	3.556544e+05	3.535045e+05	2.149894e+03
1.600	3.584581e+05	3.563412e+05	2.116884e+03
1.610	3.612541e+05	3.591697e+05	2.084387e+03
1.620	3.640429e+05	3.619905e+05	2.052392e+03
1.630	3.668253e+05	3.648044e+05	2.020893e+03
