a_i  	N_t         	N_i         	N_p         
0.010	7.000159e+04	0.000000e+00	7.000159e+04
0.020	4.484056e+04	1.408925e+00	4.483915e+04
0.030	3.812901e+04	4.805177e+00	3.812421e+04
0.040	3.475877e+04	0.000000e+00	3.475877e+04
0.050	3.259199e+04	0.000000e+00	3.259199e+04
0.060	3.150961e+04	5.050368e+02	3.100457e+04
0.070	3.150653e+04	1.756631e+03	2.974990e+04
0.080	3.147821e+04	2.770166e+03	2.870804e+04
0.090	3.130997e+04	3.496067e+03	2.781390e+04
0.100	3.126053e+04	4.232535e+03	2.702800e+04
0.110	3.131248e+04	4.987693e+03	2.632479e+04
0.120	3.144257e+04	5.755988e+03	2.568659e+04
0.130	3.159831e+04	6.497576e+03	2.510073e+04
0.140	3.176168e+04	7.203906e+03	2.455778e+04
0.150	3.196847e+04	7.917900e+03	2.405057e+04
0.160	3.223602e+04	8.662484e+03	2.357354e+04
0.170	3.254024e+04	9.417965e+03	2.312227e+04
0.180	3.286642e+04	1.017316e+04	2.269326e+04
0.190	3.322339e+04	1.093976e+04	2.228363e+04
0.200	3.361636e+04	1.172532e+04	2.189104e+04
0.210	3.403347e+04	1.251993e+04	2.151354e+04
0.220	3.447591e+04	1.332640e+04	2.114951e+04
0.230	3.496197e+04	1.416439e+04	2.079758e+04
0.240	3.550592e+04	1.504933e+04	2.045659e+04
0.250	3.609736e+04	1.597182e+04	2.012554e+04
0.260	3.671597e+04	1.691237e+04	1.980359e+04
0.270	3.734756e+04	1.785756e+04	1.949000e+04
0.280	3.799497e+04	1.881084e+04	1.918413e+04
0.290	3.866779e+04	1.978236e+04	1.888542e+04
0.300	3.937693e+04	2.078354e+04	1.859339e+04
0.310	4.012873e+04	2.182112e+04	1.830761e+04
0.320	4.092778e+04	2.290009e+04	1.802770e+04
0.330	4.177342e+04	2.402010e+04	1.775332e+04
0.340	4.266352e+04	2.517934e+04	1.748418e+04
0.350	4.359360e+04	2.637358e+04	1.722002e+04
0.360	4.456086e+04	2.760026e+04	1.696060e+04
0.370	4.556163e+04	2.885592e+04	1.670571e+04
0.380	4.659487e+04	3.013971e+04	1.645515e+04
0.390	4.766097e+04	3.145221e+04	1.620877e+04
0.400	4.876451e+04	3.279813e+04	1.596639e+04
0.410	4.991031e+04	3.418243e+04	1.572788e+04
0.420	5.110254e+04	3.560942e+04	1.549312e+04
0.430	5.233977e+04	3.707778e+04	1.526198e+04
0.440	5.361667e+04	3.858230e+04	1.503437e+04
0.450	5.492473e+04	4.011454e+04	1.481018e+04
0.460	5.625772e+04	4.166839e+04	1.458933e+04
0.470	5.761144e+04	4.323971e+04	1.437173e+04
0.480	5.898559e+04	4.482828e+04	1.415731e+04
0.490	6.038175e+04	4.643575e+04	1.394600e+04
0.500	6.180471e+04	4.806699e+04	1.373772e+04
0.510	6.326054e+04	4.972810e+04	1.353244e+04
0.520	6.475630e+04	5.142622e+04	1.333007e+04
0.530	6.629791e+04	5.316733e+04	1.313058e+04
0.540	6.789156e+04	5.495765e+04	1.293391e+04
0.550	6.954287e+04	5.680286e+04	1.274001e+04
0.560	7.125681e+04	5.870797e+04	1.254884e+04
0.570	7.303453e+04	6.067417e+04	1.236036e+04
