a_i  	N_t         	N_i         	N_p         
0.010	7.300000e+16	0.000000e+00	7.300000e+16
0.020	7.300000e+16	1.060393e+04	7.300000e+16
0.030	7.300000e+16	3.079818e+04	7.300000e+16
0.040	7.300000e+16	4.358836e+04	7.300000e+16
0.050	7.300000e+16	5.494336e+04	7.300000e+16
0.060	7.300000e+16	6.554020e+04	7.300000e+16
0.070	7.300000e+16	7.475918e+04	7.300000e+16
0.080	7.300000e+16	8.466780e+04	7.300000e+16
0.090	7.300000e+16	9.498759e+04	7.300000e+16
0.100	7.300000e+16	1.049037e+05	7.300000e+16
0.110	7.300000e+16	1.153996e+05	7.300000e+16
0.120	7.300000e+16	1.268923e+05	7.300000e+16
0.130	7.300000e+16	1.386027e+05	7.300000e+16
0.140	7.300000e+16	1.504890e+05	7.300000e+16
0.150	7.300000e+16	1.631302e+05	7.300000e+16
0.160	7.300000e+16	1.769022e+05	7.300000e+16
0.170	7.300000e+16	1.917289e+05	7.300000e+16
0.180	7.300000e+16	2.076578e+05	7.300000e+16
0.190	7.300000e+16	2.247006e+05	7.300000e+16
0.200	7.300000e+16	2.428573e+05	7.300000e+16
0.210	7.300000e+16	2.618966e+05	7.300000e+16
0.220	7.300000e+16	2.817605e+05	7.300000e+16
0.230	7.300000e+16	3.024513e+05	7.300000e+16
0.240	7.300000e+16	3.241633e+05	7.300000e+16
0.250	7.300000e+16	3.469722e+05	7.300000e+16
0.260	7.300000e+16	3.710565e+05	7.300000e+16
0.270	7.300000e+16	3.965132e+05	7.300000e+16
0.280	7.300000e+16	4.235306e+05	7.300000e+16
0.290	7.300000e+16	4.521162e+05	7.300000e+16
0.300	7.300000e+16	4.822511e+05	7.300000e+16
0.310	7.300000e+16	5.136953e+05	7.300000e+16
0.320	7.300000e+16	5.462644e+05	7.300000e+16
0.330	7.300000e+16	5.797236e+05	7.300000e+16
0.340	7.300000e+16	6.140332e+05	7.300000e+16
0.350	7.300000e+16	6.491981e+05	7.300000e+16
0.360	7.300000e+16	6.854583e+05	7.300000e+16
0.370	7.300000e+16	7.230997e+05	7.300000e+16
0.380	7.300000e+16	7.625492e+05	7.300000e+16
0.390	7.300000e+16	8.041351e+05	7.300000e+16
0.400	7.300000e+16	8.481965e+05	7.300000e+16
0.410	7.300000e+16	8.948847e+05	7.300000e+16
0.420	7.300000e+16	9.442881e+05	7.300000e+16
0.430	7.300000e+16	9.962496e+05	7.300000e+16
0.440	7.300000e+16	1.050538e+06	7.300000e+16
0.450	7.300000e+16	1.106758e+06	7.300000e+16
0.460	7.300000e+16	1.164589e+06	7.300000e+16
0.470	7.300000e+16	1.223685e+06	7.300000e+16
0.480	7.300000e+16	1.283858e+06	7.300000e+16
0.490	7.300000e+16	1.344944e+06	7.300000e+16
0.500	7.300000e+16	1.406960e+06	7.300000e+16
0.510	7.300000e+16	1.469969e+06	7.300000e+16
0.520	7.300000e+16	1.534203e+06	7.300000e+16
0.530	7.200000e+16	1.599900e+06	7.200000e+16
0.540	7.100000e+16	1.667399e+06	7.100000e+16
0.550	7.000000e+16	1.736991e+06	7.000000e+16
0.560	6.900000e+16	1.809007e+06	6.900000e+16
0.570	6.800000e+16	1.883675e+06	6.800000e+16
0.580	6.700000e+16	1.961219e+06	6.700000e+16
0.590	6.600000e+16	2.041728e+06	6.600000e+16
0.600	6.500000e+16	2.125272e+06	6.500000e+16
0.610	6.400000e+16	2.211798e+06	6.400000e+16
0.620	6.300000e+16	2.301241e+06	6.300000e+16
0.630	6.200000e+16	2.393431e+06	6.200000e+16
0.640	6.100000e+16	2.488226e+06	6.100000e+16
0.650	6.000000e+16	2.585419e+06	6.000000e+16
0.660	5.900000e+16	2.684854e+06	5.900000e+16
0.670	5.800000e+16	2.786329e+06	5.800000e+16
0.680	5.700000e+16	2.889710e+06	5.700000e+16
0.690	5.600000e+16	2.994829e+06	5.600000e+16
0.700	5.500000e+16	3.101598e+06	5.500000e+16
0.710	5.400000e+16	3.209917e+06	5.400000e+16
0.720	5.300000e+16	3.319768e+06	5.300000e+16
0.730	5.200000e+16	3.431121e+06	5.200000e+16
0.740	5.100000e+16	3.544018e+06	5.100000e+16
0.750	5.000000e+16	3.658482e+06	5.000000e+16
0.760	4.900000e+16	3.774599e+06	4.900000e+16
0.770	4.800000e+16	3.892431e+06	4.800000e+16
0.780	4.700000e+16	4.012097e+06	4.700000e+16
0.790	4.600000e+16	4.133685e+06	4.600000e+16
0.800	4.500000e+16	4.257327e+06	4.500000e+16
0.810	4.400000e+16	4.383114e+06	4.400000e+16
0.820	4.300000e+16	4.511174e+06	4.300000e+16
0.830	4.200000e+16	4.641589e+06	4.200000e+16
0.840	4.100000e+16	4.774479e+06	4.100000e+16
0.850	4.000000e+16	4.909922e+06	4.000000e+16
0.860	3.900000e+16	5.048029e+06	3.900000e+16
0.870	3.800000e+16	5.188871e+06	3.800000e+16
0.880	3.700000e+16	5.332546e+06	3.700000e+16
0.890	3.600000e+16	5.479105e+06	3.600000e+16
0.900	3.500000e+16	5.628627e+06	3.500000e+16
0.910	3.400000e+16	5.781145e+06	3.400000e+16
0.920	3.300000e+16	5.936724e+06	3.300000e+16
0.930	3.200000e+16	6.095383e+06	3.200000e+16
0.940	3.100000e+16	6.257169e+06	3.100000e+16
0.950	3.000000e+16	6.422086e+06	3.000000e+16
0.960	2.900000e+16	6.590167e+06	2.900000e+16
0.970	2.800000e+16	6.761403e+06	2.800000e+16
0.980	2.700000e+16	6.935806e+06	2.700000e+16
0.990	2.600000e+16	7.113351e+06	2.600000e+16
1.000	2.500000e+16	7.294030e+06	2.500000e+16
1.010	2.400000e+16	7.477806e+06	2.400000e+16
1.020	2.300000e+16	7.664667e+06	2.300000e+16
