a_i  	N_t         	N_i         	N_p         
0.010	4.006950e+04	0.000000e+00	4.006950e+04
0.020	2.423363e+04	2.773377e-01	2.423335e+04
0.030	2.010247e+04	0.000000e+00	2.010247e+04
0.040	1.807709e+04	1.651981e-01	1.807692e+04
0.050	1.680005e+04	0.000000e+00	1.680005e+04
0.060	1.589307e+04	8.910365e+00	1.588416e+04
0.070	1.517496e+04	0.000000e+00	1.517496e+04
0.080	1.459736e+04	0.000000e+00	1.459736e+04
0.090	1.429036e+04	1.800314e+02	1.411033e+04
0.100	1.419893e+04	5.099378e+02	1.368900e+04
0.110	1.414965e+04	8.323072e+02	1.331734e+04
0.120	1.411426e+04	1.129889e+03	1.298437e+04
0.130	1.408334e+04	1.401057e+03	1.268228e+04
0.140	1.404498e+04	1.639655e+03	1.240532e+04
0.150	1.401285e+04	1.863666e+03	1.214918e+04
0.160	1.400196e+04	2.091457e+03	1.191051e+04
0.170	1.400721e+04	2.320527e+03	1.168668e+04
0.180	1.402224e+04	2.546630e+03	1.147562e+04
0.190	1.405208e+04	2.776466e+03	1.127562e+04
0.200	1.409535e+04	3.010038e+03	1.108531e+04
0.210	1.413845e+04	3.234910e+03	1.090354e+04
0.220	1.417559e+04	3.446241e+03	1.072935e+04
0.230	1.421629e+04	3.654347e+03	1.056194e+04
0.240	1.427173e+04	3.871110e+03	1.040062e+04
0.250	1.434264e+04	4.097827e+03	1.024481e+04
0.260	1.442308e+04	4.329080e+03	1.009400e+04
0.270	1.450876e+04	4.561006e+03	9.947753e+03
0.280	1.459978e+04	4.794092e+03	9.805689e+03
0.290	1.469733e+04	5.029851e+03	9.667474e+03
0.300	1.480159e+04	5.268772e+03	9.532816e+03
0.310	1.491188e+04	5.510427e+03	9.401455e+03
0.320	1.502809e+04	5.754924e+03	9.273162e+03
0.330	1.515062e+04	6.002890e+03	9.147733e+03
0.340	1.528055e+04	6.255562e+03	9.024985e+03
0.350	1.541883e+04	6.514079e+03	8.904756e+03
0.360	1.556608e+04	6.779177e+03	8.786899e+03
0.370	1.572151e+04	7.050233e+03	8.671282e+03
0.380	1.588351e+04	7.325727e+03	8.557786e+03
0.390	1.605032e+04	7.604021e+03	8.446303e+03
0.400	1.622161e+04	7.884876e+03	8.336736e+03
0.410	1.639839e+04	8.169390e+03	8.228995e+03
0.420	1.658246e+04	8.459460e+03	8.123000e+03
0.430	1.677511e+04	8.756437e+03	8.018677e+03
0.440	1.697712e+04	9.061158e+03	7.915958e+03
0.450	1.718900e+04	9.374223e+03	7.814782e+03
0.460	1.741190e+04	9.696805e+03	7.715091e+03
0.470	1.764697e+04	1.003013e+04	7.616834e+03
0.480	1.789498e+04	1.037501e+04	7.519963e+03
0.490	1.815541e+04	1.073097e+04	7.424433e+03
0.500	1.842675e+04	1.109654e+04	7.330203e+03
0.510	1.870647e+04	1.146923e+04	7.237236e+03
0.520	1.899158e+04	1.184609e+04	7.145497e+03
0.530	1.927920e+04	1.222425e+04	7.054952e+03
0.540	1.956785e+04	1.260227e+04	6.965572e+03
0.550	1.985811e+04	1.298078e+04	6.877328e+03
0.560	2.015260e+04	1.336241e+04	6.790194e+03
0.570	2.045455e+04	1.375040e+04	6.704146e+03
0.580	2.076683e+04	1.414767e+04	6.619160e+03
0.590	2.109134e+04	1.455613e+04	6.535216e+03
0.600	2.142928e+04	1.497699e+04	6.452292e+03
0.610	2.178116e+04	1.541079e+04	6.370370e+03
0.620	2.214697e+04	1.585754e+04	6.289431e+03
0.630	2.252596e+04	1.631650e+04	6.209460e+03
0.640	2.291686e+04	1.678642e+04	6.130439e+03
0.650	2.331804e+04	1.726569e+04	6.052353e+03
0.660	2.372776e+04	1.775257e+04	5.975189e+03
0.670	2.414414e+04	1.824521e+04	5.898932e+03
0.680	2.456537e+04	1.874180e+04	5.823570e+03
0.690	2.498998e+04	1.924089e+04	5.749090e+03
0.700	2.541733e+04	1.974185e+04	5.675479e+03
0.710	2.584790e+04	2.024517e+04	5.602728e+03
0.720	2.628308e+04	2.075226e+04	5.530823e+03
0.730	2.672474e+04	2.126499e+04	5.459756e+03
0.740	2.717476e+04	2.178524e+04	5.389516e+03
0.750	2.763473e+04	2.231464e+04	5.320093e+03
0.760	2.810599e+04	2.285451e+04	5.251477e+03
0.770	2.858972e+04	2.340607e+04	5.183660e+03
0.780	2.908699e+04	2.397036e+04	5.116632e+03
0.790	2.959858e+04	2.454820e+04	5.050384e+03
0.800	3.012472e+04	2.513981e+04	4.984909e+03
0.810	3.066498e+04	2.574478e+04	4.920198e+03
0.820	3.121829e+04	2.636205e+04	4.856243e+03
0.830	3.178336e+04	2.699032e+04	4.793036e+03
0.840	3.235884e+04	2.762827e+04	4.730569e+03
0.850	3.294375e+04	2.827491e+04	4.668835e+03
0.860	3.353736e+04	2.892953e+04	4.607827e+03
0.870	3.413930e+04	2.959176e+04	4.547536e+03
0.880	3.474933e+04	3.026137e+04	4.487956e+03
0.890	3.536744e+04	3.093836e+04	4.429080e+03
0.900	3.599378e+04	3.162288e+04	4.370901e+03
0.910	3.662880e+04	3.231538e+04	4.313412e+03
0.920	3.727304e+04	3.301643e+04	4.256605e+03
0.930	3.792726e+04	3.372678e+04	4.200475e+03
0.940	3.859216e+04	3.444714e+04	4.145015e+03
0.950	3.926844e+04	3.517822e+04	4.090218e+03
0.960	3.995661e+04	3.592053e+04	4.036077e+03
0.970	4.065699e+04	3.667440e+04	3.982586e+03
0.980	4.136953e+04	3.743980e+04	3.929739e+03
0.990	4.209389e+04	3.821636e+04	3.877529e+03
1.000	4.282927e+04	3.900332e+04	3.825950e+03
1.010	4.357472e+04	3.979973e+04	3.774996e+03
1.020	4.432924e+04	4.060458e+04	3.724661e+03
1.030	4.509206e+04	4.141712e+04	3.674937e+03
1.040	4.586251e+04	4.223669e+04	3.625820e+03
1.050	4.664006e+04	4.306276e+04	3.577303e+03
1.060	4.742407e+04	4.389469e+04	3.529380e+03
1.070	4.821387e+04	4.473182e+04	3.482044e+03
1.080	4.900868e+04	4.557339e+04	3.435291e+03
1.090	4.980806e+04	4.641894e+04	3.389114e+03
1.100	5.061184e+04	4.726833e+04	3.343507e+03
1.110	5.142050e+04	4.812204e+04	3.298464e+03
1.120	5.223489e+04	4.898091e+04	3.253979e+03
1.130	5.305628e+04	4.984624e+04	3.210047e+03
1.140	5.388598e+04	5.071932e+04	3.166662e+03
1.150	5.472531e+04	5.160149e+04	3.123818e+03
1.160	5.557539e+04	5.249388e+04	3.081508e+03
1.170	5.643740e+04	5.339768e+04	3.039729e+03
1.180	5.731246e+04	5.431398e+04	2.998473e+03
1.190	5.820181e+04	5.524407e+04	2.957736e+03
1.200	5.910661e+04	5.618910e+04	2.917511e+03
1.210	6.002799e+04	5.715020e+04	2.877793e+03
1.220	6.096671e+04	5.812813e+04	2.838577e+03
1.230	6.192329e+04	5.912343e+04	2.799857e+03
1.240	6.289778e+04	6.013616e+04	2.761628e+03
1.250	6.388998e+04	6.116609e+04	2.723884e+03
1.260	6.489917e+04	6.221255e+04	2.686619e+03
1.270	6.592443e+04	6.327460e+04	2.649829e+03
1.280	6.696443e+04	6.435092e+04	2.613508e+03
1.290	6.801780e+04	6.544015e+04	2.577651e+03
1.300	6.908301e+04	6.654076e+04	2.542253e+03
1.310	7.015871e+04	6.765140e+04	2.507308e+03
1.320	7.124347e+04	6.877066e+04	2.472811e+03
1.330	7.233603e+04	6.989727e+04	2.438757e+03
1.340	7.343493e+04	7.102979e+04	2.405141e+03
1.350	7.453880e+04	7.216684e+04	2.371958e+03
1.360	7.564614e+04	7.330694e+04	2.339202e+03
1.370	7.675581e+04	7.444894e+04	2.306870e+03
1.380	7.786680e+04	7.559185e+04	2.274955e+03
1.390	7.897868e+04	7.673522e+04	2.243454e+03
1.400	8.009120e+04	7.787884e+04	2.212360e+03
1.410	8.120451e+04	7.902284e+04	2.181670e+03
1.420	8.231867e+04	8.016729e+04	2.151378e+03
1.430	8.343390e+04	8.131242e+04	2.121480e+03
1.440	8.455037e+04	8.245840e+04	2.091971e+03
1.450	8.566856e+04	8.360572e+04	2.062846e+03
1.460	8.678911e+04	8.475501e+04	2.034100e+03
1.470	8.791312e+04	8.590739e+04	2.005730e+03
1.480	8.904185e+04	8.706412e+04	1.977731e+03
1.490	9.017677e+04	8.822667e+04	1.950097e+03
1.500	9.131925e+04	8.939642e+04	1.922825e+03
1.510	9.247061e+04	9.057470e+04	1.895910e+03
1.520	9.363184e+04	9.176249e+04	1.869348e+03
1.530	9.480378e+04	9.296064e+04	1.843134e+03
1.540	9.598698e+04	9.416972e+04	1.817264e+03
1.550	9.718199e+04	9.539026e+04	1.791733e+03
1.560	9.838915e+04	9.662262e+04	1.766539e+03
1.570	9.960888e+04	9.786721e+04	1.741676e+03
1.580	1.008415e+05	9.912432e+04	1.717140e+03
1.590	1.020872e+05	1.003943e+05	1.692927e+03
1.600	1.033464e+05	1.016774e+05	1.669033e+03
1.610	1.046193e+05	1.029739e+05	1.645454e+03
1.620	1.059060e+05	1.042838e+05	1.622186e+03
1.630	1.072065e+05	1.056073e+05	1.599226e+03
1.640	1.085205e+05	1.069439e+05	1.576568e+03
1.650	1.098474e+05	1.082932e+05	1.554210e+03
1.660	1.111865e+05	1.096544e+05	1.532148e+03
1.670	1.125369e+05	1.110265e+05	1.510377e+03
1.680	1.138975e+05	1.124086e+05	1.488894e+03
1.690	1.152673e+05	1.137996e+05	1.467696e+03
1.700	1.166450e+05	1.151983e+05	1.446778e+03
1.710	1.180298e+05	1.166037e+05	1.426138e+03
1.720	1.194208e+05	1.180150e+05	1.405771e+03
1.730	1.208174e+05	1.194317e+05	1.385674e+03
1.740	1.222193e+05	1.208535e+05	1.365843e+03
1.750	1.236262e+05	1.222799e+05	1.346276e+03
1.760	1.250375e+05	1.237106e+05	1.326968e+03
1.770	1.264529e+05	1.251449e+05	1.307916e+03
1.780	1.278712e+05	1.265821e+05	1.289118e+03
1.790	1.292917e+05	1.280211e+05	1.270569e+03
1.800	1.307132e+05	1.294609e+05	1.252266e+03
1.810	1.321351e+05	1.309009e+05	1.234207e+03
1.820	1.335569e+05	1.323405e+05	1.216387e+03
1.830	1.349788e+05	1.337800e+05	1.198804e+03
1.840	1.364009e+05	1.352194e+05	1.181455e+03
1.850	1.378233e+05	1.366590e+05	1.164337e+03
1.860	1.392463e+05	1.380989e+05	1.147446e+03
1.870	1.406697e+05	1.395389e+05	1.130780e+03
1.880	1.420933e+05	1.409790e+05	1.114336e+03
1.890	1.435169e+05	1.424188e+05	1.098110e+03
1.900	1.449402e+05	1.438581e+05	1.082100e+03
1.910	1.463634e+05	1.452971e+05	1.066303e+03
1.920	1.477867e+05	1.467359e+05	1.050716e+03
1.930	1.492104e+05	1.481750e+05	1.035337e+03
1.940	1.506349e+05	1.496148e+05	1.020162e+03
1.950	1.520610e+05	1.510558e+05	1.005189e+03
1.960	1.534889e+05	1.524985e+05	9.904151e+02
1.970	1.549192e+05	1.539434e+05	9.758379e+02
1.980	1.563524e+05	1.553910e+05	9.614547e+02
1.990	1.577888e+05	1.568415e+05	9.472629e+02
2.000	1.592286e+05	1.582953e+05	9.332599e+02
2.010	1.606718e+05	1.597524e+05	9.194432e+02
2.020	1.621186e+05	1.612128e+05	9.058103e+02
2.030	1.635689e+05	1.626765e+05	8.923588e+02
2.040	1.650227e+05	1.641437e+05	8.790862e+02
2.050	1.664804e+05	1.656144e+05	8.659902e+02
2.060	1.679422e+05	1.670891e+05	8.530684e+02
2.070	1.694085e+05	1.685682e+05	8.403184e+02
2.080	1.708797e+05	1.700520e+05	8.277379e+02
2.090	1.723563e+05	1.715410e+05	8.153248e+02
2.100	1.738385e+05	1.730354e+05	8.030766e+02
2.110	1.753266e+05	1.745356e+05	7.909914e+02
2.120	1.768209e+05	1.760418e+05	7.790667e+02
2.130	1.783214e+05	1.775541e+05	7.673005e+02
2.140	1.798281e+05	1.790724e+05	7.556908e+02
2.150	1.813409e+05	1.805967e+05	7.442352e+02
2.160	1.828597e+05	1.821268e+05	7.329319e+02
2.170	1.843843e+05	1.836625e+05	7.217786e+02
2.180	1.859146e+05	1.852038e+05	7.107736e+02
2.190	1.874505e+05	1.867506e+05	6.999146e+02
2.200	1.889923e+05	1.883031e+05	6.891999e+02
2.210	1.905399e+05	1.898613e+05	6.786273e+02
2.220	1.920936e+05	1.914254e+05	6.681951e+02
2.230	1.936533e+05	1.929954e+05	6.579014e+02
2.240	1.952190e+05	1.945712e+05	6.477443e+02
2.250	1.967906e+05	1.961528e+05	6.377219e+02
2.260	1.983679e+05	1.977401e+05	6.278325e+02
2.270	1.999507e+05	1.993326e+05	6.180741e+02
2.280	2.015386e+05	2.009302e+05	6.084450e+02
2.290	2.031318e+05	2.025329e+05	5.989434e+02
2.300	2.047303e+05	2.041407e+05	5.895676e+02
2.310	2.063337e+05	2.057534e+05	5.803161e+02
2.320	2.079418e+05	2.073707e+05	5.711872e+02
2.330	2.095546e+05	2.089925e+05	5.621791e+02
2.340	2.111720e+05	2.106187e+05	5.532901e+02
2.350	2.127939e+05	2.122494e+05	5.445186e+02
2.360	2.144202e+05	2.138843e+05	5.358631e+02
2.370	2.160506e+05	2.155233e+05	5.273220e+02
2.380	2.176850e+05	2.171661e+05	5.188938e+02
2.390	2.193232e+05	2.188126e+05	5.105771e+02
2.400	2.209649e+05	2.204625e+05	5.023702e+02
2.410	2.226101e+05	2.221159e+05	4.942717e+02
2.420	2.242587e+05	2.237724e+05	4.862801e+02
2.430	2.259104e+05	2.254321e+05	4.783940e+02
2.440	2.275652e+05	2.270946e+05	4.706121e+02
