a_i  	N_t         	N_i         	N_p         	N_a         
0.890	9.978597e+04	9.594359e+04	3.842386e+03	1.051542e+04
0.900	1.016803e+05	9.788890e+04	3.791411e+03	1.056640e+04
0.910	1.035944e+05	9.985336e+04	3.741077e+03	1.061673e+04
0.920	1.055278e+05	1.018364e+05	3.691375e+03	1.066643e+04
0.930	1.074800e+05	1.038377e+05	3.642298e+03	1.071551e+04
0.940	1.094503e+05	1.058564e+05	3.593838e+03	1.076397e+04
0.950	1.114379e+05	1.078920e+05	3.545988e+03	1.081182e+04
0.960	1.134419e+05	1.099431e+05	3.498740e+03	1.085907e+04
0.970	1.154611e+05	1.120090e+05	3.452087e+03	1.090572e+04
0.980	1.174942e+05	1.140881e+05	3.406022e+03	1.095179e+04
0.990	1.195398e+05	1.161793e+05	3.360538e+03	1.099727e+04
1.000	1.215963e+05	1.182806e+05	3.315627e+03	1.104218e+04
1.010	1.236625e+05	1.203912e+05	3.271283e+03	1.108653e+04
1.020	1.257373e+05	1.225098e+05	3.227499e+03	1.113031e+04
1.030	1.278207e+05	1.246364e+05	3.184269e+03	1.117354e+04
1.040	1.299127e+05	1.267711e+05	3.141585e+03	1.121622e+04
1.050	1.320139e+05	1.289145e+05	3.099442e+03	1.125837e+04
1.060	1.341245e+05	1.310666e+05	3.057833e+03	1.129998e+04
1.070	1.362445e+05	1.332278e+05	3.016751e+03	1.134106e+04
1.080	1.383737e+05	1.353975e+05	2.976190e+03	1.138162e+04
1.090	1.405121e+05	1.375759e+05	2.936145e+03	1.142166e+04
1.100	1.426599e+05	1.397633e+05	2.896608e+03	1.146120e+04
1.110	1.448183e+05	1.419607e+05	2.857574e+03	1.150023e+04
1.120	1.469882e+05	1.441691e+05	2.819037e+03	1.153877e+04
1.130	1.491711e+05	1.463901e+05	2.780991e+03	1.157682e+04
1.140	1.513680e+05	1.486246e+05	2.743430e+03	1.161438e+04
1.150	1.535796e+05	1.508732e+05	2.706348e+03	1.165146e+04
1.160	1.558059e+05	1.531362e+05	2.669739e+03	1.168807e+04
1.170	1.580471e+05	1.554135e+05	2.633599e+03	1.172421e+04
1.180	1.603032e+05	1.577052e+05	2.597920e+03	1.175989e+04
1.190	1.625742e+05	1.600115e+05	2.562698e+03	1.179511e+04
1.200	1.648606e+05	1.623327e+05	2.527928e+03	1.182988e+04
1.210	1.671626e+05	1.646690e+05	2.493602e+03	1.186421e+04
1.220	1.694802e+05	1.670205e+05	2.459718e+03	1.189809e+04
1.230	1.718132e+05	1.693870e+05	2.426268e+03	1.193154e+04
1.240	1.741611e+05	1.717678e+05	2.393248e+03	1.196456e+04
1.250	1.765230e+05	1.741624e+05	2.360652e+03	1.199716e+04
1.260	1.788979e+05	1.765694e+05	2.328476e+03	1.202933e+04
1.270	1.812845e+05	1.789878e+05	2.296714e+03	1.206109e+04
1.280	1.836813e+05	1.814159e+05	2.265361e+03	1.209245e+04
1.290	1.860870e+05	1.838526e+05	2.234412e+03	1.212340e+04
1.300	1.885002e+05	1.862963e+05	2.203863e+03	1.215395e+04
1.310	1.909198e+05	1.887461e+05	2.173708e+03	1.218410e+04
1.320	1.933446e+05	1.912007e+05	2.143942e+03	1.221387e+04
1.330	1.957737e+05	1.936591e+05	2.114560e+03	1.224325e+04
1.340	1.982056e+05	1.961200e+05	2.085559e+03	1.227225e+04
1.350	2.006389e+05	1.985820e+05	2.056933e+03	1.230088e+04
1.360	2.030720e+05	2.010433e+05	2.028677e+03	1.232913e+04
1.370	2.055033e+05	2.035025e+05	2.000788e+03	1.235702e+04
1.380	2.079316e+05	2.059584e+05	1.973259e+03	1.238455e+04
1.390	2.103563e+05	2.084102e+05	1.946088e+03	1.241172e+04
1.400	2.127768e+05	2.108575e+05	1.919269e+03	1.243854e+04
1.410	2.151930e+05	2.133002e+05	1.892798e+03	1.246501e+04
1.420	2.176042e+05	2.157376e+05	1.866671e+03	1.249114e+04
