a_i  	N_t         	N_i         	N_p         	N_a         
3.860	7.164059e+05	7.164048e+05	1.089700e+00	1.435672e+04
3.870	7.179432e+05	7.179422e+05	1.075769e+00	1.435673e+04
3.880	7.194745e+05	7.194734e+05	1.062014e+00	1.435675e+04
3.890	7.209996e+05	7.209986e+05	1.048431e+00	1.435676e+04
3.900	7.225186e+05	7.225175e+05	1.035018e+00	1.435677e+04
3.910	7.240314e+05	7.240304e+05	1.021774e+00	1.435679e+04
3.920	7.255380e+05	7.255370e+05	1.008695e+00	1.435680e+04
3.930	7.270378e+05	7.270368e+05	9.957799e-01	1.435681e+04
3.940	7.285308e+05	7.285299e+05	9.830238e-01	1.435683e+04
3.950	7.300170e+05	7.300160e+05	9.704258e-01	1.435684e+04
3.960	7.314962e+05	7.314953e+05	9.579843e-01	1.435685e+04
3.970	7.329686e+05	7.329676e+05	9.456978e-01	1.435686e+04
3.980	7.344340e+05	7.344331e+05	9.335643e-01	1.435688e+04
3.990	7.358925e+05	7.358916e+05	9.215822e-01	1.435689e+04
4.000	7.373441e+05	7.373432e+05	9.097494e-01	1.435690e+04
4.010	7.387888e+05	7.387879e+05	8.980644e-01	1.435691e+04
4.020	7.402265e+05	7.402256e+05	8.865252e-01	1.435692e+04
4.030	7.416572e+05	7.416564e+05	8.751301e-01	1.435693e+04
4.040	7.430811e+05	7.430802e+05	8.638773e-01	1.435695e+04
4.050	7.444979e+05	7.444971e+05	8.527650e-01	1.435696e+04
4.060	7.459078e+05	7.459070e+05	8.417916e-01	1.435697e+04
4.070	7.473108e+05	7.473100e+05	8.309554e-01	1.435698e+04
4.080	7.487068e+05	7.487059e+05	8.202544e-01	1.435699e+04
4.090	7.500958e+05	7.500950e+05	8.096872e-01	1.435700e+04
4.100	7.514778e+05	7.514770e+05	7.992521e-01	1.435701e+04
4.110	7.528530e+05	7.528522e+05	7.889683e-01	1.435702e+04
4.120	7.542211e+05	7.542204e+05	7.787923e-01	1.435703e+04
4.130	7.555824e+05	7.555816e+05	7.687436e-01	1.435704e+04
4.140	7.569367e+05	7.569359e+05	7.588206e-01	1.435705e+04
4.150	7.582841e+05	7.582833e+05	7.490218e-01	1.435706e+04
4.160	7.596246e+05	7.596238e+05	7.393456e-01	1.435707e+04
4.170	7.609582e+05	7.609574e+05	7.297904e-01	1.435708e+04
4.180	7.622849e+05	7.622841e+05	7.203549e-01	1.435709e+04
4.190	7.636057e+05	7.636050e+05	7.110395e-01	1.435710e+04
4.200	7.649206e+05	7.649199e+05	7.018438e-01	1.435711e+04
4.210	7.662296e+05	7.662289e+05	6.927652e-01	1.435712e+04
4.220	7.675328e+05	7.675321e+05	6.838017e-01	1.435713e+04
4.230	7.688301e+05	7.688294e+05	6.749517e-01	1.435713e+04
4.240	7.701216e+05	7.701209e+05	6.662136e-01	1.435714e+04
4.250	7.714072e+05	7.714065e+05	6.575859e-01	1.435715e+04
4.260	7.726869e+05	7.726863e+05	6.490671e-01	1.435716e+04
4.270	7.739609e+05	7.739602e+05	6.406556e-01	1.435717e+04
4.280	7.752290e+05	7.752284e+05	6.323502e-01	1.435718e+04
4.290	7.764914e+05	7.764907e+05	6.241495e-01	1.435718e+04
4.300	7.777479e+05	7.777473e+05	6.160520e-01	1.435719e+04
4.310	7.789987e+05	7.789981e+05	6.080565e-01	1.435720e+04
4.320	7.802437e+05	7.802431e+05	6.001616e-01	1.435721e+04
4.330	7.814830e+05	7.814824e+05	5.923662e-01	1.435722e+04
4.340	7.827165e+05	7.827159e+05	5.846688e-01	1.435722e+04
4.350	7.839443e+05	7.839437e+05	5.770683e-01	1.435723e+04
4.360	7.851664e+05	7.851658e+05	5.695635e-01	1.435724e+04
4.370	7.863829e+05	7.863823e+05	5.621530e-01	1.435725e+04
4.380	7.875936e+05	7.875931e+05	5.548359e-01	1.435725e+04
4.390	7.887987e+05	7.887982e+05	5.476107e-01	1.435726e+04
4.400	7.899985e+05	7.899979e+05	5.404774e-01	1.435727e+04
4.410	7.911930e+05	7.911925e+05	5.334357e-01	1.435728e+04
4.420	7.923823e+05	7.923818e+05	5.264840e-01	1.435728e+04
4.430	7.935664e+05	7.935659e+05	5.196206e-01	1.435729e+04
4.440	7.947453e+05	7.947448e+05	5.128445e-01	1.435730e+04
4.450	7.959190e+05	7.959185e+05	5.061543e-01	1.435730e+04
4.460	7.970876e+05	7.970871e+05	4.995488e-01	1.435731e+04
4.470	7.982510e+05	7.982505e+05	4.930270e-01	1.435732e+04
4.480	7.994093e+05	7.994088e+05	4.865877e-01	1.435732e+04
4.490	8.005624e+05	8.005619e+05	4.802298e-01	1.435733e+04
4.500	8.017105e+05	8.017100e+05	4.739523e-01	1.435734e+04
4.510	8.028535e+05	8.028530e+05	4.677542e-01	1.435734e+04
4.520	8.039914e+05	8.039910e+05	4.616343e-01	1.435735e+04
4.530	8.051244e+05	8.051239e+05	4.555919e-01	1.435735e+04
4.540	8.062523e+05	8.062518e+05	4.496257e-01	1.435736e+04
4.550	8.073752e+05	8.073747e+05	4.437349e-01	1.435737e+04
4.560	8.084931e+05	8.084927e+05	4.379185e-01	1.435737e+04
4.570	8.096061e+05	8.096057e+05	4.321755e-01	1.435738e+04
4.580	8.107140e+05	8.107136e+05	4.265047e-01	1.435738e+04
4.590	8.118167e+05	8.118163e+05	4.209043e-01	1.435739e+04
4.600	8.129141e+05	8.129136e+05	4.153733e-01	1.435739e+04
4.610	8.140062e+05	8.140058e+05	4.099112e-01	1.435740e+04
4.620	8.150931e+05	8.150927e+05	4.045174e-01	1.435740e+04
4.630	8.161748e+05	8.161744e+05	3.991912e-01	1.435741e+04
4.640	8.172514e+05	8.172510e+05	3.939318e-01	1.435742e+04
4.650	8.183228e+05	8.183224e+05	3.887385e-01	1.435742e+04
4.660	8.193891e+05	8.193887e+05	3.836104e-01	1.435743e+04
4.670	8.204503e+05	8.204499e+05	3.785467e-01	1.435743e+04
4.680	8.215064e+05	8.215060e+05	3.735468e-01	1.435744e+04
4.690	8.225574e+05	8.225570e+05	3.686098e-01	1.435744e+04
4.700	8.236034e+05	8.236031e+05	3.637350e-01	1.435745e+04
4.710	8.246444e+05	8.246441e+05	3.589217e-01	1.435745e+04
4.720	8.256805e+05	8.256801e+05	3.541690e-01	1.435745e+04
4.730	8.267115e+05	8.267112e+05	3.494763e-01	1.435746e+04
4.740	8.277376e+05	8.277373e+05	3.448429e-01	1.435746e+04
4.750	8.287588e+05	8.287585e+05	3.402679e-01	1.435747e+04
4.760	8.297751e+05	8.297747e+05	3.357508e-01	1.435747e+04
4.770	8.307865e+05	8.307862e+05	3.312907e-01	1.435748e+04
4.780	8.317931e+05	8.317927e+05	3.268871e-01	1.435748e+04
4.790	8.327948e+05	8.327945e+05	3.225391e-01	1.435749e+04
4.800	8.337917e+05	8.337914e+05	3.182462e-01	1.435749e+04
4.810	8.347839e+05	8.347835e+05	3.140077e-01	1.435750e+04
4.820	8.357713e+05	8.357710e+05	3.098229e-01	1.435750e+04
4.830	8.367539e+05	8.367536e+05	3.056911e-01	1.435750e+04
4.840	8.377319e+05	8.377316e+05	3.016117e-01	1.435751e+04
4.850	8.387052e+05	8.387049e+05	2.975840e-01	1.435751e+04
4.860	8.396738e+05	8.396735e+05	2.936075e-01	1.435752e+04
4.870	8.406378e+05	8.406375e+05	2.896814e-01	1.435752e+04
4.880	8.415972e+05	8.415969e+05	2.858053e-01	1.435752e+04
4.890	8.425520e+05	8.425517e+05	2.819784e-01	1.435753e+04
4.900	8.435022e+05	8.435019e+05	2.782002e-01	1.435753e+04
4.910	8.444479e+05	8.444476e+05	2.744700e-01	1.435753e+04
4.920	8.453890e+05	8.453888e+05	2.707873e-01	1.435754e+04
4.930	8.463257e+05	8.463254e+05	2.671515e-01	1.435754e+04
4.940	8.472579e+05	8.472576e+05	2.635621e-01	1.435755e+04
4.950	8.481857e+05	8.481854e+05	2.600184e-01	1.435755e+04
4.960	8.491090e+05	8.491087e+05	2.565198e-01	1.435755e+04
4.970	8.500279e+05	8.500276e+05	2.530660e-01	1.435756e+04
4.980	8.509425e+05	8.509422e+05	2.496562e-01	1.435756e+04
