%X Y s_xx s_yy s_zz s_xy s_xz s_yz e_xx e_yy e_zz e_xy e_xz e_yz
 +0.148320E+01 -0.100000E+03 -0.379206E+03 -0.232305E+02 -0.132804E+03 +0.326612E+02 +0.000000E+00 +0.000000E+00 -0.468164E-02 +0.208190E-02 +0.000000E+00 +0.124113E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100010E+03 -0.372486E+03 -0.289850E+02 -0.132485E+03 +0.378960E+02 +0.000000E+00 +0.000000E+00 -0.456001E-02 +0.196651E-02 +0.000000E+00 +0.144005E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100020E+03 -0.365762E+03 -0.347318E+02 -0.132163E+03 +0.431726E+02 +0.000000E+00 +0.000000E+00 -0.443838E-02 +0.185119E-02 +0.000000E+00 +0.164056E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100030E+03 -0.358841E+03 -0.399272E+02 -0.131593E+03 +0.514949E+02 +0.000000E+00 +0.000000E+00 -0.431770E-02 +0.174166E-02 +0.000000E+00 +0.195680E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100040E+03 -0.351959E+03 -0.450885E+02 -0.131026E+03 +0.597179E+02 +0.000000E+00 +0.000000E+00 -0.419774E-02 +0.163281E-02 +0.000000E+00 +0.226928E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100050E+03 -0.346518E+03 -0.490309E+02 -0.130531E+03 +0.643855E+02 +0.000000E+00 +0.000000E+00 -0.410375E-02 +0.154851E-02 +0.000000E+00 +0.244665E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100060E+03 -0.341106E+03 -0.529456E+02 -0.130037E+03 +0.689924E+02 +0.000000E+00 +0.000000E+00 -0.401032E-02 +0.146474E-02 +0.000000E+00 +0.262171E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100070E+03 -0.336382E+03 -0.562102E+02 -0.129556E+03 +0.721717E+02 +0.000000E+00 +0.000000E+00 -0.392971E-02 +0.139356E-02 +0.000000E+00 +0.274253E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100080E+03 -0.331687E+03 -0.594481E+02 -0.129075E+03 +0.753007E+02 +0.000000E+00 +0.000000E+00 -0.384963E-02 +0.132290E-02 +0.000000E+00 +0.286143E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100090E+03 -0.327490E+03 -0.622219E+02 -0.128605E+03 +0.775523E+02 +0.000000E+00 +0.000000E+00 -0.377881E-02 +0.126128E-02 +0.000000E+00 +0.294699E-02 +0.000000E+00 +0.000000E+00
