%X Y s_xx s_yy s_zz s_xy s_xz s_yz e_xx e_yy e_zz e_xy e_xz e_yz
 +0.130720E+01 -0.100000E+03 +0.391749E+03 -0.870189E+01 +0.126406E+03 -0.539716E+01 +0.000000E+00 +0.000000E+00 +0.504153E-02 -0.256704E-02 +0.000000E+00 -0.205092E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100010E+03 +0.375103E+03 -0.301630E+01 +0.122789E+03 -0.918434E+01 +0.000000E+00 +0.000000E+00 +0.479397E-02 -0.239029E-02 +0.000000E+00 -0.349005E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100020E+03 +0.358432E+03 +0.254296E+01 +0.119122E+03 -0.129415E+02 +0.000000E+00 +0.000000E+00 +0.454689E-02 -0.221500E-02 +0.000000E+00 -0.491779E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100030E+03 +0.340480E+03 +0.171526E+01 +0.112924E+03 -0.151838E+02 +0.000000E+00 +0.000000E+00 +0.432355E-02 -0.211297E-02 +0.000000E+00 -0.576985E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100040E+03 +0.322712E+03 +0.886861E+00 +0.106788E+03 -0.173439E+02 +0.000000E+00 +0.000000E+00 +0.410257E-02 -0.201212E-02 +0.000000E+00 -0.659069E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100050E+03 +0.309530E+03 +0.412033E-01 +0.102158E+03 -0.174686E+02 +0.000000E+00 +0.000000E+00 +0.394006E-02 -0.194023E-02 +0.000000E+00 -0.663808E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100060E+03 +0.296500E+03 -0.803017E+00 +0.975799E+02 -0.175646E+02 +0.000000E+00 +0.000000E+00 +0.377948E-02 -0.186928E-02 +0.000000E+00 -0.667453E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100070E+03 +0.285932E+03 -0.162397E+01 +0.938217E+02 -0.171943E+02 +0.000000E+00 +0.000000E+00 +0.365010E-02 -0.181347E-02 +0.000000E+00 -0.653383E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100080E+03 +0.275500E+03 -0.244355E+01 +0.901087E+02 -0.168002E+02 +0.000000E+00 +0.000000E+00 +0.352244E-02 -0.175849E-02 +0.000000E+00 -0.638406E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100090E+03 +0.266677E+03 -0.324688E+01 +0.869320E+02 -0.161223E+02 +0.000000E+00 +0.000000E+00 +0.341516E-02 -0.171340E-02 +0.000000E+00 -0.612648E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100100E+03 +0.257978E+03 -0.404919E+01 +0.837966E+02 -0.154282E+02 +0.000000E+00 +0.000000E+00 +0.330945E-02 -0.166907E-02 +0.000000E+00 -0.586273E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100110E+03 +0.250433E+03 -0.484211E+01 +0.810449E+02 -0.145830E+02 +0.000000E+00 +0.000000E+00 +0.321837E-02 -0.163185E-02 +0.000000E+00 -0.554154E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100120E+03 +0.243002E+03 -0.563454E+01 +0.783313E+02 -0.137253E+02 +0.000000E+00 +0.000000E+00 +0.312875E-02 -0.159535E-02 +0.000000E+00 -0.521563E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100130E+03 +0.236445E+03 -0.642328E+01 +0.759071E+02 -0.127736E+02 +0.000000E+00 +0.000000E+00 +0.305022E-02 -0.156428E-02 +0.000000E+00 -0.485395E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100140E+03 +0.229996E+03 -0.721197E+01 +0.735186E+02 -0.118131E+02 +0.000000E+00 +0.000000E+00 +0.297306E-02 -0.153388E-02 +0.000000E+00 -0.448896E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100150E+03 +0.224234E+03 -0.800034E+01 +0.713571E+02 -0.107971E+02 +0.000000E+00 +0.000000E+00 +0.290466E-02 -0.150779E-02 +0.000000E+00 -0.410291E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100160E+03 +0.218575E+03 -0.878901E+01 +0.692293E+02 -0.977548E+01 +0.000000E+00 +0.000000E+00 +0.283756E-02 -0.148235E-02 +0.000000E+00 -0.371468E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100170E+03 +0.213472E+03 -0.957921E+01 +0.672845E+02 -0.872249E+01 +0.000000E+00 +0.000000E+00 +0.277755E-02 -0.146041E-02 +0.000000E+00 -0.331455E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100180E+03 +0.208466E+03 -0.103699E+02 +0.653716E+02 -0.766647E+01 +0.000000E+00 +0.000000E+00 +0.271879E-02 -0.143909E-02 +0.000000E+00 -0.291326E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100190E+03 +0.203919E+03 -0.111628E+02 +0.636094E+02 -0.659610E+01 +0.000000E+00 +0.000000E+00 +0.266588E-02 -0.142067E-02 +0.000000E+00 -0.250652E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100200E+03 +0.199464E+03 -0.119562E+02 +0.618777E+02 -0.552512E+01 +0.000000E+00 +0.000000E+00 +0.261415E-02 -0.140284E-02 +0.000000E+00 -0.209955E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100210E+03 +0.195395E+03 -0.127518E+02 +0.602722E+02 -0.445162E+01 +0.000000E+00 +0.000000E+00 +0.256733E-02 -0.138746E-02 +0.000000E+00 -0.169161E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100220E+03 +0.191414E+03 -0.135478E+02 +0.586957E+02 -0.337973E+01 +0.000000E+00 +0.000000E+00 +0.252164E-02 -0.137263E-02 +0.000000E+00 -0.128430E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100230E+03 +0.187759E+03 -0.143455E+02 +0.572263E+02 -0.231383E+01 +0.000000E+00 +0.000000E+00 +0.248011E-02 -0.135986E-02 +0.000000E+00 -0.879254E-04 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100240E+03 +0.184188E+03 -0.151433E+02 +0.557848E+02 -0.125157E+01 +0.000000E+00 +0.000000E+00 +0.243966E-02 -0.134763E-02 +0.000000E+00 -0.475598E-04 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100250E+03 +0.180896E+03 -0.159420E+02 +0.544350E+02 -0.201361E+00 +0.000000E+00 +0.000000E+00 +0.240277E-02 -0.133716E-02 +0.000000E+00 -0.765170E-05 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100260E+03 +0.177686E+03 -0.167405E+02 +0.531119E+02 +0.843346E+00 +0.000000E+00 +0.000000E+00 +0.236690E-02 -0.132720E-02 +0.000000E+00 +0.320472E-04 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100270E+03 +0.174715E+03 -0.175388E+02 +0.518682E+02 +0.187172E+01 +0.000000E+00 +0.000000E+00 +0.233409E-02 -0.131873E-02 +0.000000E+00 +0.711255E-04 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100280E+03 +0.171822E+03 -0.183366E+02 +0.506501E+02 +0.289292E+01 +0.000000E+00 +0.000000E+00 +0.230226E-02 -0.131075E-02 +0.000000E+00 +0.109931E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100290E+03 +0.169136E+03 -0.191331E+02 +0.495011E+02 +0.389484E+01 +0.000000E+00 +0.000000E+00 +0.227307E-02 -0.130405E-02 +0.000000E+00 +0.148004E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100300E+03 +0.166525E+03 -0.199286E+02 +0.483769E+02 +0.488806E+01 +0.000000E+00 +0.000000E+00 +0.224482E-02 -0.129780E-02 +0.000000E+00 +0.185746E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100310E+03 +0.164095E+03 -0.207218E+02 +0.473130E+02 +0.586008E+01 +0.000000E+00 +0.000000E+00 +0.221885E-02 -0.129266E-02 +0.000000E+00 +0.222683E-03 +0.000000E+00 +0.000000E+00
