%X Y s_xx s_yy s_zz s_xy s_xz s_yz e_xx e_yy e_zz e_xy e_xz e_yz
 +0.130720E+01 -0.100000E+03 +0.420101E+03 -0.851581E+01 +0.135823E+03 -0.546401E+01 +0.000000E+00 +0.000000E+00 +0.540127E-02 -0.274244E-02 +0.000000E+00 -0.207632E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100010E+03 +0.403565E+03 -0.288484E+01 +0.132224E+03 -0.927527E+01 +0.000000E+00 +0.000000E+00 +0.515547E-02 -0.256708E-02 +0.000000E+00 -0.352460E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100020E+03 +0.387002E+03 +0.262165E+01 +0.128576E+03 -0.130579E+02 +0.000000E+00 +0.000000E+00 +0.491010E-02 -0.239313E-02 +0.000000E+00 -0.496200E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100030E+03 +0.369062E+03 +0.183508E+01 +0.122396E+03 -0.153922E+02 +0.000000E+00 +0.000000E+00 +0.468665E-02 -0.229066E-02 +0.000000E+00 -0.584904E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100040E+03 +0.351305E+03 +0.104660E+01 +0.116276E+03 -0.176436E+02 +0.000000E+00 +0.000000E+00 +0.446555E-02 -0.218936E-02 +0.000000E+00 -0.670457E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100050E+03 +0.338103E+03 +0.210789E+00 +0.111644E+03 -0.178408E+02 +0.000000E+00 +0.000000E+00 +0.430274E-02 -0.211723E-02 +0.000000E+00 -0.677951E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100060E+03 +0.325054E+03 -0.623462E+00 +0.107062E+03 -0.180088E+02 +0.000000E+00 +0.000000E+00 +0.414185E-02 -0.204602E-02 +0.000000E+00 -0.684334E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100070E+03 +0.314458E+03 -0.143240E+01 +0.103299E+03 -0.177032E+02 +0.000000E+00 +0.000000E+00 +0.401203E-02 -0.198989E-02 +0.000000E+00 -0.672722E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100080E+03 +0.303997E+03 -0.223972E+01 +0.995799E+02 -0.173735E+02 +0.000000E+00 +0.000000E+00 +0.388392E-02 -0.193457E-02 +0.000000E+00 -0.660194E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100090E+03 +0.295136E+03 -0.302787E+01 +0.963955E+02 -0.167571E+02 +0.000000E+00 +0.000000E+00 +0.377606E-02 -0.188904E-02 +0.000000E+00 -0.636770E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100100E+03 +0.286397E+03 -0.381468E+01 +0.932522E+02 -0.161240E+02 +0.000000E+00 +0.000000E+00 +0.366975E-02 -0.184427E-02 +0.000000E+00 -0.612712E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100110E+03 +0.278805E+03 -0.458901E+01 +0.904914E+02 -0.153357E+02 +0.000000E+00 +0.000000E+00 +0.357796E-02 -0.180653E-02 +0.000000E+00 -0.582757E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100120E+03 +0.271328E+03 -0.536250E+01 +0.877685E+02 -0.145345E+02 +0.000000E+00 +0.000000E+00 +0.348762E-02 -0.176949E-02 +0.000000E+00 -0.552311E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100130E+03 +0.264717E+03 -0.612961E+01 +0.853339E+02 -0.136354E+02 +0.000000E+00 +0.000000E+00 +0.340828E-02 -0.173781E-02 +0.000000E+00 -0.518145E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100140E+03 +0.258214E+03 -0.689633E+01 +0.829349E+02 -0.127269E+02 +0.000000E+00 +0.000000E+00 +0.333031E-02 -0.170679E-02 +0.000000E+00 -0.483623E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100150E+03 +0.252394E+03 -0.766053E+01 +0.807620E+02 -0.117589E+02 +0.000000E+00 +0.000000E+00 +0.326101E-02 -0.168003E-02 +0.000000E+00 -0.446838E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100160E+03 +0.246675E+03 -0.842471E+01 +0.786226E+02 -0.107843E+02 +0.000000E+00 +0.000000E+00 +0.319299E-02 -0.165390E-02 +0.000000E+00 -0.409805E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100170E+03 +0.241508E+03 -0.918874E+01 +0.766654E+02 -0.977428E+01 +0.000000E+00 +0.000000E+00 +0.313201E-02 -0.163123E-02 +0.000000E+00 -0.371423E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100180E+03 +0.236438E+03 -0.995299E+01 +0.747400E+02 -0.876029E+01 +0.000000E+00 +0.000000E+00 +0.307226E-02 -0.160917E-02 +0.000000E+00 -0.332891E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100190E+03 +0.231824E+03 -0.107183E+02 +0.729648E+02 -0.772770E+01 +0.000000E+00 +0.000000E+00 +0.301832E-02 -0.158998E-02 +0.000000E+00 -0.293653E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100200E+03 +0.227301E+03 -0.114839E+02 +0.712198E+02 -0.669350E+01 +0.000000E+00 +0.000000E+00 +0.296555E-02 -0.157137E-02 +0.000000E+00 -0.254353E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100210E+03 +0.223161E+03 -0.122510E+02 +0.696004E+02 -0.565258E+01 +0.000000E+00 +0.000000E+00 +0.291766E-02 -0.155518E-02 +0.000000E+00 -0.214798E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100220E+03 +0.219109E+03 -0.130184E+02 +0.680100E+02 -0.461218E+01 +0.000000E+00 +0.000000E+00 +0.287089E-02 -0.153954E-02 +0.000000E+00 -0.175263E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100230E+03 +0.215381E+03 -0.137871E+02 +0.665261E+02 -0.357368E+01 +0.000000E+00 +0.000000E+00 +0.282825E-02 -0.152595E-02 +0.000000E+00 -0.135800E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100240E+03 +0.211738E+03 -0.145561E+02 +0.650700E+02 -0.253766E+01 +0.000000E+00 +0.000000E+00 +0.278669E-02 -0.151290E-02 +0.000000E+00 -0.964311E-04 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100250E+03 +0.208372E+03 -0.153258E+02 +0.637052E+02 -0.150980E+01 +0.000000E+00 +0.000000E+00 +0.274867E-02 -0.150159E-02 +0.000000E+00 -0.573723E-04 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100260E+03 +0.205087E+03 -0.160956E+02 +0.623672E+02 -0.486209E+00 +0.000000E+00 +0.000000E+00 +0.271168E-02 -0.149079E-02 +0.000000E+00 -0.184759E-04 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100270E+03 +0.202042E+03 -0.168656E+02 +0.611081E+02 +0.524703E+00 +0.000000E+00 +0.000000E+00 +0.267774E-02 -0.148150E-02 +0.000000E+00 +0.199387E-04 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100280E+03 +0.199073E+03 -0.176352E+02 +0.598746E+02 +0.152969E+01 +0.000000E+00 +0.000000E+00 +0.264478E-02 -0.147269E-02 +0.000000E+00 +0.581282E-04 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100290E+03 +0.196313E+03 -0.184042E+02 +0.587100E+02 +0.251879E+01 +0.000000E+00 +0.000000E+00 +0.261446E-02 -0.146517E-02 +0.000000E+00 +0.957140E-04 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100300E+03 +0.193627E+03 -0.191725E+02 +0.575700E+02 +0.350046E+01 +0.000000E+00 +0.000000E+00 +0.258509E-02 -0.145811E-02 +0.000000E+00 +0.133017E-03 +0.000000E+00 +0.000000E+00
