%X Y s_xx s_yy s_zz s_xy s_xz s_yz e_xx e_yy e_zz e_xy e_xz e_yz
 +0.110366E+01 -0.100000E+03 -0.391058E+03 -0.219054E+02 -0.136278E+03 +0.304543E+02 +0.000000E+00 +0.000000E+00 -0.484082E-02 +0.217308E-02 +0.000000E+00 +0.115726E-02 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100010E+03 -0.384099E+03 -0.272029E+02 -0.135730E+03 +0.346870E+02 +0.000000E+00 +0.000000E+00 -0.471902E-02 +0.206201E-02 +0.000000E+00 +0.131811E-02 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100020E+03 -0.377141E+03 -0.324935E+02 -0.135179E+03 +0.389358E+02 +0.000000E+00 +0.000000E+00 -0.459727E-02 +0.195103E-02 +0.000000E+00 +0.147956E-02 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100030E+03 -0.370386E+03 -0.365443E+02 -0.134287E+03 +0.461249E+02 +0.000000E+00 +0.000000E+00 -0.448588E-02 +0.185711E-02 +0.000000E+00 +0.175275E-02 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100040E+03 -0.363646E+03 -0.405868E+02 -0.133397E+03 +0.532806E+02 +0.000000E+00 +0.000000E+00 -0.437473E-02 +0.176339E-02 +0.000000E+00 +0.202466E-02 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100050E+03 -0.358320E+03 -0.438815E+02 -0.132727E+03 +0.574033E+02 +0.000000E+00 +0.000000E+00 -0.428628E-02 +0.168806E-02 +0.000000E+00 +0.218133E-02 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100060E+03 -0.353005E+03 -0.471675E+02 -0.132057E+03 +0.615048E+02 +0.000000E+00 +0.000000E+00 -0.419801E-02 +0.161290E-02 +0.000000E+00 +0.233718E-02 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100070E+03 -0.348327E+03 -0.499274E+02 -0.131424E+03 +0.643303E+02 +0.000000E+00 +0.000000E+00 -0.412116E-02 +0.154844E-02 +0.000000E+00 +0.244455E-02 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100080E+03 -0.343660E+03 -0.526788E+02 -0.130792E+03 +0.671386E+02 +0.000000E+00 +0.000000E+00 -0.404450E-02 +0.148415E-02 +0.000000E+00 +0.255127E-02 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100090E+03 -0.339460E+03 -0.550476E+02 -0.130188E+03 +0.691700E+02 +0.000000E+00 +0.000000E+00 -0.397618E-02 +0.142766E-02 +0.000000E+00 +0.262846E-02 +0.000000E+00 +0.000000E+00
