%X Y s_xx s_yy s_zz s_xy s_xz s_yz e_xx e_yy e_zz e_xy e_xz e_yz
 +0.110366E+01 -0.100000E+03 -0.469334E+03 -0.307244E+02 -0.165019E+03 +0.375692E+02 +0.000000E+00 +0.000000E+00 -0.578198E-02 +0.255160E-02 +0.000000E+00 +0.142763E-02 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100010E+03 -0.460214E+03 -0.365263E+02 -0.163924E+03 +0.412745E+02 +0.000000E+00 +0.000000E+00 -0.562950E-02 +0.242056E-02 +0.000000E+00 +0.156843E-02 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100020E+03 -0.451098E+03 -0.423139E+02 -0.162826E+03 +0.449987E+02 +0.000000E+00 +0.000000E+00 -0.547717E-02 +0.228973E-02 +0.000000E+00 +0.170995E-02 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100030E+03 -0.442715E+03 -0.455061E+02 -0.161113E+03 +0.521811E+02 +0.000000E+00 +0.000000E+00 -0.535043E-02 +0.219653E-02 +0.000000E+00 +0.198288E-02 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100040E+03 -0.434356E+03 -0.486936E+02 -0.159406E+03 +0.593359E+02 +0.000000E+00 +0.000000E+00 -0.522404E-02 +0.210354E-02 +0.000000E+00 +0.225476E-02 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100050E+03 -0.428204E+03 -0.514515E+02 -0.158286E+03 +0.639808E+02 +0.000000E+00 +0.000000E+00 -0.512843E-02 +0.202986E-02 +0.000000E+00 +0.243127E-02 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100060E+03 -0.422065E+03 -0.542044E+02 -0.157169E+03 +0.686053E+02 +0.000000E+00 +0.000000E+00 -0.503303E-02 +0.195633E-02 +0.000000E+00 +0.260700E-02 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100070E+03 -0.416758E+03 -0.566567E+02 -0.156227E+03 +0.719979E+02 +0.000000E+00 +0.000000E+00 -0.495010E-02 +0.189183E-02 +0.000000E+00 +0.273592E-02 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100080E+03 -0.411463E+03 -0.591036E+02 -0.155287E+03 +0.753737E+02 +0.000000E+00 +0.000000E+00 -0.486735E-02 +0.182749E-02 +0.000000E+00 +0.286420E-02 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100090E+03 -0.406699E+03 -0.613058E+02 -0.154442E+03 +0.779990E+02 +0.000000E+00 +0.000000E+00 -0.479290E-02 +0.176958E-02 +0.000000E+00 +0.296396E-02 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100100E+03 -0.401946E+03 -0.635023E+02 -0.153598E+03 +0.806098E+02 +0.000000E+00 +0.000000E+00 -0.471861E-02 +0.171182E-02 +0.000000E+00 +0.306317E-02 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100110E+03 -0.397562E+03 -0.654965E+02 -0.152809E+03 +0.826989E+02 +0.000000E+00 +0.000000E+00 -0.465030E-02 +0.165894E-02 +0.000000E+00 +0.314256E-02 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100120E+03 -0.393188E+03 -0.674849E+02 -0.152022E+03 +0.847750E+02 +0.000000E+00 +0.000000E+00 -0.458215E-02 +0.160620E-02 +0.000000E+00 +0.322145E-02 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100130E+03 -0.389100E+03 -0.693021E+02 -0.151273E+03 +0.864670E+02 +0.000000E+00 +0.000000E+00 -0.451871E-02 +0.155744E-02 +0.000000E+00 +0.328574E-02 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100140E+03 -0.385021E+03 -0.711135E+02 -0.150524E+03 +0.881471E+02 +0.000000E+00 +0.000000E+00 -0.445543E-02 +0.150880E-02 +0.000000E+00 +0.334959E-02 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100150E+03 -0.381174E+03 -0.727776E+02 -0.149804E+03 +0.895295E+02 +0.000000E+00 +0.000000E+00 -0.439603E-02 +0.146350E-02 +0.000000E+00 +0.340212E-02 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100160E+03 -0.377336E+03 -0.744359E+02 -0.149085E+03 +0.909011E+02 +0.000000E+00 +0.000000E+00 -0.433678E-02 +0.141833E-02 +0.000000E+00 +0.345424E-02 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100170E+03 -0.373695E+03 -0.759657E+02 -0.148388E+03 +0.920351E+02 +0.000000E+00 +0.000000E+00 -0.428083E-02 +0.137602E-02 +0.000000E+00 +0.349733E-02 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100180E+03 -0.370063E+03 -0.774897E+02 -0.147692E+03 +0.931590E+02 +0.000000E+00 +0.000000E+00 -0.422504E-02 +0.133385E-02 +0.000000E+00 +0.354004E-02 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100190E+03 -0.366600E+03 -0.789003E+02 -0.147015E+03 +0.940886E+02 +0.000000E+00 +0.000000E+00 -0.417212E-02 +0.129418E-02 +0.000000E+00 +0.357537E-02 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100200E+03 -0.363147E+03 -0.803051E+02 -0.146339E+03 +0.950089E+02 +0.000000E+00 +0.000000E+00 -0.411935E-02 +0.125465E-02 +0.000000E+00 +0.361034E-02 +0.000000E+00 +0.000000E+00
