%X Y s_xx s_yy s_zz s_xy s_xz s_yz e_xx e_yy e_zz e_xy e_xz e_yz
 +0.110366E+01 -0.100000E+03 +0.379175E+03 -0.847676E+01 +0.122331E+03 -0.534427E+01 +0.000000E+00 +0.000000E+00 +0.488005E-02 -0.248534E-02 +0.000000E+00 -0.203082E-03 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100010E+03 +0.364345E+03 -0.333431E+01 +0.119133E+03 -0.882330E+01 +0.000000E+00 +0.000000E+00 +0.465901E-02 -0.232689E-02 +0.000000E+00 -0.335286E-03 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100020E+03 +0.349507E+03 +0.177688E+01 +0.115924E+03 -0.122952E+02 +0.000000E+00 +0.000000E+00 +0.443809E-02 -0.216879E-02 +0.000000E+00 -0.467217E-03 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100030E+03 +0.333484E+03 +0.117239E+01 +0.110437E+03 -0.144598E+02 +0.000000E+00 +0.000000E+00 +0.423790E-02 -0.207602E-02 +0.000000E+00 -0.549471E-03 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100040E+03 +0.317506E+03 +0.567283E+00 +0.104964E+03 -0.166042E+02 +0.000000E+00 +0.000000E+00 +0.403830E-02 -0.198354E-02 +0.000000E+00 -0.630961E-03 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100050E+03 +0.305702E+03 -0.942840E-01 +0.100851E+03 -0.169222E+02 +0.000000E+00 +0.000000E+00 +0.389218E-02 -0.191795E-02 +0.000000E+00 -0.643043E-03 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100060E+03 +0.293936E+03 -0.756142E+00 +0.967494E+02 -0.172325E+02 +0.000000E+00 +0.000000E+00 +0.374655E-02 -0.185261E-02 +0.000000E+00 -0.654834E-03 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100070E+03 +0.284486E+03 -0.143552E+01 +0.934066E+02 -0.170800E+02 +0.000000E+00 +0.000000E+00 +0.363051E-02 -0.180200E-02 +0.000000E+00 -0.649041E-03 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100080E+03 +0.275070E+03 -0.211475E+01 +0.900752E+02 -0.169215E+02 +0.000000E+00 +0.000000E+00 +0.351490E-02 -0.175161E-02 +0.000000E+00 -0.643018E-03 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100090E+03 +0.267191E+03 -0.278705E+01 +0.872535E+02 -0.164906E+02 +0.000000E+00 +0.000000E+00 +0.341882E-02 -0.171077E-02 +0.000000E+00 -0.626644E-03 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100100E+03 +0.259344E+03 -0.345909E+01 +0.844421E+02 -0.160556E+02 +0.000000E+00 +0.000000E+00 +0.332314E-02 -0.167012E-02 +0.000000E+00 -0.610114E-03 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100110E+03 +0.252610E+03 -0.412178E+01 +0.820010E+02 -0.154729E+02 +0.000000E+00 +0.000000E+00 +0.324156E-02 -0.163633E-02 +0.000000E+00 -0.587971E-03 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100120E+03 +0.245904E+03 -0.478419E+01 +0.795694E+02 -0.148870E+02 +0.000000E+00 +0.000000E+00 +0.316035E-02 -0.160272E-02 +0.000000E+00 -0.565706E-03 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100130E+03 +0.240050E+03 -0.543871E+01 +0.774218E+02 -0.142066E+02 +0.000000E+00 +0.000000E+00 +0.308994E-02 -0.157435E-02 +0.000000E+00 -0.539851E-03 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100140E+03 +0.234224E+03 -0.609299E+01 +0.752832E+02 -0.135239E+02 +0.000000E+00 +0.000000E+00 +0.301987E-02 -0.154615E-02 +0.000000E+00 -0.513908E-03 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100150E+03 +0.229077E+03 -0.674140E+01 +0.733707E+02 -0.127831E+02 +0.000000E+00 +0.000000E+00 +0.295842E-02 -0.152213E-02 +0.000000E+00 -0.485758E-03 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100160E+03 +0.223955E+03 -0.738962E+01 +0.714665E+02 -0.120407E+02 +0.000000E+00 +0.000000E+00 +0.289728E-02 -0.149827E-02 +0.000000E+00 -0.457545E-03 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100170E+03 +0.219390E+03 -0.803360E+01 +0.697475E+02 -0.112625E+02 +0.000000E+00 +0.000000E+00 +0.284320E-02 -0.147784E-02 +0.000000E+00 -0.427975E-03 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100180E+03 +0.214849E+03 -0.867742E+01 +0.680365E+02 -0.104833E+02 +0.000000E+00 +0.000000E+00 +0.278943E-02 -0.145756E-02 +0.000000E+00 -0.398367E-03 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100190E+03 +0.210773E+03 -0.931809E+01 +0.664803E+02 -0.968456E+01 +0.000000E+00 +0.000000E+00 +0.274157E-02 -0.144017E-02 +0.000000E+00 -0.368013E-03 +0.000000E+00 +0.000000E+00
