%X Y s_xx s_yy s_zz s_xy s_xz s_yz e_xx e_yy e_zz e_xy e_xz e_yz
 +0.148320E+01 -0.100000E+03 -0.449308E+03 -0.272671E+02 -0.157270E+03 +0.365377E+02 +0.000000E+00 +0.000000E+00 -0.554873E-02 +0.247005E-02 +0.000000E+00 +0.138843E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100010E+03 -0.441216E+03 -0.334392E+02 -0.156636E+03 +0.415485E+02 +0.000000E+00 +0.000000E+00 -0.540702E-02 +0.234074E-02 +0.000000E+00 +0.157884E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100020E+03 -0.433128E+03 -0.395915E+02 -0.155997E+03 +0.466069E+02 +0.000000E+00 +0.000000E+00 -0.526548E-02 +0.221171E-02 +0.000000E+00 +0.177106E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100030E+03 -0.425314E+03 -0.443103E+02 -0.154976E+03 +0.551220E+02 +0.000000E+00 +0.000000E+00 -0.513642E-02 +0.210265E-02 +0.000000E+00 +0.209464E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100040E+03 -0.417551E+03 -0.490021E+02 -0.153963E+03 +0.635432E+02 +0.000000E+00 +0.000000E+00 -0.500818E-02 +0.199425E-02 +0.000000E+00 +0.241464E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100050E+03 -0.411615E+03 -0.527308E+02 -0.153234E+03 +0.686043E+02 +0.000000E+00 +0.000000E+00 -0.490924E-02 +0.190956E-02 +0.000000E+00 +0.260696E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100060E+03 -0.405711E+03 -0.564371E+02 -0.152509E+03 +0.736055E+02 +0.000000E+00 +0.000000E+00 -0.481084E-02 +0.182536E-02 +0.000000E+00 +0.279701E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100070E+03 -0.400551E+03 -0.596153E+02 -0.151855E+03 +0.771971E+02 +0.000000E+00 +0.000000E+00 -0.472522E-02 +0.175255E-02 +0.000000E+00 +0.293349E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100080E+03 -0.395419E+03 -0.627713E+02 -0.151203E+03 +0.807385E+02 +0.000000E+00 +0.000000E+00 -0.464011E-02 +0.168020E-02 +0.000000E+00 +0.306806E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100090E+03 -0.390795E+03 -0.655396E+02 -0.150590E+03 +0.834053E+02 +0.000000E+00 +0.000000E+00 -0.456389E-02 +0.161597E-02 +0.000000E+00 +0.316940E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100100E+03 -0.386198E+03 -0.682859E+02 -0.149980E+03 +0.860297E+02 +0.000000E+00 +0.000000E+00 -0.448815E-02 +0.155218E-02 +0.000000E+00 +0.326913E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100110E+03 -0.381976E+03 -0.707309E+02 -0.149393E+03 +0.880717E+02 +0.000000E+00 +0.000000E+00 -0.441907E-02 +0.149459E-02 +0.000000E+00 +0.334673E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100120E+03 -0.377781E+03 -0.731542E+02 -0.148809E+03 +0.900765E+02 +0.000000E+00 +0.000000E+00 -0.435048E-02 +0.143743E-02 +0.000000E+00 +0.342291E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100130E+03 -0.373888E+03 -0.753330E+02 -0.148243E+03 +0.916610E+02 +0.000000E+00 +0.000000E+00 -0.428725E-02 +0.138529E-02 +0.000000E+00 +0.348312E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100140E+03 -0.370021E+03 -0.774904E+02 -0.147679E+03 +0.932126E+02 +0.000000E+00 +0.000000E+00 -0.422451E-02 +0.133358E-02 +0.000000E+00 +0.354208E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100150E+03 -0.366407E+03 -0.794442E+02 -0.147131E+03 +0.944500E+02 +0.000000E+00 +0.000000E+00 -0.416625E-02 +0.128605E-02 +0.000000E+00 +0.358910E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100160E+03 -0.362820E+03 -0.813769E+02 -0.146585E+03 +0.956580E+02 +0.000000E+00 +0.000000E+00 -0.410847E-02 +0.123895E-02 +0.000000E+00 +0.363500E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100170E+03 -0.359450E+03 -0.831370E+02 -0.146054E+03 +0.966241E+02 +0.000000E+00 +0.000000E+00 -0.405453E-02 +0.119542E-02 +0.000000E+00 +0.367172E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100180E+03 -0.356107E+03 -0.848765E+02 -0.145524E+03 +0.975639E+02 +0.000000E+00 +0.000000E+00 -0.400106E-02 +0.115231E-02 +0.000000E+00 +0.370743E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100190E+03 -0.352953E+03 -0.864677E+02 -0.145009E+03 +0.983141E+02 +0.000000E+00 +0.000000E+00 -0.395094E-02 +0.111228E-02 +0.000000E+00 +0.373594E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100200E+03 -0.349826E+03 -0.880387E+02 -0.144495E+03 +0.990406E+02 +0.000000E+00 +0.000000E+00 -0.390128E-02 +0.107268E-02 +0.000000E+00 +0.376354E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100210E+03 -0.346867E+03 -0.894812E+02 -0.143995E+03 +0.996165E+02 +0.000000E+00 +0.000000E+00 -0.385457E-02 +0.103576E-02 +0.000000E+00 +0.378543E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100220E+03 -0.343934E+03 -0.909041E+02 -0.143497E+03 +0.100171E+03 +0.000000E+00 +0.000000E+00 -0.380831E-02 +0.999258E-03 +0.000000E+00 +0.380650E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100230E+03 -0.341151E+03 -0.922149E+02 -0.143011E+03 +0.100605E+03 +0.000000E+00 +0.000000E+00 -0.376466E-02 +0.965121E-03 +0.000000E+00 +0.382298E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100240E+03 -0.338394E+03 -0.935065E+02 -0.142527E+03 +0.101020E+03 +0.000000E+00 +0.000000E+00 -0.372147E-02 +0.931391E-03 +0.000000E+00 +0.383875E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100250E+03 -0.335771E+03 -0.947000E+02 -0.142055E+03 +0.101337E+03 +0.000000E+00 +0.000000E+00 -0.368059E-02 +0.899750E-03 +0.000000E+00 +0.385080E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100260E+03 -0.333173E+03 -0.958749E+02 -0.141586E+03 +0.101637E+03 +0.000000E+00 +0.000000E+00 -0.364016E-02 +0.868507E-03 +0.000000E+00 +0.386220E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100270E+03 -0.330696E+03 -0.969635E+02 -0.141128E+03 +0.101858E+03 +0.000000E+00 +0.000000E+00 -0.360180E-02 +0.839118E-03 +0.000000E+00 +0.387059E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100280E+03 -0.328244E+03 -0.980342E+02 -0.140672E+03 +0.102063E+03 +0.000000E+00 +0.000000E+00 -0.356387E-02 +0.810116E-03 +0.000000E+00 +0.387841E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100290E+03 -0.325901E+03 -0.990286E+02 -0.140227E+03 +0.102205E+03 +0.000000E+00 +0.000000E+00 -0.352780E-02 +0.782762E-03 +0.000000E+00 +0.388377E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100300E+03 -0.323582E+03 -0.100006E+03 -0.139784E+03 +0.102332E+03 +0.000000E+00 +0.000000E+00 -0.349216E-02 +0.755784E-03 +0.000000E+00 +0.388862E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100310E+03 -0.321361E+03 -0.100916E+03 -0.139351E+03 +0.102407E+03 +0.000000E+00 +0.000000E+00 -0.345818E-02 +0.730275E-03 +0.000000E+00 +0.389146E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100320E+03 -0.319165E+03 -0.101809E+03 -0.138921E+03 +0.102470E+03 +0.000000E+00 +0.000000E+00 -0.342462E-02 +0.705130E-03 +0.000000E+00 +0.389385E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100330E+03 -0.317056E+03 -0.102643E+03 -0.138501E+03 +0.102489E+03 +0.000000E+00 +0.000000E+00 -0.339255E-02 +0.681296E-03 +0.000000E+00 +0.389459E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100340E+03 -0.314972E+03 -0.103461E+03 -0.138083E+03 +0.102498E+03 +0.000000E+00 +0.000000E+00 -0.336089E-02 +0.657814E-03 +0.000000E+00 +0.389493E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100350E+03 -0.312967E+03 -0.104226E+03 -0.137674E+03 +0.102472E+03 +0.000000E+00 +0.000000E+00 -0.333057E-02 +0.635503E-03 +0.000000E+00 +0.389392E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100360E+03 -0.310986E+03 -0.104976E+03 -0.137267E+03 +0.102436E+03 +0.000000E+00 +0.000000E+00 -0.330064E-02 +0.613530E-03 +0.000000E+00 +0.389255E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100370E+03 -0.309076E+03 -0.105680E+03 -0.136869E+03 +0.102370E+03 +0.000000E+00 +0.000000E+00 -0.327193E-02 +0.592606E-03 +0.000000E+00 +0.389008E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100380E+03 -0.307189E+03 -0.106368E+03 -0.136474E+03 +0.102297E+03 +0.000000E+00 +0.000000E+00 -0.324359E-02 +0.572008E-03 +0.000000E+00 +0.388728E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100390E+03 -0.305368E+03 -0.107015E+03 -0.136086E+03 +0.102200E+03 +0.000000E+00 +0.000000E+00 -0.321634E-02 +0.552348E-03 +0.000000E+00 +0.388358E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100400E+03 -0.303568E+03 -0.107649E+03 -0.135702E+03 +0.102095E+03 +0.000000E+00 +0.000000E+00 -0.318946E-02 +0.533001E-03 +0.000000E+00 +0.387960E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100410E+03 -0.301827E+03 -0.108245E+03 -0.135324E+03 +0.101970E+03 +0.000000E+00 +0.000000E+00 -0.316356E-02 +0.514495E-03 +0.000000E+00 +0.387487E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100420E+03 -0.300108E+03 -0.108828E+03 -0.134949E+03 +0.101839E+03 +0.000000E+00 +0.000000E+00 -0.313802E-02 +0.496290E-03 +0.000000E+00 +0.386990E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100430E+03 -0.298442E+03 -0.109379E+03 -0.134581E+03 +0.101692E+03 +0.000000E+00 +0.000000E+00 -0.311336E-02 +0.478840E-03 +0.000000E+00 +0.386430E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100440E+03 -0.296797E+03 -0.109917E+03 -0.134215E+03 +0.101539E+03 +0.000000E+00 +0.000000E+00 -0.308905E-02 +0.461677E-03 +0.000000E+00 +0.385849E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100450E+03 -0.295200E+03 -0.110425E+03 -0.133856E+03 +0.101373E+03 +0.000000E+00 +0.000000E+00 -0.306553E-02 +0.445192E-03 +0.000000E+00 +0.385217E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100460E+03 -0.293623E+03 -0.110922E+03 -0.133500E+03 +0.101202E+03 +0.000000E+00 +0.000000E+00 -0.304235E-02 +0.428984E-03 +0.000000E+00 +0.384566E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100470E+03 -0.292091E+03 -0.111392E+03 -0.133149E+03 +0.101019E+03 +0.000000E+00 +0.000000E+00 -0.301989E-02 +0.413385E-03 +0.000000E+00 +0.383872E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100480E+03 -0.290577E+03 -0.111852E+03 -0.132802E+03 +0.100832E+03 +0.000000E+00 +0.000000E+00 -0.299774E-02 +0.398050E-03 +0.000000E+00 +0.383162E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100490E+03 -0.289104E+03 -0.112287E+03 -0.132459E+03 +0.100636E+03 +0.000000E+00 +0.000000E+00 -0.297625E-02 +0.383264E-03 +0.000000E+00 +0.382417E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100500E+03 -0.287649E+03 -0.112712E+03 -0.132119E+03 +0.100436E+03 +0.000000E+00 +0.000000E+00 -0.295507E-02 +0.368731E-03 +0.000000E+00 +0.381658E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100510E+03 -0.286231E+03 -0.113117E+03 -0.131785E+03 +0.100229E+03 +0.000000E+00 +0.000000E+00 -0.293448E-02 +0.354692E-03 +0.000000E+00 +0.380869E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100520E+03 -0.284830E+03 -0.113511E+03 -0.131453E+03 +0.100018E+03 +0.000000E+00 +0.000000E+00 -0.291418E-02 +0.340897E-03 +0.000000E+00 +0.380067E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100530E+03 -0.283463E+03 -0.113886E+03 -0.131125E+03 +0.998003E+02 +0.000000E+00 +0.000000E+00 -0.289442E-02 +0.327547E-03 +0.000000E+00 +0.379241E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100540E+03 -0.282113E+03 -0.114251E+03 -0.130800E+03 +0.995799E+02 +0.000000E+00 +0.000000E+00 -0.287495E-02 +0.314430E-03 +0.000000E+00 +0.378404E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100550E+03 -0.280794E+03 -0.114600E+03 -0.130480E+03 +0.993543E+02 +0.000000E+00 +0.000000E+00 -0.285596E-02 +0.301716E-03 +0.000000E+00 +0.377546E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100560E+03 -0.279491E+03 -0.114940E+03 -0.130162E+03 +0.991260E+02 +0.000000E+00 +0.000000E+00 -0.283725E-02 +0.289226E-03 +0.000000E+00 +0.376679E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100570E+03 -0.278216E+03 -0.115264E+03 -0.129848E+03 +0.988932E+02 +0.000000E+00 +0.000000E+00 -0.281898E-02 +0.277100E-03 +0.000000E+00 +0.375794E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100580E+03 -0.276956E+03 -0.115580E+03 -0.129537E+03 +0.986581E+02 +0.000000E+00 +0.000000E+00 -0.280097E-02 +0.265189E-03 +0.000000E+00 +0.374901E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100590E+03 -0.275723E+03 -0.115882E+03 -0.129229E+03 +0.984193E+02 +0.000000E+00 +0.000000E+00 -0.278337E-02 +0.253608E-03 +0.000000E+00 +0.373993E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100600E+03 -0.274504E+03 -0.116175E+03 -0.128924E+03 +0.981783E+02 +0.000000E+00 +0.000000E+00 -0.276602E-02 +0.242233E-03 +0.000000E+00 +0.373078E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100610E+03 -0.273309E+03 -0.116456E+03 -0.128623E+03 +0.979343E+02 +0.000000E+00 +0.000000E+00 -0.274904E-02 +0.231159E-03 +0.000000E+00 +0.372150E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100620E+03 -0.272129E+03 -0.116730E+03 -0.128323E+03 +0.976883E+02 +0.000000E+00 +0.000000E+00 -0.273231E-02 +0.220282E-03 +0.000000E+00 +0.371216E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100630E+03 -0.270970E+03 -0.116992E+03 -0.128028E+03 +0.974397E+02 +0.000000E+00 +0.000000E+00 -0.271591E-02 +0.209678E-03 +0.000000E+00 +0.370271E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100640E+03 -0.269826E+03 -0.117246E+03 -0.127734E+03 +0.971894E+02 +0.000000E+00 +0.000000E+00 -0.269975E-02 +0.199265E-03 +0.000000E+00 +0.369320E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100650E+03 -0.268701E+03 -0.117491E+03 -0.127443E+03 +0.969369E+02 +0.000000E+00 +0.000000E+00 -0.268390E-02 +0.189101E-03 +0.000000E+00 +0.368360E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100660E+03 -0.267591E+03 -0.117728E+03 -0.127155E+03 +0.966828E+02 +0.000000E+00 +0.000000E+00 -0.266828E-02 +0.179120E-03 +0.000000E+00 +0.367395E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100670E+03 -0.266498E+03 -0.117956E+03 -0.126870E+03 +0.964268E+02 +0.000000E+00 +0.000000E+00 -0.265294E-02 +0.169366E-03 +0.000000E+00 +0.366422E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100680E+03 -0.265419E+03 -0.118177E+03 -0.126587E+03 +0.961695E+02 +0.000000E+00 +0.000000E+00 -0.263782E-02 +0.159789E-03 +0.000000E+00 +0.365444E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100690E+03 -0.264356E+03 -0.118389E+03 -0.126306E+03 +0.959105E+02 +0.000000E+00 +0.000000E+00 -0.262296E-02 +0.150420E-03 +0.000000E+00 +0.364460E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100700E+03 -0.263307E+03 -0.118595E+03 -0.126028E+03 +0.956502E+02 +0.000000E+00 +0.000000E+00 -0.260831E-02 +0.141222E-03 +0.000000E+00 +0.363471E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100710E+03 -0.262273E+03 -0.118793E+03 -0.125752E+03 +0.953885E+02 +0.000000E+00 +0.000000E+00 -0.259390E-02 +0.132213E-03 +0.000000E+00 +0.362476E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100720E+03 -0.261252E+03 -0.118985E+03 -0.125478E+03 +0.951257E+02 +0.000000E+00 +0.000000E+00 -0.257970E-02 +0.123371E-03 +0.000000E+00 +0.361478E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100730E+03 -0.260245E+03 -0.119170E+03 -0.125207E+03 +0.948617E+02 +0.000000E+00 +0.000000E+00 -0.256572E-02 +0.114702E-03 +0.000000E+00 +0.360474E-02 +0.000000E+00 +0.000000E+00
