%X Y s_xx s_yy s_zz s_xy s_xz s_yz e_xx e_yy e_zz e_xy e_xz e_yz
 +0.148320E+01 -0.100000E+03 -0.455368E+03 -0.308683E+02 -0.160458E+03 +0.394462E+02 +0.000000E+00 +0.000000E+00 -0.560329E-02 +0.246220E-02 +0.000000E+00 +0.149895E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100010E+03 -0.446426E+03 -0.372116E+02 -0.159600E+03 +0.441750E+02 +0.000000E+00 +0.000000E+00 -0.544968E-02 +0.232538E-02 +0.000000E+00 +0.167865E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100020E+03 -0.437491E+03 -0.435273E+02 -0.158736E+03 +0.489547E+02 +0.000000E+00 +0.000000E+00 -0.529634E-02 +0.218896E-02 +0.000000E+00 +0.186028E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100030E+03 -0.429102E+03 -0.478326E+02 -0.157388E+03 +0.574268E+02 +0.000000E+00 +0.000000E+00 -0.516256E-02 +0.208156E-02 +0.000000E+00 +0.218222E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100040E+03 -0.420771E+03 -0.521167E+02 -0.156053E+03 +0.658113E+02 +0.000000E+00 +0.000000E+00 -0.502965E-02 +0.197479E-02 +0.000000E+00 +0.250083E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100050E+03 -0.414525E+03 -0.556413E+02 -0.155155E+03 +0.710601E+02 +0.000000E+00 +0.000000E+00 -0.492803E-02 +0.189076E-02 +0.000000E+00 +0.270028E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100060E+03 -0.408313E+03 -0.591470E+02 -0.154262E+03 +0.762494E+02 +0.000000E+00 +0.000000E+00 -0.482698E-02 +0.180718E-02 +0.000000E+00 +0.289748E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100070E+03 -0.402913E+03 -0.622067E+02 -0.153489E+03 +0.800388E+02 +0.000000E+00 +0.000000E+00 -0.473905E-02 +0.173437E-02 +0.000000E+00 +0.304147E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100080E+03 -0.397543E+03 -0.652470E+02 -0.152721E+03 +0.837787E+02 +0.000000E+00 +0.000000E+00 -0.465163E-02 +0.166200E-02 +0.000000E+00 +0.318359E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100090E+03 -0.392707E+03 -0.679502E+02 -0.152017E+03 +0.866566E+02 +0.000000E+00 +0.000000E+00 -0.457311E-02 +0.159726E-02 +0.000000E+00 +0.329295E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100100E+03 -0.387898E+03 -0.706339E+02 -0.151315E+03 +0.894921E+02 +0.000000E+00 +0.000000E+00 -0.449506E-02 +0.153295E-02 +0.000000E+00 +0.340070E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100110E+03 -0.383470E+03 -0.730504E+02 -0.150652E+03 +0.917444E+02 +0.000000E+00 +0.000000E+00 -0.442355E-02 +0.147442E-02 +0.000000E+00 +0.348629E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100120E+03 -0.379069E+03 -0.754475E+02 -0.149990E+03 +0.939591E+02 +0.000000E+00 +0.000000E+00 -0.435249E-02 +0.141632E-02 +0.000000E+00 +0.357045E-02 +0.000000E+00 +0.000000E+00
