%X Y s_xx s_yy s_zz s_xy s_xz s_yz e_xx e_yy e_zz e_xy e_xz e_yz
 +0.130720E+01 -0.100000E+03 -0.414075E+03 -0.262046E+02 -0.145292E+03 +0.356741E+02 +0.000000E+00 +0.000000E+00 -0.510688E-02 +0.226267E-02 +0.000000E+00 +0.135562E-02 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100010E+03 -0.405521E+03 -0.323583E+02 -0.144500E+03 +0.400680E+02 +0.000000E+00 +0.000000E+00 -0.495939E-02 +0.213069E-02 +0.000000E+00 +0.152258E-02 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100020E+03 -0.396983E+03 -0.384710E+02 -0.143700E+03 +0.445311E+02 +0.000000E+00 +0.000000E+00 -0.481237E-02 +0.199934E-02 +0.000000E+00 +0.169218E-02 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100030E+03 -0.389291E+03 -0.425108E+02 -0.142495E+03 +0.524934E+02 +0.000000E+00 +0.000000E+00 -0.468913E-02 +0.189969E-02 +0.000000E+00 +0.199475E-02 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100040E+03 -0.381672E+03 -0.465278E+02 -0.141306E+03 +0.603295E+02 +0.000000E+00 +0.000000E+00 -0.456696E-02 +0.180079E-02 +0.000000E+00 +0.229252E-02 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100050E+03 -0.375854E+03 -0.499785E+02 -0.140525E+03 +0.650406E+02 +0.000000E+00 +0.000000E+00 -0.447125E-02 +0.172038E-02 +0.000000E+00 +0.247154E-02 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100060E+03 -0.370078E+03 -0.534002E+02 -0.139748E+03 +0.696715E+02 +0.000000E+00 +0.000000E+00 -0.437627E-02 +0.164060E-02 +0.000000E+00 +0.264752E-02 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100070E+03 -0.364996E+03 -0.563540E+02 -0.139045E+03 +0.730033E+02 +0.000000E+00 +0.000000E+00 -0.429306E-02 +0.157114E-02 +0.000000E+00 +0.277413E-02 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100080E+03 -0.359955E+03 -0.592787E+02 -0.138347E+03 +0.762692E+02 +0.000000E+00 +0.000000E+00 -0.421055E-02 +0.150230E-02 +0.000000E+00 +0.289823E-02 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100090E+03 -0.355403E+03 -0.618574E+02 -0.137696E+03 +0.787512E+02 +0.000000E+00 +0.000000E+00 -0.413644E-02 +0.144094E-02 +0.000000E+00 +0.299255E-02 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100100E+03 -0.350890E+03 -0.644068E+02 -0.137048E+03 +0.811766E+02 +0.000000E+00 +0.000000E+00 -0.406300E-02 +0.138018E-02 +0.000000E+00 +0.308471E-02 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100110E+03 -0.346727E+03 -0.666852E+02 -0.136426E+03 +0.830745E+02 +0.000000E+00 +0.000000E+00 -0.399572E-02 +0.132507E-02 +0.000000E+00 +0.315683E-02 +0.000000E+00 +0.000000E+00
