%X Y s_xx s_yy s_zz s_xy s_xz s_yz e_xx e_yy e_zz e_xy e_xz e_yz
 +0.148320E+01 -0.100000E+03 +0.455811E+03 -0.937938E+01 +0.147331E+03 -0.800300E+01 +0.000000E+00 +0.000000E+00 +0.586192E-02 -0.297793E-02 +0.000000E+00 -0.304131E-03 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100010E+03 +0.440046E+03 -0.435712E+01 +0.143782E+03 -0.112306E+02 +0.000000E+00 +0.000000E+00 +0.562942E-02 -0.281485E-02 +0.000000E+00 -0.426770E-03 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100020E+03 +0.424237E+03 +0.598101E+00 +0.140196E+03 -0.144484E+02 +0.000000E+00 +0.000000E+00 +0.539679E-02 -0.265235E-02 +0.000000E+00 -0.549040E-03 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100030E+03 +0.405282E+03 +0.681893E+00 +0.133968E+03 -0.169625E+02 +0.000000E+00 +0.000000E+00 +0.515497E-02 -0.253244E-02 +0.000000E+00 -0.644573E-03 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100040E+03 +0.386461E+03 +0.746064E+00 +0.127778E+03 -0.194238E+02 +0.000000E+00 +0.000000E+00 +0.491496E-02 -0.241361E-02 +0.000000E+00 -0.738105E-03 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100050E+03 +0.372397E+03 +0.107100E+00 +0.122927E+03 -0.199982E+02 +0.000000E+00 +0.000000E+00 +0.473995E-02 -0.233357E-02 +0.000000E+00 -0.759931E-03 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100060E+03 +0.358441E+03 -0.534146E+00 +0.118109E+03 -0.205463E+02 +0.000000E+00 +0.000000E+00 +0.456630E-02 -0.225422E-02 +0.000000E+00 -0.780759E-03 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100070E+03 +0.346987E+03 -0.122915E+01 +0.114100E+03 -0.204760E+02 +0.000000E+00 +0.000000E+00 +0.442485E-02 -0.219125E-02 +0.000000E+00 -0.778087E-03 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100080E+03 +0.335629E+03 -0.192547E+01 +0.110122E+03 -0.203856E+02 +0.000000E+00 +0.000000E+00 +0.428463E-02 -0.212891E-02 +0.000000E+00 -0.774653E-03 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100090E+03 +0.325947E+03 -0.264477E+01 +0.106690E+03 -0.199462E+02 +0.000000E+00 +0.000000E+00 +0.416589E-02 -0.207735E-02 +0.000000E+00 -0.757956E-03 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100100E+03 +0.316354E+03 -0.336480E+01 +0.103286E+03 -0.194919E+02 +0.000000E+00 +0.000000E+00 +0.404828E-02 -0.202637E-02 +0.000000E+00 -0.740692E-03 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100110E+03 +0.307988E+03 -0.409486E+01 +0.100285E+03 -0.188328E+02 +0.000000E+00 +0.000000E+00 +0.394637E-02 -0.198321E-02 +0.000000E+00 -0.715647E-03 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100120E+03 +0.299706E+03 -0.482547E+01 +0.973107E+02 -0.181622E+02 +0.000000E+00 +0.000000E+00 +0.384552E-02 -0.194059E-02 +0.000000E+00 -0.690165E-03 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100130E+03 +0.292366E+03 -0.556232E+01 +0.946452E+02 -0.173621E+02 +0.000000E+00 +0.000000E+00 +0.375669E-02 -0.190394E-02 +0.000000E+00 -0.659761E-03 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100140E+03 +0.285104E+03 -0.629967E+01 +0.920054E+02 -0.165532E+02 +0.000000E+00 +0.000000E+00 +0.366887E-02 -0.186780E-02 +0.000000E+00 -0.629021E-03 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100150E+03 +0.278592E+03 -0.704191E+01 +0.896116E+02 -0.156599E+02 +0.000000E+00 +0.000000E+00 +0.359063E-02 -0.183642E-02 +0.000000E+00 -0.595077E-03 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100160E+03 +0.272155E+03 -0.778469E+01 +0.872422E+02 -0.147600E+02 +0.000000E+00 +0.000000E+00 +0.351334E-02 -0.180551E-02 +0.000000E+00 -0.560880E-03 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100170E+03 +0.266331E+03 -0.853192E+01 +0.850737E+02 -0.138055E+02 +0.000000E+00 +0.000000E+00 +0.344389E-02 -0.177851E-02 +0.000000E+00 -0.524608E-03 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100180E+03 +0.260578E+03 -0.927972E+01 +0.829284E+02 -0.128462E+02 +0.000000E+00 +0.000000E+00 +0.337534E-02 -0.175195E-02 +0.000000E+00 -0.488156E-03 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100190E+03 +0.255336E+03 -0.100316E+02 +0.809506E+02 -0.118526E+02 +0.000000E+00 +0.000000E+00 +0.331333E-02 -0.172866E-02 +0.000000E+00 -0.450401E-03 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100200E+03 +0.250163E+03 -0.107842E+02 +0.789950E+02 -0.108560E+02 +0.000000E+00 +0.000000E+00 +0.325219E-02 -0.170580E-02 +0.000000E+00 -0.412528E-03 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100210E+03 +0.245423E+03 -0.115404E+02 +0.771813E+02 -0.983970E+01 +0.000000E+00 +0.000000E+00 +0.319659E-02 -0.168571E-02 +0.000000E+00 -0.373909E-03 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100220E+03 +0.240748E+03 -0.122972E+02 +0.753889E+02 -0.882182E+01 +0.000000E+00 +0.000000E+00 +0.314183E-02 -0.166604E-02 +0.000000E+00 -0.335229E-03 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100230E+03 +0.236445E+03 -0.130572E+02 +0.737181E+02 -0.779498E+01 +0.000000E+00 +0.000000E+00 +0.309182E-02 -0.164873E-02 +0.000000E+00 -0.296209E-03 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100240E+03 +0.232205E+03 -0.138178E+02 +0.720679E+02 -0.676795E+01 +0.000000E+00 +0.000000E+00 +0.304261E-02 -0.163183E-02 +0.000000E+00 -0.257182E-03 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100250E+03 +0.228287E+03 -0.145808E+02 +0.705231E+02 -0.573997E+01 +0.000000E+00 +0.000000E+00 +0.299752E-02 -0.161698E-02 +0.000000E+00 -0.218119E-03 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100260E+03 +0.224430E+03 -0.153443E+02 +0.689981E+02 -0.471307E+01 +0.000000E+00 +0.000000E+00 +0.295320E-02 -0.160251E-02 +0.000000E+00 -0.179097E-03 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100270E+03 +0.220853E+03 -0.161095E+02 +0.675654E+02 -0.369126E+01 +0.000000E+00 +0.000000E+00 +0.291247E-02 -0.158982E-02 +0.000000E+00 -0.140268E-03 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100280E+03 +0.217335E+03 -0.168750E+02 +0.661518E+02 -0.267171E+01 +0.000000E+00 +0.000000E+00 +0.287248E-02 -0.157751E-02 +0.000000E+00 -0.101525E-03 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100290E+03 +0.214064E+03 -0.176415E+02 +0.648195E+02 -0.166182E+01 +0.000000E+00 +0.000000E+00 +0.283565E-02 -0.156676E-02 +0.000000E+00 -0.631492E-04 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100300E+03 +0.210849E+03 -0.184080E+02 +0.635056E+02 -0.655278E+00 +0.000000E+00 +0.000000E+00 +0.279953E-02 -0.155636E-02 +0.000000E+00 -0.249006E-04 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100310E+03 +0.207853E+03 -0.191747E+02 +0.622638E+02 +0.338164E+00 +0.000000E+00 +0.000000E+00 +0.276619E-02 -0.154733E-02 +0.000000E+00 +0.128502E-04 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100320E+03 +0.204910E+03 -0.199412E+02 +0.610399E+02 +0.132726E+01 +0.000000E+00 +0.000000E+00 +0.273354E-02 -0.153864E-02 +0.000000E+00 +0.504359E-04 +0.000000E+00 +0.000000E+00
