%X Y s_xx s_yy s_zz s_xy s_xz s_yz e_xx e_yy e_zz e_xy e_xz e_yz
 +0.130720E+01 -0.100000E+03 +0.345734E+03 -0.898947E+01 +0.111126E+03 -0.527492E+01 +0.000000E+00 +0.000000E+00 +0.445755E-02 -0.228219E-02 +0.000000E+00 -0.200447E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100010E+03 +0.328923E+03 -0.322177E+01 +0.107481E+03 -0.900939E+01 +0.000000E+00 +0.000000E+00 +0.420739E-02 -0.210336E-02 +0.000000E+00 -0.342357E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100020E+03 +0.312090E+03 +0.241672E+01 +0.103787E+03 -0.127117E+02 +0.000000E+00 +0.000000E+00 +0.395775E-02 -0.192604E-02 +0.000000E+00 -0.483044E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100030E+03 +0.294129E+03 +0.152339E+01 +0.975652E+02 -0.147874E+02 +0.000000E+00 +0.000000E+00 +0.373471E-02 -0.182479E-02 +0.000000E+00 -0.561921E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100040E+03 +0.276354E+03 +0.631110E+00 +0.914052E+02 -0.167822E+02 +0.000000E+00 +0.000000E+00 +0.351403E-02 -0.172471E-02 +0.000000E+00 -0.637723E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100050E+03 +0.263213E+03 -0.235095E+00 +0.867827E+02 -0.167720E+02 +0.000000E+00 +0.000000E+00 +0.335218E-02 -0.165334E-02 +0.000000E+00 -0.637336E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100060E+03 +0.250225E+03 -0.110018E+01 +0.822112E+02 -0.167338E+02 +0.000000E+00 +0.000000E+00 +0.319226E-02 -0.158292E-02 +0.000000E+00 -0.635885E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100070E+03 +0.239717E+03 -0.194711E+01 +0.784642E+02 -0.162424E+02 +0.000000E+00 +0.000000E+00 +0.306381E-02 -0.152782E-02 +0.000000E+00 -0.617210E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100080E+03 +0.229347E+03 -0.279318E+01 +0.747627E+02 -0.157276E+02 +0.000000E+00 +0.000000E+00 +0.293710E-02 -0.147356E-02 +0.000000E+00 -0.597648E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100090E+03 +0.220603E+03 -0.362901E+01 +0.716014E+02 -0.149358E+02 +0.000000E+00 +0.000000E+00 +0.283103E-02 -0.142938E-02 +0.000000E+00 -0.567559E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100100E+03 +0.211985E+03 -0.446446E+01 +0.684817E+02 -0.141286E+02 +0.000000E+00 +0.000000E+00 +0.272656E-02 -0.138598E-02 +0.000000E+00 -0.536887E-03 +0.000000E+00 +0.000000E+00
