%X Y s_xx s_yy s_zz s_xy s_xz s_yz e_xx e_yy e_zz e_xy e_xz e_yz
 +0.148320E+01 -0.100000E+03 -0.327290E+03 -0.225803E+02 -0.115457E+03 +0.318794E+02 +0.000000E+00 +0.000000E+00 -0.402482E-02 +0.176466E-02 +0.000000E+00 +0.121142E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100010E+03 -0.320825E+03 -0.282503E+02 -0.115195E+03 +0.370519E+02 +0.000000E+00 +0.000000E+00 -0.390698E-02 +0.165195E-02 +0.000000E+00 +0.140797E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100020E+03 -0.314357E+03 -0.339146E+02 -0.114930E+03 +0.422644E+02 +0.000000E+00 +0.000000E+00 -0.378912E-02 +0.153929E-02 +0.000000E+00 +0.160605E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100030E+03 -0.307644E+03 -0.391630E+02 -0.114446E+03 +0.503883E+02 +0.000000E+00 +0.000000E+00 -0.367075E-02 +0.143038E-02 +0.000000E+00 +0.191476E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100040E+03 -0.300969E+03 -0.443758E+02 -0.113964E+03 +0.584125E+02 +0.000000E+00 +0.000000E+00 -0.355310E-02 +0.132217E-02 +0.000000E+00 +0.221968E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100050E+03 -0.295698E+03 -0.483136E+02 -0.113524E+03 +0.628599E+02 +0.000000E+00 +0.000000E+00 -0.346130E-02 +0.123899E-02 +0.000000E+00 +0.238868E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100060E+03 -0.290456E+03 -0.522224E+02 -0.113084E+03 +0.672471E+02 +0.000000E+00 +0.000000E+00 -0.337007E-02 +0.115637E-02 +0.000000E+00 +0.255539E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100070E+03 -0.285921E+03 -0.554470E+02 -0.112652E+03 +0.702156E+02 +0.000000E+00 +0.000000E+00 -0.329212E-02 +0.108689E-02 +0.000000E+00 +0.266819E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100080E+03 -0.281416E+03 -0.586436E+02 -0.112220E+03 +0.731346E+02 +0.000000E+00 +0.000000E+00 -0.321473E-02 +0.101795E-02 +0.000000E+00 +0.277911E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100090E+03 -0.277432E+03 -0.613528E+02 -0.111799E+03 +0.751920E+02 +0.000000E+00 +0.000000E+00 -0.314702E-02 +0.958477E-03 +0.000000E+00 +0.285730E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100100E+03 -0.273477E+03 -0.640349E+02 -0.111379E+03 +0.772096E+02 +0.000000E+00 +0.000000E+00 -0.307987E-02 +0.899538E-03 +0.000000E+00 +0.293396E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100110E+03 -0.269934E+03 -0.663468E+02 -0.110972E+03 +0.786805E+02 +0.000000E+00 +0.000000E+00 -0.302026E-02 +0.847889E-03 +0.000000E+00 +0.298986E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100120E+03 -0.266420E+03 -0.686327E+02 -0.110567E+03 +0.801180E+02 +0.000000E+00 +0.000000E+00 -0.296120E-02 +0.796758E-03 +0.000000E+00 +0.304448E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100130E+03 -0.263245E+03 -0.706258E+02 -0.110177E+03 +0.811797E+02 +0.000000E+00 +0.000000E+00 -0.290829E-02 +0.751481E-03 +0.000000E+00 +0.308483E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100140E+03 -0.260100E+03 -0.725940E+02 -0.109789E+03 +0.822137E+02 +0.000000E+00 +0.000000E+00 -0.285591E-02 +0.706707E-03 +0.000000E+00 +0.312412E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100150E+03 -0.257240E+03 -0.743256E+02 -0.109417E+03 +0.829838E+02 +0.000000E+00 +0.000000E+00 -0.280865E-02 +0.666731E-03 +0.000000E+00 +0.315339E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100160E+03 -0.254410E+03 -0.760337E+02 -0.109046E+03 +0.837308E+02 +0.000000E+00 +0.000000E+00 -0.276191E-02 +0.627241E-03 +0.000000E+00 +0.318177E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100170E+03 -0.251821E+03 -0.775480E+02 -0.108692E+03 +0.842880E+02 +0.000000E+00 +0.000000E+00 -0.271946E-02 +0.591733E-03 +0.000000E+00 +0.320294E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100180E+03 -0.249261E+03 -0.790401E+02 -0.108339E+03 +0.848260E+02 +0.000000E+00 +0.000000E+00 -0.267752E-02 +0.556688E-03 +0.000000E+00 +0.322339E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100190E+03 -0.246908E+03 -0.803724E+02 -0.108002E+03 +0.852261E+02 +0.000000E+00 +0.000000E+00 -0.263920E-02 +0.524970E-03 +0.000000E+00 +0.323859E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100200E+03 -0.244582E+03 -0.816840E+02 -0.107668E+03 +0.856104E+02 +0.000000E+00 +0.000000E+00 -0.260137E-02 +0.493690E-03 +0.000000E+00 +0.325319E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100210E+03 -0.242432E+03 -0.828630E+02 -0.107347E+03 +0.858936E+02 +0.000000E+00 +0.000000E+00 -0.256661E-02 +0.465201E-03 +0.000000E+00 +0.326396E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100220E+03 -0.240308E+03 -0.840228E+02 -0.107029E+03 +0.861638E+02 +0.000000E+00 +0.000000E+00 -0.253230E-02 +0.437124E-03 +0.000000E+00 +0.327423E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100230E+03 -0.238336E+03 -0.850723E+02 -0.106725E+03 +0.863597E+02 +0.000000E+00 +0.000000E+00 -0.250061E-02 +0.411393E-03 +0.000000E+00 +0.328167E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100240E+03 -0.236388E+03 -0.861040E+02 -0.106422E+03 +0.865448E+02 +0.000000E+00 +0.000000E+00 -0.246935E-02 +0.386048E-03 +0.000000E+00 +0.328870E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100250E+03 -0.234569E+03 -0.870438E+02 -0.106132E+03 +0.866748E+02 +0.000000E+00 +0.000000E+00 -0.244030E-02 +0.362680E-03 +0.000000E+00 +0.329364E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100260E+03 -0.232774E+03 -0.879671E+02 -0.105844E+03 +0.867961E+02 +0.000000E+00 +0.000000E+00 -0.241166E-02 +0.339670E-03 +0.000000E+00 +0.329825E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100270E+03 -0.231089E+03 -0.888135E+02 -0.105568E+03 +0.868765E+02 +0.000000E+00 +0.000000E+00 -0.238490E-02 +0.318330E-03 +0.000000E+00 +0.330131E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100280E+03 -0.229426E+03 -0.896448E+02 -0.105293E+03 +0.869497E+02 +0.000000E+00 +0.000000E+00 -0.235852E-02 +0.297321E-03 +0.000000E+00 +0.330409E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100290E+03 -0.227857E+03 -0.904116E+02 -0.105029E+03 +0.869923E+02 +0.000000E+00 +0.000000E+00 -0.233374E-02 +0.277725E-03 +0.000000E+00 +0.330571E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100300E+03 -0.226309E+03 -0.911645E+02 -0.104766E+03 +0.870290E+02 +0.000000E+00 +0.000000E+00 -0.230932E-02 +0.258435E-03 +0.000000E+00 +0.330710E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100310E+03 -0.224842E+03 -0.918632E+02 -0.104513E+03 +0.870427E+02 +0.000000E+00 +0.000000E+00 -0.228626E-02 +0.240343E-03 +0.000000E+00 +0.330762E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100320E+03 -0.223395E+03 -0.925492E+02 -0.104261E+03 +0.870515E+02 +0.000000E+00 +0.000000E+00 -0.226353E-02 +0.222533E-03 +0.000000E+00 +0.330796E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100330E+03 -0.222016E+03 -0.931893E+02 -0.104018E+03 +0.870428E+02 +0.000000E+00 +0.000000E+00 -0.224197E-02 +0.205742E-03 +0.000000E+00 +0.330763E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100340E+03 -0.220656E+03 -0.938177E+02 -0.103776E+03 +0.870301E+02 +0.000000E+00 +0.000000E+00 -0.222071E-02 +0.189211E-03 +0.000000E+00 +0.330714E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100350E+03 -0.219355E+03 -0.944073E+02 -0.103542E+03 +0.870039E+02 +0.000000E+00 +0.000000E+00 -0.220045E-02 +0.173550E-03 +0.000000E+00 +0.330615E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100360E+03 -0.218071E+03 -0.949862E+02 -0.103309E+03 +0.869743E+02 +0.000000E+00 +0.000000E+00 -0.218048E-02 +0.158129E-03 +0.000000E+00 +0.330502E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100370E+03 -0.216838E+03 -0.955319E+02 -0.103082E+03 +0.869341E+02 +0.000000E+00 +0.000000E+00 -0.216136E-02 +0.143452E-03 +0.000000E+00 +0.330350E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100380E+03 -0.215620E+03 -0.960678E+02 -0.102857E+03 +0.868911E+02 +0.000000E+00 +0.000000E+00 -0.214250E-02 +0.128998E-03 +0.000000E+00 +0.330186E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100390E+03 -0.214448E+03 -0.965753E+02 -0.102638E+03 +0.868396E+02 +0.000000E+00 +0.000000E+00 -0.212439E-02 +0.115183E-03 +0.000000E+00 +0.329991E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100400E+03 -0.213289E+03 -0.970737E+02 -0.102420E+03 +0.867856E+02 +0.000000E+00 +0.000000E+00 -0.210652E-02 +0.101573E-03 +0.000000E+00 +0.329785E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100410E+03 -0.212169E+03 -0.975476E+02 -0.102206E+03 +0.867248E+02 +0.000000E+00 +0.000000E+00 -0.208928E-02 +0.885164E-04 +0.000000E+00 +0.329554E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100420E+03 -0.211062E+03 -0.980131E+02 -0.101995E+03 +0.866616E+02 +0.000000E+00 +0.000000E+00 -0.207227E-02 +0.756504E-04 +0.000000E+00 +0.329314E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100430E+03 -0.209988E+03 -0.984575E+02 -0.101787E+03 +0.865928E+02 +0.000000E+00 +0.000000E+00 -0.205582E-02 +0.632634E-04 +0.000000E+00 +0.329053E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100440E+03 -0.208927E+03 -0.988939E+02 -0.101581E+03 +0.865219E+02 +0.000000E+00 +0.000000E+00 -0.203958E-02 +0.510542E-04 +0.000000E+00 +0.328783E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100450E+03 -0.207895E+03 -0.993120E+02 -0.101378E+03 +0.864461E+02 +0.000000E+00 +0.000000E+00 -0.202382E-02 +0.392626E-04 +0.000000E+00 +0.328495E-02 +0.000000E+00 +0.000000E+00
