%X Y s_xx s_yy s_zz s_xy s_xz s_yz e_xx e_yy e_zz e_xy e_xz e_yz
 +0.163894E+01 -0.100000E+03 -0.278228E+03 -0.217000E+02 -0.989764E+02 +0.324040E+02 +0.000000E+00 +0.000000E+00 -0.340579E-02 +0.146825E-02 +0.000000E+00 +0.123135E-02 +0.000000E+00 +0.000000E+00
 +0.163894E+01 -0.100010E+03 -0.271463E+03 -0.278430E+02 -0.987709E+02 +0.376722E+02 +0.000000E+00 +0.000000E+00 -0.328114E-02 +0.134763E-02 +0.000000E+00 +0.143154E-02 +0.000000E+00 +0.000000E+00
 +0.163894E+01 -0.100020E+03 -0.264697E+03 -0.339852E+02 -0.985652E+02 +0.429442E+02 +0.000000E+00 +0.000000E+00 -0.315651E-02 +0.122702E-02 +0.000000E+00 +0.163188E-02 +0.000000E+00 +0.000000E+00
 +0.163894E+01 -0.100030E+03 -0.258057E+03 -0.395549E+02 -0.982119E+02 +0.511690E+02 +0.000000E+00 +0.000000E+00 -0.303706E-02 +0.111448E-02 +0.000000E+00 +0.194442E-02 +0.000000E+00 +0.000000E+00
 +0.163894E+01 -0.100040E+03 -0.251421E+03 -0.451207E+02 -0.978587E+02 +0.593834E+02 +0.000000E+00 +0.000000E+00 -0.291768E-02 +0.100202E-02 +0.000000E+00 +0.225657E-02 +0.000000E+00 +0.000000E+00
 +0.163894E+01 -0.100050E+03 -0.246387E+03 -0.492335E+02 -0.975549E+02 +0.635820E+02 +0.000000E+00 +0.000000E+00 -0.282782E-02 +0.918106E-03 +0.000000E+00 +0.241612E-02 +0.000000E+00 +0.000000E+00
 +0.163894E+01 -0.100060E+03 -0.241357E+03 -0.533432E+02 -0.972510E+02 +0.677750E+02 +0.000000E+00 +0.000000E+00 -0.273801E-02 +0.834250E-03 +0.000000E+00 +0.257545E-02 +0.000000E+00 +0.000000E+00
 +0.163894E+01 -0.100070E+03 -0.237130E+03 -0.566435E+02 -0.969454E+02 +0.705009E+02 +0.000000E+00 +0.000000E+00 -0.266352E-02 +0.765736E-03 +0.000000E+00 +0.267904E-02 +0.000000E+00 +0.000000E+00
 +0.163894E+01 -0.100080E+03 -0.232907E+03 -0.599408E+02 -0.966398E+02 +0.732222E+02 +0.000000E+00 +0.000000E+00 -0.258908E-02 +0.697280E-03 +0.000000E+00 +0.278245E-02 +0.000000E+00 +0.000000E+00
 +0.163894E+01 -0.100090E+03 -0.229305E+03 -0.626578E+02 -0.963478E+02 +0.750491E+02 +0.000000E+00 +0.000000E+00 -0.252619E-02 +0.640110E-03 +0.000000E+00 +0.285187E-02 +0.000000E+00 +0.000000E+00
 +0.163894E+01 -0.100100E+03 -0.225707E+03 -0.653720E+02 -0.960559E+02 +0.768724E+02 +0.000000E+00 +0.000000E+00 -0.246336E-02 +0.582996E-03 +0.000000E+00 +0.292115E-02 +0.000000E+00 +0.000000E+00
