%X Y s_xx s_yy s_zz s_xy s_xz s_yz e_xx e_yy e_zz e_xy e_xz e_yz
 +0.148320E+01 -0.100000E+03 -0.410830E+03 -0.236556E+02 -0.143380E+03 +0.331363E+02 +0.000000E+00 +0.000000E+00 -0.508154E-02 +0.227477E-02 +0.000000E+00 +0.125918E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100010E+03 -0.403949E+03 -0.294615E+02 -0.143025E+03 +0.383881E+02 +0.000000E+00 +0.000000E+00 -0.495755E-02 +0.215771E-02 +0.000000E+00 +0.145875E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100020E+03 -0.397066E+03 -0.352586E+02 -0.142667E+03 +0.436828E+02 +0.000000E+00 +0.000000E+00 -0.483357E-02 +0.204076E-02 +0.000000E+00 +0.165995E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100030E+03 -0.390025E+03 -0.404120E+02 -0.142044E+03 +0.520954E+02 +0.000000E+00 +0.000000E+00 -0.471163E-02 +0.193101E-02 +0.000000E+00 +0.197963E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100040E+03 -0.383025E+03 -0.455323E+02 -0.141424E+03 +0.604093E+02 +0.000000E+00 +0.000000E+00 -0.459042E-02 +0.182194E-02 +0.000000E+00 +0.229555E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100050E+03 -0.377497E+03 -0.494663E+02 -0.140898E+03 +0.651851E+02 +0.000000E+00 +0.000000E+00 -0.449538E-02 +0.173720E-02 +0.000000E+00 +0.247703E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100060E+03 -0.371998E+03 -0.533735E+02 -0.140373E+03 +0.699001E+02 +0.000000E+00 +0.000000E+00 -0.440088E-02 +0.165298E-02 +0.000000E+00 +0.265621E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100070E+03 -0.367182E+03 -0.566495E+02 -0.139864E+03 +0.731858E+02 +0.000000E+00 +0.000000E+00 -0.431903E-02 +0.158108E-02 +0.000000E+00 +0.278106E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100080E+03 -0.362394E+03 -0.598996E+02 -0.139357E+03 +0.764208E+02 +0.000000E+00 +0.000000E+00 -0.423770E-02 +0.150969E-02 +0.000000E+00 +0.290399E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100090E+03 -0.358095E+03 -0.626984E+02 -0.138862E+03 +0.787732E+02 +0.000000E+00 +0.000000E+00 -0.416543E-02 +0.144711E-02 +0.000000E+00 +0.299338E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100100E+03 -0.353824E+03 -0.654722E+02 -0.138368E+03 +0.810837E+02 +0.000000E+00 +0.000000E+00 -0.409367E-02 +0.138502E-02 +0.000000E+00 +0.308118E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100110E+03 -0.349933E+03 -0.679010E+02 -0.137885E+03 +0.828188E+02 +0.000000E+00 +0.000000E+00 -0.402891E-02 +0.132970E-02 +0.000000E+00 +0.314712E-02 +0.000000E+00 +0.000000E+00
