%X Y s_xx s_yy s_zz s_xy s_xz s_yz e_xx e_yy e_zz e_xy e_xz e_yz
 +0.130720E+01 -0.100000E+03 +0.446845E+03 -0.712170E+01 +0.145109E+03 -0.583081E+01 +0.000000E+00 +0.000000E+00 +0.573299E-02 -0.289238E-02 +0.000000E+00 -0.221571E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100010E+03 +0.431529E+03 -0.204562E+01 +0.141729E+03 -0.961856E+01 +0.000000E+00 +0.000000E+00 +0.550619E-02 -0.273173E-02 +0.000000E+00 -0.365505E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100020E+03 +0.416170E+03 +0.292362E+01 +0.138301E+03 -0.133881E+02 +0.000000E+00 +0.000000E+00 +0.527951E-02 -0.257217E-02 +0.000000E+00 -0.508747E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100030E+03 +0.398649E+03 +0.249187E+01 +0.132377E+03 -0.162354E+02 +0.000000E+00 +0.000000E+00 +0.505918E-02 -0.246781E-02 +0.000000E+00 -0.616945E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100040E+03 +0.381299E+03 +0.204778E+01 +0.126505E+03 -0.189961E+02 +0.000000E+00 +0.000000E+00 +0.484110E-02 -0.236468E-02 +0.000000E+00 -0.721853E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100050E+03 +0.368167E+03 +0.129771E+01 +0.121923E+03 -0.196119E+02 +0.000000E+00 +0.000000E+00 +0.467863E-02 -0.229189E-02 +0.000000E+00 -0.745253E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100060E+03 +0.355180E+03 +0.548147E+00 +0.117390E+03 -0.201943E+02 +0.000000E+00 +0.000000E+00 +0.451801E-02 -0.222000E-02 +0.000000E+00 -0.767385E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100070E+03 +0.344553E+03 -0.193379E+00 +0.113639E+03 -0.202370E+02 +0.000000E+00 +0.000000E+00 +0.438737E-02 -0.216281E-02 +0.000000E+00 -0.769004E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100080E+03 +0.334054E+03 -0.933769E+00 +0.109930E+03 -0.202538E+02 +0.000000E+00 +0.000000E+00 +0.425836E-02 -0.210641E-02 +0.000000E+00 -0.769645E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100090E+03 +0.325094E+03 -0.166064E+01 +0.106733E+03 -0.199645E+02 +0.000000E+00 +0.000000E+00 +0.414886E-02 -0.205948E-02 +0.000000E+00 -0.758652E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100100E+03 +0.316254E+03 -0.238578E+01 +0.103576E+03 -0.196565E+02 +0.000000E+00 +0.000000E+00 +0.404087E-02 -0.201328E-02 +0.000000E+00 -0.746945E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100110E+03 +0.308525E+03 -0.309474E+01 +0.100792E+03 -0.191737E+02 +0.000000E+00 +0.000000E+00 +0.394692E-02 -0.197385E-02 +0.000000E+00 -0.728600E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100120E+03 +0.300906E+03 -0.380203E+01 +0.980443E+02 -0.186763E+02 +0.000000E+00 +0.000000E+00 +0.385437E-02 -0.193508E-02 +0.000000E+00 -0.709699E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100130E+03 +0.294127E+03 -0.449662E+01 +0.955780E+02 -0.180681E+02 +0.000000E+00 +0.000000E+00 +0.377243E-02 -0.190142E-02 +0.000000E+00 -0.686588E-03 +0.000000E+00 +0.000000E+00
