%X Y s_xx s_yy s_zz s_xy s_xz s_yz e_xx e_yy e_zz e_xy e_xz e_yz
 +0.110366E+01 -0.100000E+03 +0.373644E+03 -0.109929E+02 +0.119675E+03 -0.578452E+01 +0.000000E+00 +0.000000E+00 +0.482542E-02 -0.248269E-02 +0.000000E+00 -0.219812E-03 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100010E+03 +0.358052E+03 -0.534954E+01 +0.116392E+03 -0.889610E+01 +0.000000E+00 +0.000000E+00 +0.459154E-02 -0.231308E-02 +0.000000E+00 -0.338052E-03 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100020E+03 +0.342455E+03 +0.259975E+00 +0.113096E+03 -0.119987E+02 +0.000000E+00 +0.000000E+00 +0.435782E-02 -0.214388E-02 +0.000000E+00 -0.455952E-03 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100030E+03 +0.326122E+03 -0.316375E+00 +0.107516E+03 -0.134636E+02 +0.000000E+00 +0.000000E+00 +0.415351E-02 -0.204881E-02 +0.000000E+00 -0.511617E-03 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100040E+03 +0.309838E+03 -0.893726E+00 +0.101952E+03 -0.149112E+02 +0.000000E+00 +0.000000E+00 +0.394984E-02 -0.195406E-02 +0.000000E+00 -0.566624E-03 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100050E+03 +0.298035E+03 -0.156213E+01 +0.978361E+02 -0.147841E+02 +0.000000E+00 +0.000000E+00 +0.380378E-02 -0.188857E-02 +0.000000E+00 -0.561797E-03 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100060E+03 +0.286272E+03 -0.223115E+01 +0.937335E+02 -0.146501E+02 +0.000000E+00 +0.000000E+00 +0.365823E-02 -0.182333E-02 +0.000000E+00 -0.556703E-03 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100070E+03 +0.276904E+03 -0.293745E+01 +0.904088E+02 -0.140912E+02 +0.000000E+00 +0.000000E+00 +0.354340E-02 -0.177358E-02 +0.000000E+00 -0.535466E-03 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100080E+03 +0.267571E+03 -0.364408E+01 +0.870957E+02 -0.135269E+02 +0.000000E+00 +0.000000E+00 +0.342902E-02 -0.172406E-02 +0.000000E+00 -0.514021E-03 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100090E+03 +0.259834E+03 -0.436576E+01 +0.843046E+02 -0.127161E+02 +0.000000E+00 +0.000000E+00 +0.333506E-02 -0.168474E-02 +0.000000E+00 -0.483210E-03 +0.000000E+00 +0.000000E+00
