%X Y s_xx s_yy s_zz s_xy s_xz s_yz e_xx e_yy e_zz e_xy e_xz e_yz
 +0.148320E+01 -0.100000E+03 +0.398847E+03 -0.135654E+02 +0.127143E+03 -0.701736E+01 +0.000000E+00 +0.000000E+00 +0.516238E-02 -0.267346E-02 +0.000000E+00 -0.266660E-03 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100010E+03 +0.380448E+03 -0.687791E+01 +0.123278E+03 -0.103376E+02 +0.000000E+00 +0.000000E+00 +0.488623E-02 -0.247297E-02 +0.000000E+00 -0.392829E-03 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100020E+03 +0.362034E+03 -0.288015E+00 +0.119376E+03 -0.136316E+02 +0.000000E+00 +0.000000E+00 +0.461050E-02 -0.227362E-02 +0.000000E+00 -0.518002E-03 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100030E+03 +0.342490E+03 -0.794194E+00 +0.112760E+03 -0.150186E+02 +0.000000E+00 +0.000000E+00 +0.436488E-02 -0.215752E-02 +0.000000E+00 -0.570706E-03 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100040E+03 +0.323091E+03 -0.130831E+01 +0.106188E+03 -0.163568E+02 +0.000000E+00 +0.000000E+00 +0.412116E-02 -0.204244E-02 +0.000000E+00 -0.621559E-03 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100050E+03 +0.308920E+03 -0.210690E+01 +0.101248E+03 -0.159491E+02 +0.000000E+00 +0.000000E+00 +0.394577E-02 -0.196375E-02 +0.000000E+00 -0.606066E-03 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100060E+03 +0.294867E+03 -0.290810E+01 +0.963464E+02 -0.155204E+02 +0.000000E+00 +0.000000E+00 +0.377189E-02 -0.188583E-02 +0.000000E+00 -0.589773E-03 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100070E+03 +0.283573E+03 -0.377047E+01 +0.923348E+02 -0.145957E+02 +0.000000E+00 +0.000000E+00 +0.363352E-02 -0.182600E-02 +0.000000E+00 -0.554635E-03 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100080E+03 +0.272384E+03 -0.463512E+01 +0.883572E+02 -0.136551E+02 +0.000000E+00 +0.000000E+00 +0.349651E-02 -0.176685E-02 +0.000000E+00 -0.518896E-03 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100090E+03 +0.263025E+03 -0.553920E+01 +0.849704E+02 -0.124389E+02 +0.000000E+00 +0.000000E+00 +0.338304E-02 -0.171968E-02 +0.000000E+00 -0.472677E-03 +0.000000E+00 +0.000000E+00
