%X Y s_xx s_yy s_zz s_xy s_xz s_yz e_xx e_yy e_zz e_xy e_xz e_yz
 +0.130720E+01 -0.100000E+03 -0.373130E+03 -0.214203E+02 -0.130202E+03 +0.315696E+02 +0.000000E+00 +0.000000E+00 -0.461564E-02 +0.206684E-02 +0.000000E+00 +0.119965E-02 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100010E+03 -0.365832E+03 -0.273446E+02 -0.129748E+03 +0.364043E+02 +0.000000E+00 +0.000000E+00 -0.448559E-02 +0.194567E-02 +0.000000E+00 +0.138336E-02 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100020E+03 -0.358540E+03 -0.332466E+02 -0.129289E+03 +0.412991E+02 +0.000000E+00 +0.000000E+00 -0.435575E-02 +0.182481E-02 +0.000000E+00 +0.156937E-02 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100030E+03 -0.351527E+03 -0.380204E+02 -0.128551E+03 +0.492306E+02 +0.000000E+00 +0.000000E+00 -0.423655E-02 +0.172007E-02 +0.000000E+00 +0.187076E-02 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100040E+03 -0.344576E+03 -0.427523E+02 -0.127818E+03 +0.570230E+02 +0.000000E+00 +0.000000E+00 -0.411840E-02 +0.161626E-02 +0.000000E+00 +0.216687E-02 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100050E+03 -0.339171E+03 -0.464486E+02 -0.127254E+03 +0.613703E+02 +0.000000E+00 +0.000000E+00 -0.402641E-02 +0.153531E-02 +0.000000E+00 +0.233207E-02 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100060E+03 -0.333806E+03 -0.501082E+02 -0.126692E+03 +0.656381E+02 +0.000000E+00 +0.000000E+00 -0.393517E-02 +0.145508E-02 +0.000000E+00 +0.249425E-02 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100070E+03 -0.329092E+03 -0.531747E+02 -0.126148E+03 +0.686187E+02 +0.000000E+00 +0.000000E+00 -0.385593E-02 +0.138649E-02 +0.000000E+00 +0.260751E-02 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100080E+03 -0.324418E+03 -0.562058E+02 -0.125606E+03 +0.715323E+02 +0.000000E+00 +0.000000E+00 -0.377743E-02 +0.131860E-02 +0.000000E+00 +0.271823E-02 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100090E+03 -0.320221E+03 -0.588153E+02 -0.125082E+03 +0.736483E+02 +0.000000E+00 +0.000000E+00 -0.370764E-02 +0.125907E-02 +0.000000E+00 +0.279864E-02 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100100E+03 -0.316064E+03 -0.613905E+02 -0.124560E+03 +0.757092E+02 +0.000000E+00 +0.000000E+00 -0.363857E-02 +0.120022E-02 +0.000000E+00 +0.287695E-02 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100110E+03 -0.312268E+03 -0.636457E+02 -0.124051E+03 +0.772558E+02 +0.000000E+00 +0.000000E+00 -0.357611E-02 +0.114771E-02 +0.000000E+00 +0.293572E-02 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100120E+03 -0.308510E+03 -0.658675E+02 -0.123545E+03 +0.787548E+02 +0.000000E+00 +0.000000E+00 -0.351435E-02 +0.109587E-02 +0.000000E+00 +0.299268E-02 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100130E+03 -0.305050E+03 -0.678357E+02 -0.123052E+03 +0.798923E+02 +0.000000E+00 +0.000000E+00 -0.345795E-02 +0.104911E-02 +0.000000E+00 +0.303591E-02 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100140E+03 -0.301628E+03 -0.697716E+02 -0.122562E+03 +0.809889E+02 +0.000000E+00 +0.000000E+00 -0.340225E-02 +0.100301E-02 +0.000000E+00 +0.307758E-02 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100150E+03 -0.298454E+03 -0.715013E+02 -0.122085E+03 +0.818243E+02 +0.000000E+00 +0.000000E+00 -0.335101E-02 +0.961097E-03 +0.000000E+00 +0.310932E-02 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100160E+03 -0.295320E+03 -0.731997E+02 -0.121611E+03 +0.826241E+02 +0.000000E+00 +0.000000E+00 -0.330046E-02 +0.919822E-03 +0.000000E+00 +0.313971E-02 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100170E+03 -0.292397E+03 -0.747276E+02 -0.121151E+03 +0.832301E+02 +0.000000E+00 +0.000000E+00 -0.325368E-02 +0.882049E-03 +0.000000E+00 +0.316274E-02 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100180E+03 -0.289514E+03 -0.762253E+02 -0.120694E+03 +0.838054E+02 +0.000000E+00 +0.000000E+00 -0.320758E-02 +0.844903E-03 +0.000000E+00 +0.318460E-02 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100190E+03 -0.286813E+03 -0.775805E+02 -0.120250E+03 +0.842349E+02 +0.000000E+00 +0.000000E+00 -0.316470E-02 +0.810718E-03 +0.000000E+00 +0.320093E-02 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100200E+03 -0.284151E+03 -0.789069E+02 -0.119809E+03 +0.846378E+02 +0.000000E+00 +0.000000E+00 -0.312249E-02 +0.777141E-03 +0.000000E+00 +0.321624E-02 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100210E+03 -0.281647E+03 -0.801133E+02 -0.119381E+03 +0.849301E+02 +0.000000E+00 +0.000000E+00 -0.308306E-02 +0.746087E-03 +0.000000E+00 +0.322734E-02 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100220E+03 -0.279181E+03 -0.812921E+02 -0.118956E+03 +0.851994E+02 +0.000000E+00 +0.000000E+00 -0.304428E-02 +0.715619E-03 +0.000000E+00 +0.323758E-02 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100230E+03 -0.276854E+03 -0.823694E+02 -0.118544E+03 +0.853841E+02 +0.000000E+00 +0.000000E+00 -0.300789E-02 +0.687310E-03 +0.000000E+00 +0.324460E-02 +0.000000E+00 +0.000000E+00
