%X Y s_xx s_yy s_zz s_xy s_xz s_yz e_xx e_yy e_zz e_xy e_xz e_yz
 +0.130720E+01 -0.100000E+03 -0.451745E+03 -0.311815E+02 -0.159366E+03 +0.398590E+02 +0.000000E+00 +0.000000E+00 -0.555520E-02 +0.243550E-02 +0.000000E+00 +0.151464E-02 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100010E+03 -0.441868E+03 -0.375829E+02 -0.158219E+03 +0.437104E+02 +0.000000E+00 +0.000000E+00 -0.538934E-02 +0.229208E-02 +0.000000E+00 +0.166099E-02 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100020E+03 -0.432021E+03 -0.439233E+02 -0.157062E+03 +0.476395E+02 +0.000000E+00 +0.000000E+00 -0.522423E-02 +0.214963E-02 +0.000000E+00 +0.181030E-02 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100030E+03 -0.423650E+03 -0.471787E+02 -0.155374E+03 +0.554991E+02 +0.000000E+00 +0.000000E+00 -0.509726E-02 +0.205570E-02 +0.000000E+00 +0.210897E-02 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100040E+03 -0.415364E+03 -0.504304E+02 -0.153712E+03 +0.632462E+02 +0.000000E+00 +0.000000E+00 -0.497138E-02 +0.196235E-02 +0.000000E+00 +0.240335E-02 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100050E+03 -0.409175E+03 -0.535927E+02 -0.152713E+03 +0.682042E+02 +0.000000E+00 +0.000000E+00 -0.487278E-02 +0.188329E-02 +0.000000E+00 +0.259176E-02 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100060E+03 -0.403034E+03 -0.567336E+02 -0.151723E+03 +0.730819E+02 +0.000000E+00 +0.000000E+00 -0.477490E-02 +0.180480E-02 +0.000000E+00 +0.277711E-02 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100070E+03 -0.397652E+03 -0.595279E+02 -0.150869E+03 +0.766590E+02 +0.000000E+00 +0.000000E+00 -0.468887E-02 +0.173549E-02 +0.000000E+00 +0.291304E-02 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100080E+03 -0.392314E+03 -0.622990E+02 -0.150022E+03 +0.801722E+02 +0.000000E+00 +0.000000E+00 -0.460354E-02 +0.166674E-02 +0.000000E+00 +0.304655E-02 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100090E+03 -0.387496E+03 -0.647947E+02 -0.149256E+03 +0.829266E+02 +0.000000E+00 +0.000000E+00 -0.452656E-02 +0.160476E-02 +0.000000E+00 +0.315121E-02 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100100E+03 -0.382716E+03 -0.672662E+02 -0.148494E+03 +0.856242E+02 +0.000000E+00 +0.000000E+00 -0.445022E-02 +0.154333E-02 +0.000000E+00 +0.325372E-02 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100110E+03 -0.378292E+03 -0.695115E+02 -0.147775E+03 +0.877931E+02 +0.000000E+00 +0.000000E+00 -0.437982E-02 +0.148701E-02 +0.000000E+00 +0.333614E-02 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100120E+03 -0.373903E+03 -0.717321E+02 -0.147060E+03 +0.899123E+02 +0.000000E+00 +0.000000E+00 -0.431003E-02 +0.143123E-02 +0.000000E+00 +0.341667E-02 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100130E+03 -0.369793E+03 -0.737654E+02 -0.146374E+03 +0.916539E+02 +0.000000E+00 +0.000000E+00 -0.424496E-02 +0.137957E-02 +0.000000E+00 +0.348285E-02 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100140E+03 -0.365718E+03 -0.757739E+02 -0.145692E+03 +0.933502E+02 +0.000000E+00 +0.000000E+00 -0.418048E-02 +0.132845E-02 +0.000000E+00 +0.354731E-02 +0.000000E+00 +0.000000E+00
