%X Y s_xx s_yy s_zz s_xy s_xz s_yz e_xx e_yy e_zz e_xy e_xz e_yz
 +0.148320E+01 -0.100000E+03 +0.430455E+03 -0.117624E+02 +0.138169E+03 -0.703885E+01 +0.000000E+00 +0.000000E+00 +0.555344E-02 -0.284869E-02 +0.000000E+00 -0.267476E-03 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100010E+03 +0.412906E+03 -0.553060E+01 +0.134434E+03 -0.106369E+02 +0.000000E+00 +0.000000E+00 +0.529097E-02 -0.265932E-02 +0.000000E+00 -0.404204E-03 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100020E+03 +0.395334E+03 +0.611777E+00 +0.130662E+03 -0.142143E+02 +0.000000E+00 +0.000000E+00 +0.502876E-02 -0.247095E-02 +0.000000E+00 -0.540144E-03 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100030E+03 +0.376076E+03 +0.256701E+00 +0.124190E+03 -0.162870E+02 +0.000000E+00 +0.000000E+00 +0.478583E-02 -0.235473E-02 +0.000000E+00 -0.618906E-03 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100040E+03 +0.356955E+03 -0.108258E+00 +0.117759E+03 -0.183062E+02 +0.000000E+00 +0.000000E+00 +0.454471E-02 -0.223948E-02 +0.000000E+00 -0.695635E-03 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100050E+03 +0.342738E+03 -0.827391E+00 +0.112830E+03 -0.184083E+02 +0.000000E+00 +0.000000E+00 +0.436824E-02 -0.215950E-02 +0.000000E+00 -0.699515E-03 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100060E+03 +0.328634E+03 -0.154900E+01 +0.107938E+03 -0.184870E+02 +0.000000E+00 +0.000000E+00 +0.419322E-02 -0.208025E-02 +0.000000E+00 -0.702506E-03 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100070E+03 +0.317199E+03 -0.232886E+01 +0.103907E+03 -0.180138E+02 +0.000000E+00 +0.000000E+00 +0.405255E-02 -0.201848E-02 +0.000000E+00 -0.684526E-03 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100080E+03 +0.305865E+03 -0.311010E+01 +0.999092E+02 -0.175231E+02 +0.000000E+00 +0.000000E+00 +0.391317E-02 -0.195737E-02 +0.000000E+00 -0.665879E-03 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100090E+03 +0.296292E+03 -0.391522E+01 +0.964843E+02 -0.167265E+02 +0.000000E+00 +0.000000E+00 +0.379635E-02 -0.190759E-02 +0.000000E+00 -0.635606E-03 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100100E+03 +0.286812E+03 -0.472130E+01 +0.930898E+02 -0.159172E+02 +0.000000E+00 +0.000000E+00 +0.368071E-02 -0.185841E-02 +0.000000E+00 -0.604852E-03 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100110E+03 +0.278606E+03 -0.554059E+01 +0.901117E+02 -0.149336E+02 +0.000000E+00 +0.000000E+00 +0.358140E-02 -0.181739E-02 +0.000000E+00 -0.567477E-03 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100120E+03 +0.270488E+03 -0.636086E+01 +0.871619E+02 -0.139406E+02 +0.000000E+00 +0.000000E+00 +0.348319E-02 -0.177693E-02 +0.000000E+00 -0.529742E-03 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100130E+03 +0.263344E+03 -0.719218E+01 +0.845301E+02 -0.128409E+02 +0.000000E+00 +0.000000E+00 +0.339747E-02 -0.174272E-02 +0.000000E+00 -0.487955E-03 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100140E+03 +0.256282E+03 -0.802458E+01 +0.819249E+02 -0.117345E+02 +0.000000E+00 +0.000000E+00 +0.331278E-02 -0.170904E-02 +0.000000E+00 -0.445911E-03 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100150E+03 +0.249995E+03 -0.886724E+01 +0.795722E+02 -0.105636E+02 +0.000000E+00 +0.000000E+00 +0.323803E-02 -0.168035E-02 +0.000000E+00 -0.401418E-03 +0.000000E+00 +0.000000E+00
