%X Y s_xx s_yy s_zz s_xy s_xz s_yz e_xx e_yy e_zz e_xy e_xz e_yz
 +0.148320E+01 -0.100000E+03 -0.349248E+03 -0.243123E+02 -0.123275E+03 +0.336153E+02 +0.000000E+00 +0.000000E+00 -0.429349E-02 +0.188029E-02 +0.000000E+00 +0.127738E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100010E+03 -0.342176E+03 -0.301726E+02 -0.122875E+03 +0.387343E+02 +0.000000E+00 +0.000000E+00 -0.416671E-02 +0.176134E-02 +0.000000E+00 +0.147190E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100020E+03 -0.335103E+03 -0.360220E+02 -0.122471E+03 +0.438961E+02 +0.000000E+00 +0.000000E+00 -0.404000E-02 +0.164254E-02 +0.000000E+00 +0.166805E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100030E+03 -0.327973E+03 -0.410805E+02 -0.121788E+03 +0.521738E+02 +0.000000E+00 +0.000000E+00 -0.391752E-02 +0.153344E-02 +0.000000E+00 +0.198260E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100040E+03 -0.320887E+03 -0.461066E+02 -0.121108E+03 +0.603537E+02 +0.000000E+00 +0.000000E+00 -0.379580E-02 +0.142502E-02 +0.000000E+00 +0.229344E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100050E+03 -0.315359E+03 -0.499735E+02 -0.120560E+03 +0.650327E+02 +0.000000E+00 +0.000000E+00 -0.370118E-02 +0.134114E-02 +0.000000E+00 +0.247124E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100060E+03 -0.309861E+03 -0.538138E+02 -0.120013E+03 +0.696514E+02 +0.000000E+00 +0.000000E+00 -0.360711E-02 +0.125778E-02 +0.000000E+00 +0.264675E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100070E+03 -0.305081E+03 -0.570282E+02 -0.119496E+03 +0.728518E+02 +0.000000E+00 +0.000000E+00 -0.352611E-02 +0.118689E-02 +0.000000E+00 +0.276837E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100080E+03 -0.300330E+03 -0.602168E+02 -0.118981E+03 +0.760023E+02 +0.000000E+00 +0.000000E+00 -0.344564E-02 +0.111651E-02 +0.000000E+00 +0.288809E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100090E+03 -0.296094E+03 -0.629546E+02 -0.118486E+03 +0.782828E+02 +0.000000E+00 +0.000000E+00 -0.337455E-02 +0.105510E-02 +0.000000E+00 +0.297475E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100100E+03 -0.291887E+03 -0.656673E+02 -0.117993E+03 +0.805224E+02 +0.000000E+00 +0.000000E+00 -0.330399E-02 +0.994189E-03 +0.000000E+00 +0.305985E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100110E+03 -0.288078E+03 -0.680344E+02 -0.117517E+03 +0.821988E+02 +0.000000E+00 +0.000000E+00 -0.324066E-02 +0.940173E-03 +0.000000E+00 +0.312355E-02 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100120E+03 -0.284298E+03 -0.703769E+02 -0.117043E+03 +0.838401E+02 +0.000000E+00 +0.000000E+00 -0.317785E-02 +0.886650E-03 +0.000000E+00 +0.318592E-02 +0.000000E+00 +0.000000E+00
