%X Y s_xx s_yy s_zz s_xy s_xz s_yz e_xx e_yy e_zz e_xy e_xz e_yz
 +0.130720E+01 -0.100000E+03 +0.358319E+03 -0.104476E+02 +0.114798E+03 -0.497560E+01 +0.000000E+00 +0.000000E+00 +0.462691E-02 -0.237966E-02 +0.000000E+00 -0.189073E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100010E+03 +0.340655E+03 -0.425596E+01 +0.111012E+03 -0.860164E+01 +0.000000E+00 +0.000000E+00 +0.436323E-02 -0.219009E-02 +0.000000E+00 -0.326862E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100020E+03 +0.322982E+03 +0.179322E+01 +0.107176E+03 -0.121870E+02 +0.000000E+00 +0.000000E+00 +0.410032E-02 -0.200227E-02 +0.000000E+00 -0.463108E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100030E+03 +0.304837E+03 +0.640777E+00 +0.100808E+03 -0.137174E+02 +0.000000E+00 +0.000000E+00 +0.387655E-02 -0.190317E-02 +0.000000E+00 -0.521261E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100040E+03 +0.286887E+03 -0.502283E+00 +0.945068E+02 -0.151723E+02 +0.000000E+00 +0.000000E+00 +0.365521E-02 -0.180517E-02 +0.000000E+00 -0.576546E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100050E+03 +0.273780E+03 -0.141294E+01 +0.898810E+02 -0.147567E+02 +0.000000E+00 +0.000000E+00 +0.349408E-02 -0.173459E-02 +0.000000E+00 -0.560753E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100060E+03 +0.260830E+03 -0.232295E+01 +0.853072E+02 -0.143159E+02 +0.000000E+00 +0.000000E+00 +0.333493E-02 -0.166497E-02 +0.000000E+00 -0.544005E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100070E+03 +0.250418E+03 -0.322237E+01 +0.815745E+02 -0.134681E+02 +0.000000E+00 +0.000000E+00 +0.320802E-02 -0.161114E-02 +0.000000E+00 -0.511789E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100080E+03 +0.240148E+03 -0.412201E+01 +0.778885E+02 -0.125984E+02 +0.000000E+00 +0.000000E+00 +0.308293E-02 -0.155820E-02 +0.000000E+00 -0.478739E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100090E+03 +0.231561E+03 -0.502441E+01 +0.747571E+02 -0.114676E+02 +0.000000E+00 +0.000000E+00 +0.297928E-02 -0.151585E-02 +0.000000E+00 -0.435768E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100100E+03 +0.223104E+03 -0.592798E+01 +0.716681E+02 -0.103238E+02 +0.000000E+00 +0.000000E+00 +0.287728E-02 -0.147433E-02 +0.000000E+00 -0.392304E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100110E+03 +0.215851E+03 -0.684242E+01 +0.689728E+02 -0.905914E+01 +0.000000E+00 +0.000000E+00 +0.279068E-02 -0.144049E-02 +0.000000E+00 -0.344247E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100120E+03 +0.208718E+03 -0.775862E+01 +0.663167E+02 -0.778565E+01 +0.000000E+00 +0.000000E+00 +0.270563E-02 -0.140743E-02 +0.000000E+00 -0.295855E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100130E+03 +0.202501E+03 -0.868820E+01 +0.639584E+02 -0.644516E+01 +0.000000E+00 +0.000000E+00 +0.263232E-02 -0.138028E-02 +0.000000E+00 -0.244916E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100140E+03 +0.196398E+03 -0.961983E+01 +0.616367E+02 -0.510056E+01 +0.000000E+00 +0.000000E+00 +0.256046E-02 -0.135387E-02 +0.000000E+00 -0.193821E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100150E+03 +0.191015E+03 -0.105645E+02 +0.595486E+02 -0.372980E+01 +0.000000E+00 +0.000000E+00 +0.249786E-02 -0.133215E-02 +0.000000E+00 -0.141732E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100160E+03 +0.185739E+03 -0.115112E+02 +0.574951E+02 -0.235859E+01 +0.000000E+00 +0.000000E+00 +0.243663E-02 -0.131112E-02 +0.000000E+00 -0.896266E-04 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100170E+03 +0.181045E+03 -0.124690E+02 +0.556301E+02 -0.984905E+00 +0.000000E+00 +0.000000E+00 +0.238289E-02 -0.129388E-02 +0.000000E+00 -0.374264E-04 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100180E+03 +0.176453E+03 -0.134285E+02 +0.537980E+02 +0.385784E+00 +0.000000E+00 +0.000000E+00 +0.233044E-02 -0.127730E-02 +0.000000E+00 +0.146598E-04 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100190E+03 +0.172339E+03 -0.143962E+02 +0.521210E+02 +0.174229E+01 +0.000000E+00 +0.000000E+00 +0.228414E-02 -0.126383E-02 +0.000000E+00 +0.662070E-04 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100200E+03 +0.168321E+03 -0.153652E+02 +0.504753E+02 +0.309282E+01 +0.000000E+00 +0.000000E+00 +0.223906E-02 -0.125097E-02 +0.000000E+00 +0.117527E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100210E+03 +0.164701E+03 -0.163392E+02 +0.489594E+02 +0.441851E+01 +0.000000E+00 +0.000000E+00 +0.219909E-02 -0.124067E-02 +0.000000E+00 +0.167903E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100220E+03 +0.161172E+03 -0.173137E+02 +0.474734E+02 +0.573557E+01 +0.000000E+00 +0.000000E+00 +0.216028E-02 -0.123095E-02 +0.000000E+00 +0.217952E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100230E+03 +0.157979E+03 -0.182900E+02 +0.460972E+02 +0.702081E+01 +0.000000E+00 +0.000000E+00 +0.212575E-02 -0.122336E-02 +0.000000E+00 +0.266791E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100240E+03 +0.154871E+03 -0.192660E+02 +0.447496E+02 +0.829514E+01 +0.000000E+00 +0.000000E+00 +0.209230E-02 -0.121630E-02 +0.000000E+00 +0.315215E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100250E+03 +0.152047E+03 -0.202409E+02 +0.434960E+02 +0.953347E+01 +0.000000E+00 +0.000000E+00 +0.206247E-02 -0.121100E-02 +0.000000E+00 +0.362272E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100260E+03 +0.149304E+03 -0.212145E+02 +0.422696E+02 +0.107589E+02 +0.000000E+00 +0.000000E+00 +0.203366E-02 -0.120620E-02 +0.000000E+00 +0.408839E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100270E+03 +0.146803E+03 -0.221843E+02 +0.411241E+02 +0.119461E+02 +0.000000E+00 +0.000000E+00 +0.200790E-02 -0.120286E-02 +0.000000E+00 +0.453953E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100280E+03 +0.144379E+03 -0.231519E+02 +0.400048E+02 +0.131188E+02 +0.000000E+00 +0.000000E+00 +0.198310E-02 -0.119998E-02 +0.000000E+00 +0.498516E-03 +0.000000E+00 +0.000000E+00
 +0.130720E+01 -0.100290E+03 +0.142161E+03 -0.241135E+02 +0.389556E+02 +0.142525E+02 +0.000000E+00 +0.000000E+00 +0.196090E-02 -0.119831E-02 +0.000000E+00 +0.541596E-03 +0.000000E+00 +0.000000E+00
