%X Y s_xx s_yy s_zz s_xy s_xz s_yz e_xx e_yy e_zz e_xy e_xz e_yz
 +0.110366E+01 -0.100000E+03 +0.432995E+03 -0.676799E+01 +0.140655E+03 -0.554298E+01 +0.000000E+00 +0.000000E+00 +0.555447E-02 -0.280104E-02 +0.000000E+00 -0.210633E-03 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100010E+03 +0.419385E+03 -0.219566E+01 +0.137673E+03 -0.911214E+01 +0.000000E+00 +0.000000E+00 +0.535254E-02 -0.265750E-02 +0.000000E+00 -0.346261E-03 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100020E+03 +0.405764E+03 +0.235023E+01 +0.134678E+03 -0.126767E+02 +0.000000E+00 +0.000000E+00 +0.515064E-02 -0.251422E-02 +0.000000E+00 -0.481716E-03 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100030E+03 +0.390184E+03 +0.206197E+01 +0.129441E+03 -0.154090E+02 +0.000000E+00 +0.000000E+00 +0.495411E-02 -0.242020E-02 +0.000000E+00 -0.585543E-03 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100040E+03 +0.374645E+03 +0.177063E+01 +0.124217E+03 -0.181197E+02 +0.000000E+00 +0.000000E+00 +0.475812E-02 -0.232648E-02 +0.000000E+00 -0.688549E-03 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100050E+03 +0.362896E+03 +0.119917E+01 +0.120151E+03 -0.188652E+02 +0.000000E+00 +0.000000E+00 +0.461215E-02 -0.226009E-02 +0.000000E+00 -0.716877E-03 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100060E+03 +0.351185E+03 +0.626827E+00 +0.116098E+03 -0.196019E+02 +0.000000E+00 +0.000000E+00 +0.446665E-02 -0.219395E-02 +0.000000E+00 -0.744872E-03 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100070E+03 +0.341709E+03 +0.196990E-02 +0.112765E+03 -0.198085E+02 +0.000000E+00 +0.000000E+00 +0.434995E-02 -0.214249E-02 +0.000000E+00 -0.752723E-03 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100080E+03 +0.332267E+03 -0.622837E+00 +0.109442E+03 -0.200087E+02 +0.000000E+00 +0.000000E+00 +0.423366E-02 -0.209124E-02 +0.000000E+00 -0.760331E-03 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100090E+03 +0.324303E+03 -0.124539E+01 +0.106609E+03 -0.199211E+02 +0.000000E+00 +0.000000E+00 +0.413619E-02 -0.204923E-02 +0.000000E+00 -0.757002E-03 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100100E+03 +0.316370E+03 -0.186752E+01 +0.103786E+03 -0.198290E+02 +0.000000E+00 +0.000000E+00 +0.403909E-02 -0.200741E-02 +0.000000E+00 -0.753500E-03 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100110E+03 +0.309510E+03 -0.247448E+01 +0.101322E+03 -0.195736E+02 +0.000000E+00 +0.000000E+00 +0.395558E-02 -0.197213E-02 +0.000000E+00 -0.743798E-03 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100120E+03 +0.302678E+03 -0.308088E+01 +0.988672E+02 -0.193147E+02 +0.000000E+00 +0.000000E+00 +0.387241E-02 -0.193701E-02 +0.000000E+00 -0.733960E-03 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100130E+03 +0.296667E+03 -0.367021E+01 +0.966891E+02 -0.189504E+02 +0.000000E+00 +0.000000E+00 +0.379959E-02 -0.190683E-02 +0.000000E+00 -0.720114E-03 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100140E+03 +0.290682E+03 -0.425891E+01 +0.945197E+02 -0.185832E+02 +0.000000E+00 +0.000000E+00 +0.372709E-02 -0.187679E-02 +0.000000E+00 -0.706162E-03 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100150E+03 +0.285349E+03 -0.483173E+01 +0.925708E+02 -0.181460E+02 +0.000000E+00 +0.000000E+00 +0.366279E-02 -0.185065E-02 +0.000000E+00 -0.689548E-03 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100160E+03 +0.280041E+03 -0.540392E+01 +0.906302E+02 -0.177066E+02 +0.000000E+00 +0.000000E+00 +0.359880E-02 -0.182465E-02 +0.000000E+00 -0.672852E-03 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100170E+03 +0.275265E+03 -0.596216E+01 +0.888700E+02 -0.172195E+02 +0.000000E+00 +0.000000E+00 +0.354151E-02 -0.180181E-02 +0.000000E+00 -0.654339E-03 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100180E+03 +0.270513E+03 -0.651978E+01 +0.871177E+02 -0.167306E+02 +0.000000E+00 +0.000000E+00 +0.348451E-02 -0.177911E-02 +0.000000E+00 -0.635763E-03 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100190E+03 +0.266205E+03 -0.706533E+01 +0.855162E+02 -0.162093E+02 +0.000000E+00 +0.000000E+00 +0.343309E-02 -0.175905E-02 +0.000000E+00 -0.615953E-03 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100200E+03 +0.261920E+03 -0.761027E+01 +0.839221E+02 -0.156868E+02 +0.000000E+00 +0.000000E+00 +0.338195E-02 -0.173912E-02 +0.000000E+00 -0.596097E-03 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100210E+03 +0.258012E+03 -0.814473E+01 +0.824563E+02 -0.151426E+02 +0.000000E+00 +0.000000E+00 +0.333556E-02 -0.172142E-02 +0.000000E+00 -0.575420E-03 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100220E+03 +0.254125E+03 -0.867861E+01 +0.809974E+02 -0.145977E+02 +0.000000E+00 +0.000000E+00 +0.328943E-02 -0.170384E-02 +0.000000E+00 -0.554711E-03 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100230E+03 +0.250564E+03 -0.920330E+01 +0.796491E+02 -0.140392E+02 +0.000000E+00 +0.000000E+00 +0.324739E-02 -0.168820E-02 +0.000000E+00 -0.533488E-03 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100240E+03 +0.247023E+03 -0.972741E+01 +0.783075E+02 -0.134802E+02 +0.000000E+00 +0.000000E+00 +0.320559E-02 -0.167266E-02 +0.000000E+00 -0.512246E-03 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100250E+03 +0.243765E+03 -0.102433E+02 +0.770621E+02 -0.129137E+02 +0.000000E+00 +0.000000E+00 +0.316735E-02 -0.165880E-02 +0.000000E+00 -0.490721E-03 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100260E+03 +0.240526E+03 -0.107587E+02 +0.758231E+02 -0.123471E+02 +0.000000E+00 +0.000000E+00 +0.312935E-02 -0.164505E-02 +0.000000E+00 -0.469188E-03 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100270E+03 +0.237536E+03 -0.112666E+02 +0.746689E+02 -0.117776E+02 +0.000000E+00 +0.000000E+00 +0.309447E-02 -0.163277E-02 +0.000000E+00 -0.447550E-03 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100280E+03 +0.234564E+03 -0.117740E+02 +0.735208E+02 -0.112083E+02 +0.000000E+00 +0.000000E+00 +0.305983E-02 -0.162060E-02 +0.000000E+00 -0.425914E-03 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100290E+03 +0.231813E+03 -0.122745E+02 +0.724477E+02 -0.106398E+02 +0.000000E+00 +0.000000E+00 +0.302794E-02 -0.160972E-02 +0.000000E+00 -0.404311E-03 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100300E+03 +0.229080E+03 -0.127745E+02 +0.713807E+02 -0.100716E+02 +0.000000E+00 +0.000000E+00 +0.299628E-02 -0.159895E-02 +0.000000E+00 -0.382721E-03 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100310E+03 +0.226543E+03 -0.132680E+02 +0.703806E+02 -0.950716E+01 +0.000000E+00 +0.000000E+00 +0.296708E-02 -0.158932E-02 +0.000000E+00 -0.361272E-03 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100320E+03 +0.224022E+03 -0.137610E+02 +0.693863E+02 -0.894328E+01 +0.000000E+00 +0.000000E+00 +0.293809E-02 -0.157980E-02 +0.000000E+00 -0.339845E-03 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100330E+03 +0.221679E+03 -0.142478E+02 +0.684522E+02 -0.838538E+01 +0.000000E+00 +0.000000E+00 +0.291130E-02 -0.157130E-02 +0.000000E+00 -0.318645E-03 +0.000000E+00 +0.000000E+00
